distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4795,2002,1,1,Brent,Johnson,456,1,0,0,0,1,1,1,
4795,2002,1,2,Steve,Borchardt,38,0,1,1,0,1,1,1,
4795,2002,1,NA,Scatter,,44,0,0,0,1,1,1,1,
4795,2003,1,3,Sue,Swiantek,656,1,0,0,0,2,2,1,
4795,2003,1,4,Deborah,Gojmerac,685,1,0,0,0,2,2,1,
4795,2003,1,5,Joan,Points,672,1,1,1,0,2,2,1,
4795,2003,1,6,Annette,Tlusty,658,1,0,0,0,2,2,1,
4795,2003,1,NA,Scatter,,36,0,0,0,1,2,2,1,
4795,2004,1,7,Al,Haas,158,0,1,1,0,3,3,1,
4795,2004,1,8,Jerry,Blomberg,376,1,0,0,0,3,3,1,
4795,2004,1,9,Leslie,Hebert,286,1,0,0,0,3,3,1,
4795,2004,1,10,Verlyn,Haider,197,0,1,1,0,3,3,1,
4795,2005,1,1,Brent,Johnson,413,1,1,1,0,4,4,1,
4795,2005,1,11,Scott,Everson,103,1,0,0,0,4,4,1,
4795,2005,1,12,Clifford,Mann,43,0,0,0,0,4,4,1,
4795,2005,1,13,Wayne,Tlusty,32,0,0,0,0,4,4,1,
4795,2005,1,NA,Scatter,,41,0,0,0,1,4,4,1,
4795,2006,1,5,Joan,Points,348,0,1,1,0,5,5,1,
4795,2006,1,14,George,Zondlo,692,1,0,0,0,5,5,1,
4795,2006,1,15,Suzanne,Murphy,299,0,0,0,0,5,5,1,
4795,2006,1,16,Marlene,Rymer,581,1,0,0,0,5,5,1,
4795,2007,1,8,Jerry,Blomberg,464,1,1,1,0,6,6,1,
4795,2007,1,9,Leslie,Hebert,446,1,1,1,0,6,6,1,
4795,2007,1,NA,Scatter,,7,0,0,0,1,6,6,1,
4795,2008,1,17,Joan,Magnuson,387,1,0,0,0,7,7,1,
4795,2008,1,11,Scott,Everson,365,1,1,1,0,7,7,1,
4795,2008,1,NA,Scatter,,10,0,0,0,1,7,7,1,
4795,2009,1,18,Bob,Rusch,337,1,0,0,0,8,8,1,
4795,2009,1,16,Marlene,Rymer,440,1,1,1,0,8,8,1,
4795,2009,1,14,George,Zondlo,451,1,1,1,0,8,8,1,
4795,2009,1,19,John,Czarnezki,154,0,0,0,0,8,8,1,
4795,2009,1,NA,Scatter,,7,0,0,0,1,8,8,1,
4795,2010,1,8,Jerry,Blomberg,152,1,1,1,0,9,9,1,
4795,2010,1,20,Dennis,Fuchs,149,1,0,0,0,9,9,1,
4795,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
4795,2011,1,5,Joan,Magnuson,559,1,0,1,0,10,10,1,
4795,2011,1,11,Scott,Everson,541,1,1,1,0,10,10,1,
4795,2011,1,NA,Scatter,,2,0,0,0,1,10,10,1,
4795,2012,1,14,George,Zondlo,500,1,1,1,0,11,11,1,
4795,2012,1,16,Marlene,Rymer,480,1,1,1,0,11,11,1,
4795,2012,1,21,Deb,Spellman,130,0,0,0,0,11,11,1,
4795,2012,1,22,Steve,Martin,157,0,0,0,0,11,11,1,
4795,2012,1,NA,Scatter,,73,0,0,0,1,11,11,1,
