distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4802,2002,1,1,Arnold,Widdes,1154,1,1,1,0,1,1,0,
4802,2002,1,2,Mary Ann,Pebler,1272,1,1,1,0,1,1,0,
4802,2002,1,3,Lori,Brown,1076,0,0,0,0,1,1,0,
4802,2002,1,4,Dianne,Koser,1062,1,1,1,0,2,2,0,
4802,2002,1,5,Janella,Poppe,828,0,0,0,0,2,2,0,
4802,2002,1,NA,Scatter,,5,0,0,0,1,1,1,0,
4802,2003,2,6,Jeff,Anderson,421,0,1,1,0,1,1,0,
4802,2003,2,7,Jim,Stavran,629,1,0,0,0,1,1,0,
4802,2003,2,8,Francis,Audette,517,1,0,0,0,1,1,0,
4802,2003,2,3,Lori,Brown,643,1,0,1,0,1,1,0,
4802,2003,2,9,,Postle,188,0,0,0,0,1,1,0,
4802,2003,2,10,Mark,Krebs,557,1,0,0,0,1,1,0,
4802,2003,2,5,Janella,Poppe,520,1,0,1,0,2,2,0,
4802,2003,2,11,,Tripp,422,0,0,0,0,2,2,0,
4802,2003,2,12,Peter,Neal,613,1,0,0,0,2,2,0,
4802,2003,2,NA,Scatter,,3,0,0,0,1,2,0,0,
4802,2003,1,3,Lori,Brown,1562,1,0,1,0,1,1,0,
4802,2003,1,7,Jim,Stavran,1490,1,0,0,0,1,1,0,
4802,2003,1,10,Mark,Krebs,1402,0,0,0,0,1,1,0,
4802,2003,1,8,Francis,Audette,1237,0,0,0,0,1,1,0,
4802,2003,1,12,Peter,Neal,1433,0,0,0,0,2,2,0,
4802,2003,1,5,Janella,Poppe,1478,1,0,1,0,2,2,0,
4802,2004,1,13,Audrey,Kusilek,1364,1,0,0,0,1,1,0,
4802,2004,1,14,Sally,Schieffer,1052,0,1,1,0,1,1,0,
4802,2004,1,15,Laurie,Gargulak,1487,1,0,0,0,2,2,0,
4802,2004,1,16,Donald,Putnam,1013,0,0,0,0,2,2,0,
4802,2004,1,17,Carleen,Rich,677,0,0,0,0,2,2,0,
4802,2004,1,18,Ray,Van Gilder,1591,1,1,1,0,2,2,0,
4802,2004,1,NA,Scatter,,3,0,0,0,1,4,0,0,
4802,2005,1,2,Mary Ann,Pebler,960,1,1,1,0,1,1,0,
4802,2005,1,1,Arnold,Widdes,975,1,1,1,0,1,1,0,
4802,2005,1,4,Dianne,Koser,1074,1,1,1,0,2,2,0,
4802,2005,1,NA,Scatter,,39,0,0,0,1,1,1,0,
4802,2006,1,19,Donald,Cuskey,1358,1,0,0,0,1,1,0,
4802,2006,1,20,Steve,Bowman,1178,1,0,0,0,1,1,0,
4802,2006,1,6,Jeff,Anderson,748,0,0,1,0,1,1,0,
4802,2006,1,5,Janella,Poppe,1337,1,1,1,0,2,2,0,
4802,2006,1,NA,Scatter,,5,0,0,0,1,1,1,0,
4802,2007,1,13,Audrey,Kusilek,2000,1,1,1,0,1,1,0,
4802,2007,1,21,Gregory,Humphreys,1278,0,0,0,0,2,2,0,
4802,2007,1,22,Kathy,Ricci,424,0,0,0,0,2,2,0,
4802,2007,1,15,Laurie,Gargulak,1909,1,1,1,0,2,2,0,
4802,2007,1,NA,Scatter,,119,0,0,0,1,7,0,0,
4802,2008,1,2,Mary Ann,Pebler,3033,1,1,1,0,1,1,0,
4802,2008,1,1,Arnold,Widdes,2934,1,1,1,0,1,1,0,
4802,2008,1,18,Ray,Van Gilder,2188,1,1,1,0,2,2,0,
4802,2008,1,23,Douglas,Kucko,2754,1,0,0,0,2,2,0,
4802,2008,1,24,Daniel,Organ,1991,0,0,0,0,2,2,0,
4802,2008,1,NA,Scatter,,77,0,0,0,1,8,0,0,
4802,2009,1,19,Donald,Cuskey,1381,1,1,1,0,1,1,0,
4802,2009,1,20,Steve,Bowman,1309,1,1,1,0,1,1,0,
4802,2009,1,25,Keven,Jensen,1470,1,0,0,0,2,2,0,
4802,2009,1,NA,Scatter,,7,0,0,0,1,9,0,0,
4802,2010,1,13,Audrey,Kusilek,1887,1,1,1,0,1,1,0,
4802,2010,1,26,Miriam,Vavra,1445,1,0,0,0,2,2,0,
4802,2010,1,18,Ray,Van Gilder,1569,1,1,1,0,2,2,0,
4802,2010,1,NA,Scatter,,32,0,0,0,1,10,0,0,
4802,2011,1,27,,Brettingen,2004,1,0,0,0,1,1,0,
4802,2011,1,28,,Haack,2144,1,0,0,0,1,1,0,
4802,2011,1,23,Douglas,Kucko,2595,1,1,1,0,2,2,0,
4802,2011,1,NA,Scatter,,41,0,0,0,1,11,0,0,
4802,2012,1,20,Steve,Bowman,2080,1,1,1,0,1,1,0,
4802,2012,1,19,Donald,Cuskey,2217,1,1,1,0,1,1,0,
4802,2012,1,25,Keven,Jensen,2352,1,1,1,0,2,2,0,
4802,2012,1,NA,Scatter,,10,0,0,0,1,12,0,0,
