distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4851,2002,1,1,Teresa,Brey,1067,1,1,1,0,1,1,1,
4851,2002,1,2,Michael,Green,1000,1,1,1,0,1,1,1,
4851,2002,1,NA,Scatter,,6,0,0,0,1,1,1,1,
4851,2003,1,3,Lisa,Muth,622,0,0,0,0,2,2,0,
4851,2003,1,4,Kathy,Fry,1049,1,1,1,0,2,2,0,
4851,2003,1,5,,Sharp,65,0,0,0,0,3,3,0,
4851,2003,1,6,Michael,Nigl,533,1,0,0,0,3,3,0,
4851,2003,1,7,,McCarthy,274,0,1,1,0,3,3,0,
4851,2003,1,NA,Scatter,,29,0,0,0,1,3,3,0,
4851,2003,1,8,Paul,Corcoran,1282,1,1,1,0,4,4,1,
4851,2004,1,9,Mike,Mullarkey,822,1,1,1,0,5,5,0,
4851,2004,1,10,Patricia,Silver,766,1,1,1,0,6,6,0,
4851,2004,1,NA,Scatter,,4,0,0,0,1,6,6,0,
4851,2006,1,2,Michael,Nigl,930,1,1,1,0,7,7,0,
4851,2006,1,4,Kathy,Fry,905,1,1,1,0,8,8,0,
4851,2006,1,8,Paul,Corcoran,947,1,1,1,0,9,9,1,
4851,2006,1,NA,Scatter,,12,0,0,0,1,9,9,1,
4851,2007,1,11,Beverly,Laue,868,1,0,0,0,10,10,0,
4851,2007,1,12,John,Baker,390,0,0,0,0,10,10,0,
4851,2007,1,10,Patricia,Silver,1126,1,1,1,0,11,11,0,
4851,2007,1,9,Mike,Mullarkey,1142,1,1,1,0,12,12,0,
4851,2007,1,13,Harry,Monteith,523,0,0,0,0,13,13,0,
4851,2007,1,14,Bill,McCorkle,751,1,0,0,0,13,13,0,
4851,2007,1,NA,Scatter,,6,0,0,0,1,13,13,0,
4851,2008,1,1,Teresa,Brey,1170,1,1,1,0,14,14,1,
4851,2008,1,2,Michael,Green,1150,1,1,1,0,15,15,1,
4851,2008,1,NA,Scatter,,17,0,0,0,1,15,15,1,
4851,2010,1,9,Mike,Nigl,773,1,1,1,0,16,16,1,
4851,2010,1,15,Mike,O'Leary,925,1,0,0,0,16,16,1,
4851,2010,1,16,Leo,Hunstiger,482,0,0,0,0,17,17,0,
4851,2010,1,10,Patricia,Silver,1220,1,1,1,0,17,17,0,
4851,2010,1,NA,Scatter,,2,0,0,0,1,17,17,0,
4851,2011,1,17,Jane,Williams,1816,1,0,0,0,18,18,1,
4851,2011,1,18,Larry,Komarek,1674,1,0,0,0,19,19,1,
4851,2011,1,NA,Scatter,,24,0,0,0,1,19,19,1,
4851,2012,1,19,Jodi,Delagrave,1645,1,0,0,0,20,20,0,
4851,2012,1,14,Bill,McCorkle,876,0,1,1,0,21,21,0,
4851,2012,1,20,Brady,Doudna,1231,1,0,0,0,21,21,0,
4851,2012,1,8,Paul,Corcoran,1829,1,1,1,0,22,22,1,
4851,2012,1,NA,Scatter,,20,0,0,0,1,22,22,1,
