distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3122,2003,1,1,Paul,Farrow,154,1,0,0,0,1,1,1,
3122,2003,1,2,Kim,Hake,122,1,1,1,0,1,1,1,
3122,2004,1,3,Ken,Skarie,124,1,1,1,0,2,2,1,
3122,2004,1,4,Carol,Emmel,117,1,0,0,0,2,2,1,
3122,2004,1,NA,Scatter,,1,0,0,0,1,2,2,1,
3122,2005,1,5,Karen,Schairer,116,0,1,1,0,3,3,1,
3122,2005,1,6,Eric,Christianson,120,1,0,0,0,3,3,1,
3122,2006,1,7,Chris,Pitzo,85,1,0,0,1,4,4,1,
3122,2006,1,8,Andy,Lien,90,1,0,0,1,4,4,1,
3122,2007,1,3,Ken,Skarie,210,1,1,1,0,5,5,1,
3122,2007,1,4,Carol,Emmel,183,0,1,1,0,5,5,1,
3122,2007,1,9,Lisa,Boyer,201,1,0,0,0,5,5,1,
3122,2007,1,10,Wendy,Feran,148,0,0,0,0,5,5,1,
3122,2008,1,6,Eric,Christianson,289,1,1,1,0,6,6,1,
3122,2009,1,7,Chris,Pitzo,188,1,1,1,0,7,7,1,
3122,2009,1,4,Carol,Emmel,202,1,1,1,0,7,7,1,
3122,2010,1,3,Ken,Skarie,134,1,1,1,0,8,8,1,
3122,2010,1,9,Lisa,Boyer,145,1,1,1,0,8,8,1,
3122,2010,1,NA,Scatter,,1,0,0,0,1,8,8,1,
3122,2011,1,6,Eric,Christianson,627,1,1,1,0,9,9,1,
3122,2011,1,NA,Scatter,,4,0,0,0,1,9,9,1,
3122,2012,1,11,Laura,Bradin,397,1,0,0,0,10,10,1,
3122,2012,1,4,Carol,Emmel,289,1,1,1,0,10,10,1,
3122,2012,1,NA,Scatter,,4,0,0,0,1,10,10,1,
