distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4872,2002,1,1,Richard,Gauthier,1315,1,1,1,0,1,1,1,
4872,2002,1,2,Thomas,Stellmacher,1222,1,0,0,0,1,1,1,
4872,2002,1,3,Barb,Schultz,1213,1,1,1,0,1,1,1,
4872,2002,1,NA,Scatter,,36,0,0,0,1,1,1,1,
4872,2003,2,4,Jeff,Barber,246,1,0,0,0,2,2,1,
4872,2003,2,5,Diane,Rasmussen,173,1,0,0,0,2,2,1,
4872,2003,2,6,Steven,Secker,111,0,0,0,0,2,2,1,
4872,2003,2,7,Joe,Hatcher,227,1,0,0,0,2,2,1,
4872,2003,2,8,Andy,Lyke,416,1,0,0,0,2,2,1,
4872,2003,2,9,Steve,Prestegard,151,1,0,0,0,2,2,1,
4872,2003,2,10,Stacy,Klegon,255,1,0,0,0,2,2,1,
4872,2003,1,7,Joe,Hatcher,674,1,0,0,0,3,3,1,
4872,2003,1,10,Stacy,Klegon,574,1,0,0,0,3,3,1,
4872,2003,1,5,Diane,Rasmussen,522,0,0,0,0,3,3,1,
4872,2003,1,8,Andy,Lyke,1020,1,0,0,0,3,3,1,
4872,2003,1,4,Jeff,Barber,528,0,0,0,0,3,3,1,
4872,2003,1,9,Steve,Prestegard,391,0,0,0,0,3,3,1,
4872,2003,1,NA,Scatter,,15,0,0,0,1,3,3,1,
4872,2004,1,11,Dale,Wszalek,700,1,1,1,0,4,4,1,
4872,2004,1,5,Diane,Rasmussen,617,0,0,1,0,4,4,1,
4872,2004,1,12,Stephen,Meyer,634,1,0,0,0,4,4,1,
4872,2004,1,13,David,Scott,735,1,1,1,0,4,4,1,
4872,2005,1,14,Bill,Denkart,505,0,0,0,0,5,5,1,
4872,2005,1,2,Thomas,Stellmacher,876,1,1,1,0,5,5,1,
4872,2005,1,3,Barb,Schultz,808,1,1,1,0,5,5,1,
4872,2005,1,15,Sherry,Muskavitch,681,1,0,0,0,5,5,1,
4872,2006,1,14,Bill,Denkart,821,0,0,1,0,6,6,1,
4872,2006,1,7,Joe,Hatcher,1180,1,1,1,0,6,6,1,
4872,2006,1,8,Andy,Lyke,1460,1,1,1,0,6,6,1,
4872,2006,1,10,Stacy,Klegon,1184,1,1,1,0,6,6,1,
4872,2007,1,14,Bill,Denkart,593,0,0,1,0,7,7,1,
4872,2007,1,11,Dale,Wszalek,771,1,1,1,0,7,7,1,
4872,2007,1,12,Stephen,Meyer,783,1,1,1,0,7,7,1,
4872,2007,1,13,David,Scott,746,1,1,1,0,7,7,1,
4872,2007,1,NA,Scatter,,2,0,0,0,1,7,7,1,
4872,2008,1,15,Sherry,Muskavitch,907,1,1,1,0,8,8,1,
4872,2008,1,3,Barb,Schultz,944,1,1,1,0,8,8,1,
4872,2008,1,2,Thomas,Stellmacher,963,1,1,1,0,8,8,1,
4872,2008,1,16,Kat,Griffith,664,0,0,0,0,8,8,1,
4872,2008,1,14,Bill,Denkart,123,0,0,1,0,8,8,1,
4872,2008,1,NA,Scatter,,43,0,0,0,1,8,8,1,
4872,2009,1,8,Andy,Lyke,1300,1,1,1,0,9,9,1,
4872,2009,1,7,Joe,Hatcher,1197,1,1,1,0,9,9,1,
4872,2009,1,17,Denise,Martinez,1185,1,0,0,0,9,9,1,
4872,2009,1,18,Scott,Wunn,720,0,0,0,0,9,9,1,
4872,2009,1,19,Jake,Jochem,508,0,0,0,0,9,9,1,
4872,2009,1,NA,Scatter,,25,0,0,0,1,9,9,1,
4872,2010,1,13,David,Scott,1152,1,1,1,0,10,10,1,
4872,2010,1,11,Dale,Wszalek,1130,1,1,1,0,10,10,1,
4872,2010,1,12,Stephen,Meyer,1071,0,1,1,0,10,10,1,
4872,2010,1,20,David,Olson,1112,0,0,0,0,10,10,1,
4872,2010,1,NA,Scatter,,30,0,0,0,1,10,10,1,
4872,2011,1,3,Barb,Schultz,1759,1,1,1,0,11,11,1,
4872,2011,1,2,Thomas,Stellmacher,1877,1,1,1,0,11,11,1,
4872,2011,1,15,Sherry,Muskavitch,1688,1,1,1,0,11,11,1,
4872,2011,1,NA,Scatter,,54,0,0,0,1,11,11,1,
4872,2012,1,21,Daniel,Zimmerman,1586,1,0,0,0,12,12,1,
4872,2012,1,22,Heather,Frommherz-Hartling,1164,1,0,0,0,12,12,1,
4872,2012,1,8,Andy,Lyke,1891,1,1,1,0,12,12,1,
4872,2012,1,23,Brian,Reilly,1072,0,0,0,0,12,12,1,
4872,2012,1,NA,Scatter,,23,0,0,0,1,12,12,1,
