distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4904,2002,1,1,Jeffrey,Myhre,237,1,1,1,0,1,1,0,
4904,2002,1,2,Stacy,Barr,94,0,0,0,0,2,2,0,
4904,2002,1,3,Dennis,Mulrooney,191,1,1,1,0,2,2,0,
4904,2002,1,NA,Scatter,,3,0,0,0,1,2,2,0,
4904,2003,1,4,Chad,Breuer,447,1,1,1,0,3,3,0,
4904,2003,1,5,Dolores,Meyer,438,1,1,1,0,4,4,0,
4904,2003,1,NA,Scatter,,6,0,0,0,1,4,4,0,
4904,2004,1,6,David,Breuer,348,1,1,1,0,5,5,0,
4904,2004,1,7,Kay,Schmitz,367,1,1,1,0,6,6,0,
4904,2004,1,NA,Scatter,,10,0,0,0,1,6,6,0,
4904,2005,1,1,Jeffrey,Myhre,418,1,1,1,0,7,7,0,
4904,2005,1,8,Adam,Guthrie,215,0,0,0,0,9,9,0,
4904,2005,1,9,Betty,Cooley,248,1,0,0,0,9,9,0,
4904,2005,1,NA,Scatter,,3,0,0,0,1,9,9,0,
4904,2006,1,4,Chad,Breuer,383,1,1,1,0,10,10,0,
4904,2006,1,5,Dolores,Meyer,267,1,1,1,0,11,11,0,
4904,2006,1,10,Ron,Raisbeck,160,0,0,0,0,11,11,0,
4904,2006,1,NA,Scatter,,23,0,0,0,1,11,11,0,
4904,2007,1,11,Bill,Mergen,446,1,0,0,0,12,12,0,
4904,2007,1,12,Kerri,Schier,441,1,0,0,0,13,13,0,
4904,2007,1,13,Lea,Breuer,310,1,0,0,0,14,14,0,
4904,2007,1,14,Jeffrey,Thornton,151,0,0,0,0,14,14,0,
4904,2007,1,NA,Scatter,,2,0,0,0,1,14,14,0,
4904,2008,1,9,Betty,Cooley,763,1,1,1,0,15,15,0,
4904,2008,1,15,Karla,Irish,16,1,0,0,1,16,16,0,
4904,2008,1,16,Dave,Brener,15,0,0,0,1,16,16,0,
4904,2008,1,NA,Scatter,,19,0,0,0,1,16,16,0,
4904,2009,1,4,Chad,Breuer,737,1,1,1,0,17,17,0,
4904,2009,1,1,Scott,Myhre,102,1,0,1,0,18,18,0,
4904,2009,1,18,Tom,Neis,63,0,0,0,1,18,18,0,
4904,2009,1,NA,Scatter,,41,0,0,0,1,18,18,0,
4904,2010,1,11,Bill,Mergen,451,1,1,1,0,19,19,0,
4904,2010,1,12,Kerri,Schier,461,1,1,1,0,20,20,0,
4904,2010,1,13,Lea,Breuer,449,1,1,1,0,21,21,0,
4904,2010,1,NA,Scatter,,13,0,0,0,1,21,21,0,
4904,2011,1,15,Karla,Irish,705,1,1,1,0,22,22,1,
4904,2011,1,19,Tish,Burmeister,68,1,0,0,1,22,22,1,
4904,2011,1,20,Tom,Rehmus,36,0,0,0,1,22,22,1,
4904,2011,1,21,Brad,White,34,0,0,0,1,22,22,1,
4904,2011,1,NA,Scatter,,43,0,0,0,1,22,22,1,
4904,2012,1,4,Chad,Breuer,708,1,1,1,0,23,23,1,
4904,2012,1,22,Robert,Mathre,138,0,0,0,0,23,23,1,
4904,2012,1,21,Brad,White,31,0,0,1,0,23,23,1,
4904,2012,1,NA,Scatter,,55,0,0,0,1,23,23,1,
