distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5068,2008,1,8,Shane,Gerber,500,1,1,1,0,1,1,1,This is partial vote. The total vote records are not available. Guess set at 500 votes
5068,2009,1,9,Patty,Merrill,522,1,1,1,0,2,2,1,
5068,2009,1,10,James,Gere,577,1,0,0,0,2,2,1,
5068,2009,1,11,Peggy,Aull,452,0,1,1,0,2,2,1,
5068,2009,1,12,Amy,Buchino,175,0,0,0,0,2,2,1,
5068,2009,1,13,Patti,Bucko,214,0,0,0,0,2,2,1,
5068,2009,1,14,Michael,Foley,33,0,0,0,1,2,2,1,
5068,2010,1,15,Cynthia,Corbett,325,1,0,0,0,3,3,1,
5068,2010,1,16,Lisa,Hinze,366,1,0,0,0,3,3,1,
5068,2010,1,17,Barbara,Ingram,402,1,0,0,0,3,3,1,
5068,2010,1,11,Peggy,Aull,286,0,0,1,0,3,3,1,
5068,2010,1,18,Roxanne,Brewington,272,0,0,0,0,3,3,1,
5068,2010,1,NA,Scatter,Scatter,11,0,0,0,1,3,3,1,
5068,2011,1,8,Shane,Gerber,1169,1,1,1,0,4,4,1,
5068,2011,1,NA,Scatter,Scatter,21,0,0,0,1,4,4,1,
5068,2012,1,19,Kirsten,Ruzicki,425,0,0,0,0,5,5,1,
5068,2012,1,20,Kim,MacLeod,538,1,0,0,0,5,5,1,
5068,2012,1,11,Peggy,Aull,335,0,0,1,0,5,5,1,
5068,2012,1,21,Jack,Niccolai,890,1,0,0,0,5,5,1,
5068,2012,1,NA,Scatter,Scatter,15,0,0,0,1,5,5,1,
