distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5124,2003,1,1,Richard,Boland,364,1,1,1,0,1,1,1,
5124,2003,1,2,Donna,McCullick,374,1,1,1,0,1,1,1,
5124,2003,1,NA,Scatter,,37,0,0,0,1,1,1,1,
5124,2004,1,3,Harold,Schroeder,247,1,0,0,0,2,2,1,
5124,2004,1,4,David,Benzing,208,0,0,0,0,2,2,1,
5124,2004,1,5,Crystal,Johnson,135,0,0,0,0,2,2,1,
5124,2004,1,6,Russell,Chambers,364,1,0,0,0,2,2,1,
5124,2004,1,7,Scott,Garfoot,187,0,0,0,0,2,2,1,
5124,2004,1,8,Lynn,Schreck,350,1,1,1,0,2,2,1,
5124,2005,1,9,Jerry,Jones,197,1,1,1,0,3,3,1,
5124,2005,1,10,Mark,Johnson,200,1,1,1,0,3,3,1,
5124,2005,1,NA,Scatter,,8,0,0,0,1,3,3,1,
5124,2006,1,2,Donna,McCullick,140,1,1,1,0,4,4,1,
5124,2006,1,11,Timothy,Stocks,148,1,0,0,0,4,4,1,
5124,2006,1,NA,Scatter,,22,0,0,0,1,4,4,1,
5124,2007,1,3,Harold,Schroeder,164,1,1,1,0,5,5,1,
5124,2007,1,8,Lynn,Schreck,200,1,1,1,0,5,5,1,
5124,2007,1,6,Russell,Chambers,223,1,1,1,0,5,5,1,
5124,2007,1,12,Ed,Stubitsch,38,0,0,0,1,5,5,1,
5124,2007,1,NA,Scatter,,16,0,0,0,1,5,5,1,
5124,2008,1,13,Shawn,Lenzendorf,201,1,0,0,0,6,6,1,
5124,2008,1,9,Jerry,Jones,124,0,1,1,0,6,6,1,
5124,2008,1,10,Mark,Johnson,214,1,1,1,0,6,6,1,
5124,2008,1,NA,Scatter,,3,0,0,0,1,6,6,1,
5124,2009,1,14,Brenda,Ostrander,187,1,0,0,0,7,7,1,
5124,2009,1,15,Kris,Stuckey,173,1,0,0,0,7,7,1,
5124,2010,1,8,Lynn,Schreck,417,1,1,1,0,8,8,1,
5124,2010,1,16,Russell,Martin,317,0,0,0,0,8,8,1,
5124,2010,1,17,Christine,Reynolds,322,1,0,0,0,8,8,1,
5124,2010,1,3,Harold,Schroeder,96,0,0,0,1,8,8,1,
5124,2010,1,18,Larry,Kelley,385,1,0,0,0,8,8,1,
5124,2010,1,19,Kimberly,Sprosty,130,0,0,0,0,8,8,1,
5124,2010,1,20,Daryl,Aspenson,300,0,0,0,0,8,8,1,
5124,2010,1,21,Rose,Ruby,258,0,0,0,0,8,8,1,
5124,2011,1,20,Daryl,Aspenson,229,0,0,1,0,9,9,1,
5124,2011,1,13,Shawn,Lenzendorf,380,1,1,1,0,9,9,1,
5124,2011,1,16,Russell,Martin,195,0,0,1,0,9,9,1,
5124,2011,1,10,Mark,Johnson,385,1,1,1,0,9,9,1,
5124,2012,1,14,Brenda,Ostrander,189,1,1,1,0,10,10,1,
5124,2012,1,22,Carol,Crusan,196,1,0,0,0,10,10,1,
5124,2012,1,NA,Scatter,,4,0,0,0,1,10,10,1,
