distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5138,2002,1,1,Tom,Smet,1886,1,1,1,0,1,1,1,
5138,2002,1,2,Bonnie,Simon,1917,1,1,1,0,1,1,1,
5138,2003,1,3,Joannn,Wyngard,1321,1,1,1,0,2,2,1,
5138,2003,1,4,Jon,Schaumberg,1429,1,1,1,0,2,2,1,
5138,2004,1,5,Brian,Maas,363,1,1,1,0,3,3,1,
5138,2004,1,6,Lori,Thiel,367,1,1,1,0,3,3,1,
5138,2004,1,7,Tom,Brauer,365,1,1,1,0,3,3,1,
5138,2005,1,2,Bonnie,Simon,1143,1,1,1,0,4,4,1,
5138,2005,1,1,Tom,Smet,1171,1,1,1,0,4,4,1,
5138,2006,1,3,Joannn,Wyngard,856,1,1,1,0,5,5,1,
5138,2006,1,4,Jon,Schaumberg,953,1,1,1,0,5,5,1,
5138,2007,1,5,Brian,Maas,1086,1,0,1,0,6,6,1,
5138,2007,1,6,Lori,Thiel,1036,1,1,1,0,6,6,1,
5138,2007,1,8,Diane,Wendt,729,1,0,0,0,6,6,1,
5138,2007,1,7,Tom,Brauer,713,0,1,1,0,6,6,1,
5138,2008,1,1,Tom,Smet,1310,1,1,1,0,7,7,1,
5138,2008,1,2,Bonnie,Simon,1321,1,1,1,0,7,7,1,
5138,2009,1,9,Laurie,Bowers,1125,1,0,0,0,8,8,1,
5138,2009,1,10,Paula,Rohm,1146,1,0,0,0,8,8,1,
5138,2010,1,11,Nathan,King,577,0,0,0,0,9,9,1,
5138,2010,1,6,Lori,Thiel,909,1,1,1,0,9,9,1,
5138,2010,1,8,Diane,Wendt,947,1,1,1,0,9,9,1,
5138,2011,1,1,Tom,Smet,2218,1,1,1,0,10,10,1,
5138,2011,1,12,Jill,Karweick,1326,1,0,0,0,10,10,1,
5138,2011,1,13,Chris,Stedl,1065,0,0,0,0,10,10,1,
5138,2012,1,9,Laurie,Bowers,1447,1,1,1,0,11,11,1,
5138,2012,1,10,Paula,Rohm,1441,1,1,1,0,11,11,1,
