distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5258,2003,1,1,Charles,Weeks,271,1,1,1,0,1,1,1,
5258,2003,1,2,Daniel,Romenesko,302,1,1,1,0,1,1,1,
5258,2003,1,NA,Scatter,,5,0,0,0,1,1,1,1,
5258,2004,1,3,Bruce,Redenius,120,1,1,1,0,2,2,1,
5258,2004,1,4,Donna,Duncan,197,1,0,0,0,2,2,1,
5258,2004,1,NA,Scatter,,1,0,0,0,1,2,2,1,
5258,2005,1,5,Sharon,Travis,264,1,1,1,0,3,3,1,
5258,2005,1,6,Debbie,Lowry,293,1,1,1,0,3,3,1,
5258,2005,1,NA,Scatter,,12,0,0,0,1,3,3,1,
5258,2006,1,1,Charles,Weeks,193,1,1,1,0,4,4,1,
5258,2006,1,2,Daniel,Romenesko,201,1,1,1,0,4,4,1,
5258,2008,1,6,Debbie,Lowry,215,1,1,1,0,5,5,1,
5258,2008,1,7,Cynthia,Lopez,106,0,0,0,0,5,5,1,
5258,2008,1,8,Sarah,Hayes,242,1,0,0,0,5,5,1,
5258,2008,1,9,Megan,O'Reilly-Enk,98,0,0,0,1,5,5,1,
5258,2009,1,2,Daniel,Romenesko,320,1,1,1,0,6,6,1,
5258,2009,1,1,Charles,Weeks,302,1,1,1,0,6,6,1,
5258,2009,1,NA,Scatter,,5,0,0,0,1,6,6,1,
5258,2010,1,10,Darrell,Frederick,326,1,0,0,0,7,7,1,
5258,2011,1,6,Debbie,Lowry,300,1,1,1,0,8,8,1,
5258,2011,1,8,Sarah,Hayes,277,1,1,1,0,8,8,1,
5258,2011,1,NA,Scatter,,1,0,0,0,1,8,8,1,
5258,2012,1,11,Debbie,Wojcik,290,1,0,0,0,9,9,1,
5258,2012,1,12,Patrice,Neubert,222,1,0,0,0,9,9,1,
5258,2012,1,13,Steven,Rice,221,1,0,0,0,9,9,1,
5258,2012,1,NA,Scatter,,4,0,0,0,1,9,9,1,
