distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5271,2004,1,1,Juan,Perez,6118,1,1,1,0,1,1,1,
5271,2004,1,2,Teresa,Blundell,3691,1,0,0,0,1,1,1,
5271,2004,1,3,Drew,MacEwen,3362,0,0,0,0,1,1,1,
5271,2004,1,4,Jeffrey,Squier,4340,1,1,1,0,1,1,1,
5271,2004,1,NA,Scatter,,15,0,0,0,1,1,1,1,
5271,2005,1,5,Larry,Samet,8103,1,1,1,0,2,2,1,
5271,2005,1,6,Maeve,Quinn,8283,1,1,1,0,2,2,1,
5271,2005,1,7,David,Gallanetti,7917,1,1,1,0,2,2,1,
5271,2005,1,NA,Scatter,,99,0,0,0,1,2,2,1,
5271,2006,1,8,MyShoua,Vang,5945,1,0,0,0,3,3,1,
5271,2006,1,9,Barbara,Tusynski,6797,1,1,1,0,3,3,1,
5271,2006,1,10,Ronald,Rindfleisch,6814,1,1,1,0,3,3,1,
5271,2006,1,11,John,Hill,6107,1,0,0,0,3,3,1,
5271,2006,1,NA,Scatter,,105,0,0,0,1,3,3,1,
5271,2007,1,12,Mark,Mancl,4527,1,0,0,0,4,4,1,
5271,2007,1,4,Jeffrey,Squier,4706,1,1,1,0,4,4,1,
5271,2007,1,13,Alan,Jante,3538,0,0,0,0,4,4,1,
5271,2007,1,14,Fong,Lee,4136,0,0,0,0,4,4,1,
5271,2007,1,15,Scott,Lewandoske,4718,1,0,0,0,4,4,1,
5271,2008,1,7,David,Gallanetti,4659,1,1,1,0,5,5,1,
5271,2008,1,5,Larry,Samet,4676,1,1,1,0,5,5,1,
5271,2008,1,16,Jennifer,Pothast,4746,1,0,0,0,5,5,1,
5271,2008,1,NA,Scatter,,78,0,0,0,1,5,5,1,
5271,2009,1,9,Barbara,Tusynski,6565,1,1,1,0,6,6,1,
5271,2009,1,10,Ronald,Rindfleisch,6465,1,1,1,0,6,6,1,
5271,2009,1,11,John,Hill,5422,0,1,1,0,6,6,1,
5271,2009,1,17,Susan,Hein,8211,1,0,0,0,6,6,1,
5271,2009,1,NA,Scatter,,150,0,0,0,1,6,6,1,
5271,2010,1,18,Marcia,Reinthaler,2664,1,0,0,0,7,7,1,
5271,2010,1,15,Scott,Lewandoske,1812,0,1,1,0,7,7,1,
5271,2010,1,17,Susan,Hein,3150,1,1,1,0,7,7,1,
5271,2010,1,12,Mark,Mancl,2444,1,1,1,0,7,7,1,
5271,2010,1,NA,Scatter,,65,0,0,0,1,7,7,1,
5271,2011,1,16,Jennifer,Pothast,7201,1,1,1,0,8,8,1,
5271,2011,1,7,David,Gallanetti,7079,1,1,1,0,8,8,1,
5271,2011,1,5,Larry,Samet,6639,1,1,1,0,8,8,1,
5271,2011,1,15,Scott,Lewandoske,6364,0,0,1,0,8,8,1,
5271,2011,1,NA,Scatter,,204,0,0,0,1,8,8,1,
5271,2012,1,11,John,Hill,3603,1,0,1,0,9,9,1,
5271,2012,1,19,Ryan,Burg,4228,1,0,0,0,9,9,1,
5271,2012,1,9,Barbara,Tusynski,4974,1,1,1,0,9,9,1,
5271,2012,1,20,Peter,Madden,3455,0,0,0,0,9,9,1,
5271,2012,1,15,Scott,Lewandoske,3431,0,0,1,0,9,9,1,
