distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5306,2002,1,1,Kent,Wabrowetz,482,1,1,1,0,1,1,1,
5306,2002,1,2,Jeri,Bitney,514,1,1,1,0,1,1,1,
5306,2002,1,NA,Scatter,,5,0,0,0,1,1,1,1,
5306,2003,1,3,JoAnne,Olson,682,1,1,1,0,2,2,1,
5306,2003,1,4,Brian,Dosch,607,1,1,1,0,2,2,1,
5306,2003,1,5,Anne,Mentele,528,1,0,0,0,2,2,1,
5306,2003,1,NA,Scatter,,11,0,0,0,1,2,2,1,
5306,2004,1,6,Stuart,Olson,459,1,1,1,0,3,3,1,
5306,2004,1,7,Tim,Mikula,402,1,1,1,0,3,3,1,
5306,2004,1,NA,Scatter,,14,0,0,0,1,3,3,1,
5306,2005,1,8,Robert,Hall,399,1,0,0,0,4,4,1,
5306,2005,1,2,Jeri,Bitney,444,1,1,1,0,4,4,1,
5306,2005,1,NA,Scatter,,9,0,0,0,1,4,4,1,
5306,2006,1,5,Anne,Mentele,312,1,1,1,0,5,5,1,
5306,2006,1,4,Brian,Dosch,323,1,1,1,0,5,5,1,
5306,2006,1,3,JoAnne,Olson,358,1,1,1,0,5,5,1,
5306,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
5306,2007,1,6,Stuart,Olson,706,1,1,1,0,6,6,1,
5306,2007,1,7,Tim,Mikula,730,1,1,1,0,6,6,1,
5306,2007,1,NA,Scatter,,1,0,0,0,1,6,6,1,
5306,2008,1,8,Robert,Hall,414,0,1,1,0,7,7,1,
5306,2008,1,9,Mary Ann,Hook-Swan,455,1,0,0,0,7,7,1,
5306,2008,1,10,Wendy,Muska,494,1,0,0,0,7,7,1,
5306,2008,1,11,Linda,Nielsen,424,1,0,0,0,7,7,1,1 year term
5306,2009,1,2,Jeri,Bitney,407,1,0,1,0,8,8,1,
5306,2009,1,11,Linda,Nielsen,382,1,1,1,0,8,8,1,
5306,2009,1,12,Philip,Holman,410,1,0,1,0,8,8,1,
5306,2009,1,NA,Scatter,,8,0,0,0,1,8,8,1,
5306,2010,1,6,Stuart,Olson,477,1,1,1,0,9,9,1,
5306,2010,1,7,Tim,Mikula,475,1,1,1,0,9,9,1,1 year term
5306,2010,1,9,Mary Ann,Hook-Swan,507,1,1,1,0,9,9,1,
5306,2010,1,NA,Scatter,,11,0,0,0,1,9,9,1,
5306,2011,1,7,Tim,Mikula,755,1,1,1,0,10,10,1,
5306,2011,1,10,Wendy,Muska,142,1,1,1,0,10,10,1,
5306,2011,1,NA,Scatter,,42,0,0,0,1,10,10,1,
5306,2012,1,11,Linda,Nielsen,490,1,1,1,0,11,11,1,
5306,2012,1,2,Jeri,Bitney,479,1,1,1,0,11,11,1,
5306,2012,1,12,Philip,Holman,493,1,1,1,0,11,11,1,
5306,2012,1,NA,Scatter,,5,0,0,0,1,11,11,1,
