distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5348,2002,1,1,Alan,Van Straten,269,1,0,0,0,1,1,1,
5348,2002,1,2,Allen,Warner,234,1,0,0,0,1,1,1,1 year term
5348,2002,1,3,Raymond,Gomm,164,0,0,0,0,1,1,1,
5348,2002,1,4,David,Gomm,269,1,1,1,0,1,1,1,
5348,2003,1,2,Allen,Warner,375,1,1,1,0,2,2,1,
5348,2003,1,5,Aaron,Pluger,368,0,0,0,0,2,2,1,
5348,2003,1,3,Raymond,Gomm,373,1,0,1,0,2,2,1,
5348,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
5348,2004,1,6,Charles,Pluger,150,1,1,1,0,3,3,1,
5348,2004,1,7,David,McNichols,145,1,1,1,0,3,3,1,
5348,2004,1,8,Douglas,Pahlow,149,1,1,1,0,3,3,1,
5348,2005,1,1,Alan,Van Straten,290,1,1,1,0,4,4,1,
5348,2005,1,4,David,Gomm,304,1,1,1,0,4,4,1,
5348,2006,1,3,Raymond,Gomm,191,1,0,1,0,5,5,1,
5348,2006,1,2,Allen,Warner,187,1,1,1,0,5,5,1,
5348,2006,1,9,Mary,Hoffman,270,1,0,0,0,5,5,1,
5348,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
5348,2007,1,2,Allen,Warner,345,1,1,1,0,6,6,1,
5348,2007,1,10,Missy,Van Dyke,369,1,0,0,0,6,6,1,
5348,2007,1,11,Bradley,Ritchie,444,1,0,0,0,6,6,1,
5348,2007,1,NA,Scatter,,2,0,0,0,1,6,6,1,
5348,2008,1,4,David,Gomm,362,1,1,1,0,7,7,1,
5348,2008,1,12,Gregory,Schoettler,341,1,0,0,0,7,7,1,
5348,2008,1,NA,Scatter,,9,0,0,0,1,7,7,1,
5348,2009,1,13,Jeremie,Birch,232,0,0,0,0,8,8,1,
5348,2009,1,3,Raymond,Gomm,285,1,1,1,0,8,8,1,
5348,2009,1,9,Mary,Hoffman,349,1,1,1,0,8,8,1,
5348,2009,1,NA,Scatter,,2,0,0,0,1,8,8,1,
5348,2010,1,10,Missy,Van Dyke,198,1,1,1,0,9,9,1,
5348,2010,1,2,Allen,Warner,179,1,1,1,0,9,9,1,
5348,2010,1,11,Bradley,Ritchie,239,1,1,1,0,9,9,1,
5348,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
5348,2011,1,12,Gregory,Schoettler,613,1,0,0,0,10,10,1,
5348,2011,1,4,David,Gomm,731,1,1,1,0,10,10,1,
5348,2011,1,NA,Scatter,,4,0,0,0,1,10,10,1,
5348,2012,1,9,Mary,Hoffman,464,1,1,1,0,11,11,1,
5348,2012,1,3,Raymond,Gomm,444,1,1,1,0,11,11,1,
5348,2012,1,NA,Scatter,,2,0,0,0,1,11,11,1,
