distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5355,2002,1,1,Ruth,Treisman,1816,1,1,1,0,1,1,1,
5355,2002,1,2,David,Tatarowicz,793,0,0,0,0,1,1,1,
5355,2002,1,3,Paul,Zovic,1733,1,0,0,0,1,1,1,
5355,2002,1,4,Emily,Koczela,1870,1,1,1,0,1,1,1,
5355,2003,1,5,Jill,Eannelli,1277,1,0,0,0,2,2,1,
5355,2003,1,6,Stephen,Werner,1240,1,0,0,0,2,2,1,
5355,2004,1,7,Nancy,Bornstein,2590,1,1,1,0,3,3,1,
5355,2004,1,8,John,Carlton,2355,1,0,0,0,3,3,1,
5355,2004,1,3,Paul,Zovic,2349,1,1,0,0,3,3,1,
5355,2005,1,1,Ruth,Treisman,915,1,1,1,0,4,4,1,
5355,2005,1,9,Virginia,Carlson,883,1,1,1,0,4,4,1,
5355,2006,1,3,Paul,Zovic,841,1,1,1,0,5,5,1,
5355,2007,1,7,Nancy,Bornstein,1360,1,1,1,0,6,6,1,
5355,2007,1,8,John,Carlton,1171,1,1,1,0,6,6,1,
5355,2007,1,10,Michael,Mishlove,1066,1,0,0,0,6,6,1,
5355,2007,1,11,Mary Emma,Poroli,865,0,0,0,1,6,6,1,
5355,2008,1,1,Ruth,Treisman,2331,1,1,1,0,7,7,1,
5355,2008,1,10,Michael,Mishlove,1689,1,1,1,0,7,7,1,
5355,2009,1,3,Paul,Zovic,1311,1,1,1,0,8,8,1,
5355,2010,1,8,John,Carlton,659,0,1,1,0,9,9,1,
5355,2010,1,12,Rob,Reinhoffer,708,1,0,0,0,9,9,1,
5355,2010,1,13,Linda,Jacobi,196,0,0,0,0,9,9,1,
5355,2010,1,14,Colin,Plese,875,1,0,0,0,9,9,1,
5355,2011,1,1,Ruth,Treisman,3098,1,1,1,0,10,10,1,
5355,2011,1,10,Michael,Mishlove,2818,1,1,1,0,10,10,1,
5355,2012,1,15,David,Cobb,1283,1,0,0,0,11,11,1,
5355,2012,1,16,Dave,Gess,617,1,0,0,0,11,11,1,
