distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5397,2002,1,1,George ,Fairfield,239,1,1,1,0,1,1,1,
5397,2002,1,2,Lucy,Linsmeyer,227,1,1,1,0,1,1,1,
5397,2003,1,3,Sharon,Bavlnka,219,1,1,0,0,2,2,1,
5397,2003,1,4,Gitzy,Wicklund,265,1,1,1,0,2,2,1,
5397,2003,1,NA,Scatter,Scatter,18,0,0,0,1,2,2,1,
5397,2004,1,5,Thomas,Stewart,236,1,0,0,0,3,3,1,
5397,2004,1,NA,Scatter,Scatter,2,0,0,0,1,3,3,1,
5397,2005,1,6,Romine,Deming,199,0,0,0,0,4,4,1,
5397,2005,1,2,Lucy,Linsmeyer,221,1,1,1,0,4,4,1,
5397,2005,1,1,George ,Fairfield,244,1,1,1,0,4,4,1,
5397,2006,1,6,Romine,Deming,310,1,0,1,0,5,5,1,
5397,2006,1,4,Gitzy,Wicklund,323,1,1,1,0,5,5,1,
5397,2006,1,NA,Scatter,Scatter,4,0,0,0,1,5,5,1,
5397,2007,1,7,Sharon,LaRose,191,0,0,0,0,6,6,1,
5397,2007,1,8,Steve,Long,270,1,0,0,0,6,6,1,
5397,2008,1,1,George ,Fairfield,286,1,1,1,0,7,7,1,
5397,2008,1,2,Lucy,Linsmeyer,244,1,1,1,0,7,7,1,
5397,2008,1,NA,Scatter,Scatter,14,0,0,0,1,7,7,1,
5397,2009,1,4,Gitzy,Wicklund,374,1,1,1,0,8,8,1,
5397,2009,1,6,Romine,Deming,341,1,1,1,0,8,8,1,
5397,2009,1,NA,Scatter,Scatter,19,0,0,0,1,8,8,1,
5397,2010,1,8,Steve,Long,137,1,1,1,0,9,9,1,
5397,2010,1,7,Sharon,LaRose,5,0,0,1,1,9,9,1,
5397,2011,1,9,Matt,Blaylock,507,1,0,0,0,10,10,1,
5397,2011,1,2,Lucy,Linsmeyer,402,1,1,1,0,10,10,1,
5397,2011,1,NA,Scatter,Scatter,12,0,0,0,1,10,10,1,
5397,2012,1,4,Gitzy,Wicklund,301,1,1,1,0,11,11,1,
5397,2012,1,6,Romine,Deming,264,1,1,1,0,11,11,1,
5397,2012,1,NA,Scatter,Scatter,13,0,0,0,1,11,11,1,
