distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5439,2002,1,1,Dennis,Orlowski,2787,1,1,1,0,1,1,1,
5439,2002,1,2,Michael,Stritchko,2697,1,1,1,0,1,1,1,
5439,2002,1,3,Thomas,Arend,2511,1,0,0,0,1,1,1,
5439,2003,2,4,Kay,Lussier,575,1,0,0,0,2,2,1,
5439,2003,2,5,David,Maass,556,1,0,0,0,2,2,1,
5439,2003,2,6,Thomas,Seney,551,0,0,0,0,2,2,1,
5439,2003,2,7,John,Haslam,545,0,1,1,0,2,2,1,
5439,2003,1,4,Kay,Lussier,1858,1,0,0,0,3,3,1,
5439,2003,1,5,David,Maass,1613,1,0,0,0,3,3,1,
5439,2004,1,8,Steven,Skowronski,2963,1,1,1,0,4,4,1,
5439,2004,1,9,Therese,Travia,2882,1,1,1,0,4,4,1,
5439,2005,2,10,Brett,Briesemeister,1032,1,0,0,0,5,5,1,
5439,2005,2,7,John,Haslam,786,1,0,1,0,5,5,1,
5439,2005,2,6,Thomas,Seney,782,1,0,1,0,5,5,1,
5439,2005,2,11,Patricia,Bordak,635,1,0,0,0,5,5,1,
5439,2005,2,2,Michael,Stritchko,401,0,1,1,0,5,5,1,
5439,2005,2,3,Thomas,Arend,338,0,1,1,0,5,5,1,
5439,2005,2,12,Joyce,Miller,275,0,0,0,0,5,5,1,
5439,2005,2,13,Russ,Burkel,261,0,0,0,0,5,5,1,
5439,2005,2,14,Noah,Skowronski,252,0,0,0,0,5,5,1,
5439,2005,1,10,Brett,Briesemeister,1739,1,0,0,0,6,6,1,
5439,2005,1,7,John,Haslam,1304,1,0,1,0,6,6,1,
5439,2005,1,11,Patricia,Bordak,1242,1,0,0,0,6,6,1,
5439,2006,1,4,Kay,Lussier,3219,1,1,1,0,7,7,1,
5439,2006,1,5,David,Maass,2911,1,1,1,0,7,7,1,
5439,2007,1,9,Therese,Travia,1992,1,1,1,0,8,8,1,
5439,2007,1,15,Kristin,Drenzek,682,1,0,0,0,8,8,1,
5439,2008,1,10,Brett,Briesemeister,2900,1,1,1,0,9,9,1,
5439,2008,1,11,Patricia,Bordak,2778,1,1,1,0,9,9,1,
5439,2008,1,7,John,Haslam,2512,1,1,1,0,9,9,1,
5439,2009,1,5,David,Maass,1423,1,1,1,0,10,10,1,
5439,2009,1,16,Kathee,Molus,1271,1,0,0,0,10,10,1,
5439,2009,1,17,Zachary,Wisniewski,1041,0,0,0,0,10,10,1,
5439,2009,1,18,Nick,Szablewski,728,0,0,0,0,10,10,1,
5439,2011,1,7,John,Haslam,2811,1,1,1,0,11,11,1,
5439,2011,1,11,Patricia,Bordak,2937,1,1,1,0,11,11,1,
5439,2011,1,19,Carol,Dufek,2077,1,0,0,0,11,11,1,
5439,2012,1,5,David,Maass,2171,1,1,1,0,12,12,1,
5439,2012,1,16,Kathee,Molus,1832,1,1,1,0,12,12,1,
