distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5460,2002,1,1,Dave,Richards,1626,1,0,0,0,1,1,1,
5460,2002,1,2,Jim,Harrie,1628,1,1,1,0,1,1,1,
5460,2002,1,3,Kevin,Cox,963,0,1,1,0,1,1,1,
5460,2002,1,4,Ron,Roberts,1263,1,0,0,0,1,1,1,
5460,2002,1,5,Tonya,Kenyon,689,0,1,1,0,1,1,1,
5460,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
5460,2002,3,6,Mark,Wermer,1794,0,1,1,0,2,2,1,
5460,2002,3,7,Paul,Solberg,2476,1,0,0,0,2,2,1,He finished the 3 year term started in 2001
5460,2002,3,8,Marion,Starling,372,0,0,0,0,2,2,1,
5460,2002,3,NA,Scatter,,7,0,0,0,1,2,2,1,
5460,2003,1,9,Joan,Cook,1356,1,0,0,0,3,3,1,
5460,2003,1,10,Pat,Nugent,854,0,0,0,0,3,3,1,
5460,2003,1,11,Thomas,Van Tassel,527,0,0,0,0,3,3,1,
5460,2003,1,12,Mark,Hemmerich,932,1,1,1,0,3,3,1,
5460,2004,1,10,Pat,Nugent,678,0,0,1,0,4,4,1,
5460,2004,1,13,Gary,Kirking,878,1,0,0,0,4,4,1,1 year term
5460,2004,1,7,Paul,Solberg,1063,1,1,1,0,4,4,1,
5460,2004,1,14,Julie,Rodgers,508,0,0,0,0,4,4,1,
5460,2004,1,15,Wayne,Jenkins,973,1,1,1,0,4,4,1,
5460,2005,1,13,Gary,Kirking,1481,1,1,1,0,5,5,1,
5460,2005,1,16,Janet,Horstman,1307,1,0,0,0,5,5,1,
5460,2005,1,17,David,Eitland,781,0,0,0,0,5,5,1,
5460,2005,1,18,Theresa,Burns-Gilbert,1354,1,0,0,0,5,5,1,
5460,2005,1,8,Marion,Starling,653,0,0,1,0,5,5,1,
5460,2005,1,NA,Scatter,,6,0,0,0,1,5,5,1,
5460,2006,1,9,Joan,Cook,632,1,1,1,0,6,6,1,
5460,2006,1,12,Mark,Hemmerich,562,1,1,1,0,6,6,1,
5460,2006,1,NA,Scatter,,13,0,0,0,1,6,6,1,
5460,2007,1,15,Wayne,Jenkins,2125,1,1,1,0,7,7,1,
5460,2007,1,19,Lee,Culpitt,1260,0,0,0,0,7,7,1,
5460,2007,1,7,Paul,Solberg,2108,1,1,1,0,7,7,1,
5460,2008,1,18,Theresa,Burns-Gilbert,1058,1,1,1,0,8,8,1,
5460,2008,1,13,Gary,Kirking,1025,1,1,1,0,8,8,1,
5460,2008,1,16,Janet,Horstman,1040,1,1,1,0,8,8,1,
5460,2008,1,NA,Scatter,,14,0,0,0,1,8,8,1,
5460,2009,1,9,Joan,Cook,2015,1,1,1,0,9,9,1,
5460,2009,1,17,David,Eitland,1244,0,0,1,0,9,9,1,
5460,2009,1,19,Lee,Culpitt,1368,1,0,1,0,9,9,1,
5460,2009,1,NA,Scatter,,13,0,0,0,1,9,9,1,
5460,2010,1,7,Paul,Solberg,2358,1,1,1,0,10,10,1,
5460,2010,1,17,David,Eitland,1612,1,0,1,0,10,10,1,
5460,2010,1,NA,Scatter,,60,0,0,0,1,10,10,1,
5460,2011,1,13,Gary,Kirking,2686,1,1,1,0,11,11,1,
5460,2011,1,20,Bud,Berendes,2372,1,0,0,0,11,11,1,
5460,2011,1,21,Terry,Fredrickson,1544,0,0,0,0,11,11,1,
5460,2011,1,22,Todd,Mandel,1893,1,0,0,0,11,11,1,
5460,2011,1,NA,Scatter,,29,0,0,0,1,11,11,1,
5460,2012,1,9,Joan,Cook,2229,1,1,1,0,12,12,1,
5460,2012,1,19,Lee,Culpitt,1997,1,1,1,0,12,12,1,
5460,2012,1,NA,Scatter,,10,0,0,0,1,12,12,1,
