distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5474,2002,1,1,,Fox,1086,0,1,1,0,1,1,1,
5474,2002,1,2,Robert,Waggoner,1174,0,1,1,0,1,1,1,
5474,2002,1,3,Anthony,Lombard,1404,1,0,0,0,1,1,1,
5474,2002,1,4,David,Kafura,1432,1,0,0,0,1,1,1,
5474,2002,1,5,Michael,Gudenschwager,1365,1,0,0,0,1,1,1,
5474,2003,1,6,Philip,Markgren,1286,1,1,1,0,2,2,1,
5474,2003,1,7,Beverly,Bohac,1177,0,1,1,0,2,2,1,
5474,2003,1,8,Kurt,Krueger,1292,1,0,0,0,2,2,1,
5474,2003,1,9,,Melton,1164,0,0,0,0,2,2,1,
5474,2004,1,10,William,Stewart,1010,0,1,1,0,3,3,1,
5474,2004,1,11,Willie,Kauffman,1151,1,0,0,0,3,3,1,
5474,2004,1,12,Marueen,Revak,1152,1,0,0,0,3,3,1,
5474,2004,1,NA,Scatter,,6,0,0,0,1,3,3,1,
5474,2005,2,13,Mary Lou,Lawrence,538,1,0,0,0,4,4,1,
5474,2005,2,3,Anthony,Lombard,302,1,1,1,0,4,4,1,
5474,2005,2,7,Beverly,Bohac,543,1,0,1,0,4,4,1,
5474,2005,2,5,Michael,Gudenschwager,233,0,1,1,0,4,4,1,
5474,2005,2,14,,Sorenson,344,1,0,0,0,4,4,1,
5474,2005,2,15,,Baier,399,1,0,0,0,4,4,1,
5474,2005,2,4,David,Kafura,282,0,1,1,0,4,4,1,
5474,2005,2,16,Paul,Goellner,673,1,0,0,0,4,4,1,
5474,2005,1,14,,Sorenson,803,0,0,0,0,5,5,1,
5474,2005,1,3,Anthony,Lombard,815,0,1,1,0,5,5,1,
5474,2005,1,15,,Baier,789,0,0,0,0,5,5,1,
5474,2005,1,13,Mary Lou,Lawrence,1095,1,0,0,0,5,5,1,
5474,2005,1,16,Paul,Goellner,1365,1,0,0,0,5,5,1,
5474,2005,1,7,Beverly,Bohac,1042,1,0,1,0,5,5,1,
5474,2005,1,4,David,Kafura,77,0,1,1,1,5,5,1,
5474,2005,1,5,Michael,Gudenschwager,69,0,1,1,1,5,5,1,
5474,2005,1,NA,Scatter,,1,0,0,0,1,5,5,1,
5474,2006,1,6,Philip,Markgren,946,1,1,1,0,6,6,1,
5474,2006,1,8,Kurt,Krueger,621,0,1,1,0,6,6,1,
5474,2006,1,17,Deb,Shipman,1058,1,0,0,0,6,6,1,
5474,2006,1,NA,Scatter,,6,0,0,0,1,6,6,1,
5474,2007,1,8,Kurt,Krueger,1386,0,0,1,0,7,7,1,
5474,2007,1,12,Marueen,Revak,1890,1,1,1,0,7,7,1,
5474,2007,1,11,William,Kauffman,2129,1,1,1,0,7,7,1,
5474,2008,1,8,Kurt,Krueger,706,0,0,1,0,8,8,1,
5474,2008,1,7,Beverly,Bohac,1134,1,1,1,0,8,8,1,
5474,2008,1,13,Mary Lou,Lawrence,1371,1,1,1,0,8,8,1,
5474,2008,1,16,Paul,Goellner,1358,1,1,1,0,8,8,1,
5474,2009,1,8,Kurt,Krueger,708,0,0,1,0,9,9,1,
5474,2009,1,17,Deb,Shipman,1113,1,1,1,0,9,9,1,
5474,2009,1,6,Philip,Markgren,1156,1,1,1,0,9,9,1,
5474,2009,1,NA,Scatter,,9,0,0,0,1,9,9,1,
5474,2010,1,NA,Scatter,,4,0,0,0,1,10,10,1,
5474,2010,1,11,William,Kauffman,592,1,1,1,0,10,10,1,
5474,2010,1,12,Marueen,Revak,564,1,1,1,0,10,10,1,
5474,2010,1,8,Kurt,Krueger,397,0,0,1,0,10,10,1,
5474,2011,1,16,Paul,Goellner,1628,1,1,1,0,11,11,1,
5474,2011,1,7,Beverly,Bohac,1433,1,1,1,0,11,11,1,
5474,2011,1,18,Timothy,Reedy,1761,1,0,0,0,11,11,1,
5474,2011,1,19,,Martin,1180,0,0,0,0,11,11,1,
5474,2011,1,20,,Hoellen,960,0,0,0,0,11,11,1,
5474,2011,1,8,Kurt,Krueger,966,0,0,1,0,11,11,1,
5474,2011,1,NA,Scatter,,5,0,0,0,1,11,11,1,
5474,2012,1,19,,Martin,1313,1,0,1,0,12,12,1,
5474,2012,1,6,Philip,Markgren,1251,1,1,1,0,12,12,1,"2 year term, finishing Reedy's term"
5474,2012,1,21,,Eichhorst,1408,1,0,0,0,12,12,1,
5474,2012,1,22,,Wilson,1152,0,0,0,0,12,12,1,
