distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5586,2007,1,1,Terry,Miller,248,0,0,0,0,1,1,1,
5586,2007,1,2,Mitchell,Case,125,0,0,0,0,1,1,1,
5586,2007,1,3,Allan,Faber,305,1,1,1,0,1,1,1,
5586,2007,1,4,Jim,Helmer,343,1,0,0,0,1,1,1,
5586,2007,1,NA,Scatter,,7,0,0,0,1,1,1,1,
5586,2008,1,5,Eric,Turner,332,1,0,0,0,2,2,1,
5586,2008,1,6,Jim,Green,275,1,0,0,0,2,2,1,
5586,2008,1,1,Terry,Miller,258,1,0,1,0,2,2,1,
5586,2008,1,7,Louis,Zupancic,189,0,1,1,0,2,2,1,
5586,2008,1,NA,Scatter,,4,0,0,0,1,2,2,1,
5586,2009,1,8,Brian,Wang,356,1,1,1,0,3,3,1,
5586,2009,1,9,Peter,Coyne,342,1,0,0,0,3,3,1,
5586,2009,1,NA,Scatter,,20,0,0,0,1,3,3,1,
5586,2010,1,4,Jim,Helmer,429,1,1,1,0,4,4,1,
5586,2010,1,3,Allan,Faber,402,1,1,1,0,4,4,1,
5586,2010,1,NA,Scatter,,18,0,0,0,1,4,4,1,
5586,2011,1,1,Terry,Miller,488,1,1,1,0,5,5,1,
5586,2011,1,6,Jim,Green,446,1,1,1,0,5,5,1,
5586,2011,1,10,Chad,Wegener,433,0,0,0,0,5,5,1,
5586,2011,1,11,Mary,Huepfel,729,1,0,0,0,5,5,1,
5586,2011,1,12,Wendy,Verdouw,347,0,0,0,0,5,5,1,
5586,2011,1,NA,Scatter,,3,0,0,0,1,5,5,1,
5586,2012,1,8,Brian,Wang,432,1,1,1,0,6,6,1,
5586,2012,1,9,Peter,Coyne,399,1,1,1,0,6,6,1,
5586,2012,1,NA,Scatter,,18,0,0,0,1,6,6,1,
5586,2013,1,4,Jim,Helmer,678,1,1,1,0,7,7,1,
5586,2013,1,3,Allan,Faber,500,1,1,1,0,7,7,1,
5586,2013,1,NA,Scatter,,20,0,0,0,1,7,7,1,
