distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5026,2003,1,1,Kathleen,Rutter,631,1,1,1,0,1,1,1,
5026,2003,1,2,Jacqueline,Hemmer,629,1,1,1,0,1,1,1,
5026,2005,1,3,Bob,Boknevitz,472,1,1,1,0,2,2,1,
5026,2005,1,4,Kyle,Duerstein,373,1,0,0,0,2,2,1,
5026,2006,1,1,Kathleen,Rutter,823,1,1,1,0,3,3,1,
5026,2006,1,2,Jacqueline,Hemmer,808,1,1,1,0,3,3,1,
5026,2006,1,4,Kyle,Duerstein,791,1,1,1,0,3,3,1,1 year term
5026,2007,1,5,Russell,Iwanski,627,1,0,0,0,4,4,1,
5026,2007,1,4,Kyle,Duerstein,467,0,1,1,0,4,4,1,
5026,2007,1,6,Diane,Mayer,533,1,0,0,0,4,4,1,
5026,2008,1,3,Bob,Boknevitz,1618,1,1,1,0,5,5,1,
5026,2009,1,2,Jacqueline,Hemmer,524,1,1,1,0,6,6,1,
5026,2009,1,1,Kathleen,Rutter,575,1,1,1,0,6,6,1,
5026,2010,1,5,Russell,Iwanski,590,1,1,1,0,7,7,1,
5026,2010,1,6,Diane,Mayer,687,1,1,1,0,7,7,1,
