distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,raceid,districtwide,notes
5607,2002,2,1,,Shelton,426,0,0,0,0,1,1,1,1,
5607,2002,2,2,,Johanson,370,0,0,0,0,1,1,1,1,
5607,2002,2,3,,Trzebiatowski,652,1,0,0,0,1,1,1,1,
5607,2002,2,4,,Gingles,738,1,0,0,0,1,1,1,1,
5607,2002,2,5,Trudy,Peters,627,1,0,0,0,1,1,1,1,
5607,2002,2,6,Ed,Morganroth,433,0,0,0,0,1,1,1,1,
5607,2002,2,7,Christina,Scott,858,1,0,0,0,1,1,1,1,
5607,2002,2,8,,Suomi,518,0,0,0,0,1,1,1,1,
5607,2002,2,9,James,Harmon,794,1,1,1,0,1,1,1,1,
5607,2002,2,10,,Kiefer,534,1,0,0,0,1,1,1,1,
5607,2002,2,11,,Alekna,192,0,0,0,0,1,1,1,1,
5607,2002,2,12,Mark,Marti,612,1,0,0,0,1,1,1,1,
5607,2002,2,13,Bob,Larson,606,1,0,0,0,1,1,1,1,
5607,2002,2,NA,Scatter,,4,0,0,0,1,1,1,1,1,
5607,2002,1,13,Bob,Larson,3539,1,0,0,0,2,2,2,1,
5607,2002,1,4,,Gingles,2755,0,0,0,0,2,2,2,1,
5607,2002,1,12,Mark,Marti,2919,0,1,1,0,2,2,2,1,
5607,2002,1,9,James,Harmon,3714,1,1,1,0,2,2,2,1,
5607,2002,1,3,,Trzebiatowski,2579,0,0,0,0,2,2,2,1,
5607,2002,1,10,,Kiefer,3179,0,0,0,0,2,2,2,1,
5607,2002,1,5,Trudy,Peters,3139,0,0,0,0,2,2,2,1,
5607,2002,1,7,Christina,Scott,3537,1,0,0,0,2,2,2,1,
5607,2002,1,NA,Scatter,,23,0,0,0,1,2,2,2,1,
5607,2003,2,14,,Brokish,1049,1,0,0,0,3,3,3,1,
5607,2003,2,15,,Hefferan,1076,1,0,0,0,3,3,3,1,
5607,2003,2,16,John,Martin,1039,1,0,0,0,3,3,3,1,
5607,2003,2,5,Trudy,Peters,1263,1,0,1,0,3,3,3,1,
5607,2003,2,17,,Northcraft,851,1,0,0,0,3,3,3,1,
5607,2003,2,12,Mark,Marti,1142,1,0,1,0,3,3,3,1,
5607,2003,2,18,Michael,O'Meara,1312,1,1,1,0,3,3,3,1,
5607,2003,2,19,,Odders,671,0,0,0,0,3,3,3,1,
5607,2003,2,20,Mary,Thurmaier,1433,1,1,1,0,3,3,3,1,
5607,2003,1,18,Michael,O'Meara,4811,1,1,1,0,4,4,4,1,
5607,2003,1,17,,Northcraft,3549,0,0,0,0,4,4,4,1,
5607,2003,1,14,,Brokish,3840,0,0,0,0,4,4,4,1,
5607,2003,1,15,,Hefferan,3869,0,0,0,0,4,4,4,1,
5607,2003,1,5,Trudy,Peters,4459,1,0,1,0,4,4,4,1,
5607,2003,1,12,Mark,Marti,3818,0,0,1,0,4,4,4,1,
5607,2003,1,20,Mary,Thurmaier,5794,1,1,1,0,4,4,4,1,
5607,2003,1,16,John,Martin,4174,0,0,0,0,4,4,4,1,
5607,2004,2,21,,Levin,1144,0,0,0,0,5,5,5,1,
5607,2004,2,22,,Krszjzaniek,1324,0,0,0,0,5,5,5,1,
5607,2004,2,12,Mark,Marti,3328,1,0,1,0,5,5,5,1,
5607,2004,2,8,,Suomi,1988,1,0,1,0,5,5,5,1,
5607,2004,2,16,John,Martin,2430,1,0,1,0,5,5,5,1,
5607,2004,2,23,Elmer,Fournier,2886,1,0,0,0,5,5,5,1,
5607,2004,2,24,,Kovalski,2457,1,0,0,0,5,5,5,1,
5607,2004,2,25,Dwight,Stevens,1217,1,0,0,0,5,5,5,1,
5607,2004,1,12,Mark,Marti,3094,1,1,1,0,6,6,6,1,
5607,2004,1,8,,Suomi,1801,0,0,1,0,6,6,6,1,
5607,2004,1,24,,Kovalski,1569,0,0,0,0,6,6,6,1,
5607,2004,1,16,John,Martin,1870,0,0,1,0,6,6,6,1,
5607,2004,1,25,Dwight,Stevens,3031,1,0,0,0,6,6,6,1,
5607,2004,1,23,Elmer,Fournier,2506,1,0,0,0,6,6,6,1,
5607,2005,1,26,Danial,Johnson,5241,1,0,0,0,7,7,7,1,
5607,2005,1,8,,Suomi,3878,0,0,1,0,7,7,7,1,
5607,2005,1,9,James,Harmon,3933,0,1,1,0,7,7,7,1,
5607,2005,1,27,Mark,Ptak,4981,1,0,0,0,7,7,7,1,
5607,2005,1,7,Christina,Scott,5055,1,1,1,0,7,7,7,1,
5607,2005,1,13,Bob,Larson,4024,0,1,1,0,7,7,7,1,
5607,2006,2,21,,Levin,969,0,0,1,0,8,8,8,1,
5607,2006,2,28,Lynda,Louis,1729,1,0,0,0,8,8,8,1,
5607,2006,2,29,,Higgins-Jed,774,0,0,0,0,8,8,8,1,
5607,2006,2,30,Renae,Sheibley,3125,1,0,0,0,8,8,8,1,
5607,2006,2,31,,Tylka,1721,0,0,0,0,8,8,8,1,
5607,2006,2,32,,Kezeske,808,0,0,0,0,8,8,8,1,
5607,2006,2,13,Bob,Larson,1714,1,0,1,0,8,8,8,1,
5607,2006,2,20,Mary,Thurmaier,2257,1,1,1,0,8,8,8,1,
5607,2006,2,5,Trudy,Peters,1091,0,1,1,0,8,8,8,1,
5607,2006,2,18,Michael,O'Meara,1825,1,1,1,0,8,8,8,1,
5607,2006,2,33,Jennifer,Zach,2825,1,0,0,0,8,8,8,1,
5607,2006,1,30,Renae,Sheibley,6315,1,0,0,0,9,9,9,1,
5607,2006,1,33,Jennifer,Zach,5866,1,0,0,0,9,9,9,1,
5607,2006,1,18,Michael,O'Meara,3018,0,1,1,0,9,9,9,1,
5607,2006,1,20,Mary,Thurmaier,3603,0,1,1,0,9,9,9,1,
5607,2006,1,28,Lynda,Louis,4007,1,0,0,0,9,9,9,1,
5607,2006,1,13,Bob,Larson,3340,0,0,1,0,9,9,9,1,
5607,2007,1,23,Elmer,Fournier,4727,1,0,1,0,10,10,10,1,
5607,2007,1,21,,Levin,1626,0,0,1,0,10,10,10,1,
5607,2007,1,12,Mark,Marti,3795,1,1,1,0,10,10,10,1,
5607,2007,1,34,,Lisack,2223,0,0,0,0,10,10,10,1,
5607,2007,1,25,Dwight,Stevens,5180,1,1,1,0,10,10,10,1,
5607,2007,1,7,Christina,Scott,3694,0,1,1,0,10,10,10,1,
5607,2008,1,6,Ed,Morganroth,2517,1,0,1,0,11,11,11,1,
5607,2008,1,35,Jeffrey,Presley,3169,1,0,0,0,11,11,11,1,
5607,2008,1,21,,Levin,2426,0,0,1,0,11,11,11,1,
5607,2008,1,7,Christina,Scott,3396,1,0,1,0,11,11,11,1,
5607,2009,1,21,,Levin,2137,0,0,1,0,12,12,12,1,
5607,2009,1,33,Jennifer,Zach,3002,1,1,1,0,12,12,12,1,
5607,2009,1,28,Lynda,Louis,2691,1,1,1,0,12,12,12,1,
5607,2009,1,30,Renae,Sheibley,2961,1,1,1,0,12,12,12,1,
5607,2010,2,25,Dwight,Stevens,2027,1,1,1,0,13,13,13,1,
5607,2010,2,26,Danial,Johnson,768,0,0,1,0,13,13,13,1,
5607,2010,2,36,,Pezewski,734,0,0,0,0,13,13,13,1,
5607,2010,2,37,Lisa,Totten,1644,1,0,0,0,13,13,13,1,
5607,2010,2,38,,Hall,1029,0,0,0,0,13,13,13,1,
5607,2010,2,21,,Levin,851,0,0,1,0,13,13,13,1,
5607,2010,2,13,Bob,Larson,1663,1,0,1,0,13,13,13,1,
5607,2010,2,39,Kim,Shirek,1388,1,0,0,0,13,13,13,1,
5607,2010,2,23,Elmer,Fournier,1802,1,1,1,0,13,13,13,1,
5607,2010,2,31,,Tylka,1302,1,0,1,0,13,13,13,1,
5607,2010,1,37,Lisa,Totten,6130,1,0,0,0,14,14,14,1,
5607,2010,1,39,Kim,Shirek,5777,1,0,0,0,14,14,14,1,
5607,2010,1,23,Elmer,Fournier,4612,0,1,1,0,14,14,14,1,
5607,2010,1,31,,Tylka,4444,0,0,1,0,14,14,14,1,
5607,2010,1,13,Bob,Larson,5272,0,0,1,0,14,14,14,1,
5607,2010,1,25,Dwight,Stevens,5384,1,1,1,0,14,14,14,1,
5607,2011,1,13,Bob,Larson,5831,1,0,1,0,15,15,15,1,
5607,2011,1,7,Christina,Scott,5904,1,1,1,1,15,15,15,1,
5607,2011,1,23,Elmer,Fournier,5819,1,0,1,0,15,15,15,1,
5607,2011,1,31,,Tylka,4103,0,0,1,0,15,15,15,1,
5607,2011,1,35,Jeffrey,Presley,4652,0,1,1,0,15,15,15,1,
5607,2011,1,38,,Hall,2332,0,0,0,0,15,15,15,1,
5607,2011,1,40,,Faxon,613,0,0,0,0,15,15,15,1,
5607,2012,1,41,,Mahon,3463,0,0,0,0,16,16,16,1,
5607,2012,1,42,,Zellmer,4814,1,0,0,0,16,16,16,1,
5607,2012,1,40,,Faxon,4383,1,0,1,0,16,16,16,1,
5607,2012,1,35,Jeffrey,Presley,4207,0,0,1,0,16,16,16,1,
5607,2012,1,28,Lynda,Louis,3624,0,1,1,0,16,16,16,1,
5607,2012,1,30,Renae,Sheibley,5241,1,1,1,0,16,16,16,1,
