distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,race ID,Area ID,districtwide,notes
5614,2002,1,1,Carolyn,Ecker,158,0,1,1,0,1,1,1,
5614,2002,1,2,Bill,Parsons,193,1,1,1,0,1,1,1,
5614,2002,1,3,Daniel,Thiel,139,0,0,0,0,1,1,1,
5614,2002,1,4,Tim,Hemauer,232,1,0,0,0,1,1,1,
5614,2002,1,5,Joanne,Propson,109,0,1,1,0,1,1,1,
5614,2003,1,6,Sue,Lisowe,263,1,1,1,0,2,2,1,
5614,2003,1,3,Daniel,Thiel,180,0,0,1,0,2,2,1,
5614,2003,1,7,Dean,Joas,193,0,0,0,0,2,2,1,
5614,2003,1,8,Vince,Anevicius,255,1,0,0,0,2,2,1,
5614,2003,1,5,Joanne,Propson,193,1,1,1,0,2,2,1,
5614,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
5614,2004,1,7,Dean,Joas,151,1,0,1,0,3,3,1,
5614,2004,1,5,Joanne,Propson,135,0,0,1,0,3,3,1,
5614,2004,1,9,Ann,Propson,190,1,1,1,0,3,3,1,
5614,2004,1,NA,Scatter,,7,0,0,0,1,3,3,1,
5614,2005,1,10,Chuck,Vanden Boom,171,1,0,0,0,4,4,1,
5614,2005,1,2,Bill,Parsons,192,1,1,1,0,4,4,1,
5614,2005,1,11,Elizabeth,Langteau,139,0,0,0,0,4,4,1,
5614,2005,1,5,Joanne,Propson,150,1,0,1,0,4,4,1,
5614,2005,1,12,Wendy,Ecker,134,0,0,0,0,4,4,1,
5614,2006,1,6,Sue,Lisowe,89,1,1,1,1,5,5,1,
5614,2006,1,13,Denise,Hofmeister,90,1,0,0,1,5,5,1,
5614,2006,1,NA,Scatter,,4,0,0,0,1,5,5,1,
5614,2007,1,14,Dave,Levknecht,336,1,0,0,0,6,6,1,
5614,2007,1,9,Ann,Propson,316,1,1,1,0,6,6,1,
5614,2007,1,NA,Scatter,,1,0,0,0,1,6,6,1,
5614,2008,1,10,Chuck,Vanden Boom,424,1,1,1,0,7,7,1,
5614,2008,1,2,Bill,Parsons,453,1,1,1,0,7,7,1,
5614,2008,1,5,Joanne,Propson,406,1,1,1,0,7,7,1,
5614,2008,1,NA,Scatter,,5,0,0,0,1,7,7,1,
5614,2009,1,6,Sue,Lisowe,149,1,1,1,0,8,8,1,
5614,2009,1,15,Brian,Hermann,153,1,0,0,0,8,8,1,
5614,2009,1,NA,Scatter,,6,0,0,0,1,8,8,1,
5614,2010,1,9,Ann,Propson,43,1,1,1,1,9,9,1,
5614,2010,1,14,Dave,Levknecht,49,1,1,1,1,9,9,1,
5614,2011,1,2,Bill,Parsons,477,1,1,1,0,10,10,1,
5614,2011,1,10,Chuck,Vanden Boom,529,1,1,1,0,10,10,1,
5614,2011,1,5,Joanne,Propson,541,1,1,1,0,10,10,1,
5614,2012,1,6,Sue,Lisowe,299,1,1,1,0,11,11,1,
5614,2012,1,15,Brian,Hermann,283,1,1,1,0,11,11,1,
5614,2012,1,NA,Scatter,,5,0,0,0,1,11,11,1,
