distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5642,2009,1,1,Keith,Miller,790,1,1,1,0,1,1,1,
5642,2009,1,2,Lori,Raye,810,1,1,1,0,1,1,1,
5642,2009,1,3,Julie,Hathaway,783,1,1,1,0,1,1,1,
5642,2009,1,NA,Scatter,,15,0,0,0,1,1,1,1,
5642,2011,1,4,Joel,Kitchens,1349,1,1,1,0,2,2,1,
5642,2011,1,5,Tina,Jennerjohn,1348,1,1,1,0,2,2,1,
5642,2011,1,6,John,Hauser,1821,1,1,1,0,2,2,1,
5642,2011,1,7,Bob,Rau,361,0,0,0,0,2,2,1,
5642,2011,1,8,Richard,Stuewer,323,0,0,0,0,2,2,1,
5642,2011,1,NA,Scatter,,43,0,0,0,1,2,2,1,
5642,2012,1,3,Julie,Hathaway,938,1,1,1,0,3,3,1,
5642,2012,1,1,Keith,Miller,974,1,1,1,0,3,3,1,
5642,2012,1,9,Amy,Stephens,1185,1,0,0,0,3,3,1,
5642,2012,1,8,Richard,Stuewer,838,0,0,1,0,3,3,1,
5642,2012,1,10,Steven,Van Kirk,845,0,0,0,0,3,3,1,
