distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3510,2009,1,1,Karen,Trimble,335,1,0,0,0,1,1,1,
3510,2009,1,2,Andrah,Grothey,117,0,1,1,0,1,1,1,
3510,2009,1,3,John,Quast,170,1,0,0,0,1,1,1,
3510,2009,1,4,Weber,Marett,54,0,0,0,1,1,1,1,
3510,2010,1,5,John,Fuhs,153,1,1,0,0,2,2,1,
3510,2010,1,4,Weber,Marett,89,0,0,1,1,2,2,1,
3510,2010,1,6,Stephanie,Wartman,129,1,1,1,0,2,2,1,
3510,2010,1,7,Rebecca,Morrison,124,1,0,0,0,2,2,1,
3510,2011,1,7,Rebecca,Morrison,595,1,0,1,0,3,3,1,
3510,2011,1,2,Andrah,Grothey,271,0,0,1,0,3,3,1,
3510,2011,1,8,Jim,Douglas,498,1,0,0,0,3,3,1,
3510,2012,1,3,John,Quast,200,1,1,1,0,4,4,1,
3510,2012,1,1,Karen,Trimble,229,1,1,1,0,4,4,1,
3510,2012,1,NA,Scatter,,17,0,0,0,1,4,4,1,
