distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
126,2002,1,1,Nick,Trzebiatowski,1044,1,1,1,0,1,1,1,
126,2002,1,NA,Scatter,,25,0,0,0,1,1,1,1,
126,2003,1,2,Ron,Borski,779,1,0,0,0,2,2,1,
126,2003,1,3,Carl,Chantelois,563,0,0,0,0,2,2,1,
126,2003,1,4,Tim,Osborn,846,1,1,1,0,2,2,1,
126,2003,1,5,Dennis,Cook,35,0,0,0,1,2,2,1,
126,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
126,2004,1,6,Sandra,Keener,240,1,1,1,0,3,3,1,
126,2004,1,7,Mark,Kryshak,247,1,1,1,0,3,3,1,
126,2004,1,NA,Scatter,,5,0,0,0,1,3,3,1,
126,2005,1,8,Michael,Turner,790,1,0,0,0,4,4,1,
126,2005,1,NA,Scatter,,14,0,0,0,1,4,4,1,
126,2006,1,2,Ron,Borski,711,1,1,1,0,5,5,1,
126,2006,1,4,Tim,Osborn,713,1,1,1,0,5,5,1,
126,2006,1,NA,Scatter,,4,0,0,0,1,5,5,1,
126,2007,1,6,Sandra,Keener,674,1,1,1,0,6,6,1,
126,2007,1,9,Jerry,Reiderer,380,0,0,0,0,6,6,1,
126,2007,1,10,Diana,Bohman,627,1,0,0,0,6,6,1,
126,2007,1,NA,Scatter,,8,0,0,0,1,6,6,1,
126,2008,1,8,Michael,Turner,539,1,1,1,0,7,7,1,
126,2008,1,NA,Scatter,,11,0,0,0,1,7,7,1,
126,2009,1,2,Ron,Borski,416,0,1,1,0,8,8,1,
126,2009,1,4,Tim,Osborn,468,1,1,1,0,8,8,1,
126,2009,1,7,Mark,Kryshak,445,1,0,1,0,8,8,1,
126,2009,1,NA,Scatter,,5,0,0,0,1,8,8,1,
126,2010,1,10,Diana,Bohman,1064,1,1,1,0,9,9,1,
126,2010,1,6,Sandra,Keener,1099,1,1,1,0,9,9,1,
126,2010,1,NA,Scatter,,35,0,0,0,1,9,9,1,
126,2011,1,8,Michael,Turner,1403,1,1,1,0,10,10,1,
126,2011,1,11,Kirk,Helbach,221,0,0,0,0,10,10,1,
126,2011,1,NA,Scatter,,22,0,0,0,1,10,10,1,
126,2012,1,12,Bob,Stuczynski,770,1,0,0,0,11,11,1,
126,2012,1,13,Kelly,Loken,547,1,0,0,0,11,11,1,
126,2012,1,7,Mark,Kryshak,436,0,1,1,0,11,11,1,
126,2012,1,11,Kirk,Helbach,332,0,0,1,0,11,11,1,
126,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
