distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5780,2006,1,1,Marcie,Badtke,167,1,0,0,0,1,1,1,
5780,2006,1,2,Cole,Marshall,77,0,0,0,1,1,1,1,
5780,2006,1,3,Bruce,Miller,124,0,0,0,0,1,1,1,
5780,2006,1,4,Steve,Arnold,119,0,0,0,0,1,1,1,
5780,2006,1,5,Lynn,Jaeger,152,1,0,0,0,2,2,0,
5780,2006,1,6,Bill,Barhyte,125,0,0,0,0,2,2,0,
5780,2006,1,7,Thomas,Steiner,132,0,0,0,0,1,1,1,
5780,2006,1,NA,Scatter,,5,0,0,0,1,1,1,1,
5780,2007,1,6,Bill,Barhyte,93,0,1,1,1,1,1,1,
5780,2007,1,2,Cole,Marshall,110,1,0,1,0,1,1,1,
5780,2007,1,NA,Scatter,,1,0,0,0,1,1,1,1,
5780,2008,1,8,Thomas,Steiner,151,1,1,1,0,1,1,1,
5780,2008,1,6,Bill,Barhyte,139,1,0,1,0,1,1,1,
5780,2008,1,NA,Scatter,,1,0,0,0,1,1,1,1,
5780,2009,1,NA,Scatter,,4,0,0,0,1,4,4,1,
5780,2009,1,11,Kirk,Houghton,112,0,0,0,0,4,4,1,
5780,2009,1,10,Sue,Giovanni,135,1,0,0,0,4,4,1,
5780,2009,1,5,Lynn,Jaeger,190,1,1,1,0,5,5,0,
5780,2010,1,2,Cole,Marshall,157,1,1,1,0,1,1,0,
5780,2010,1,NA,Scatter,,3,0,0,0,1,1,1,0,
5780,2011,1,8,Thomas,Steiner,407,1,1,1,0,6,6,1,
5780,2011,1,6,Bill,Barhyte,401,1,1,1,0,6,6,1,
5780,2011,1,NA,Scatter,,18,0,0,0,1,6,6,1,
5780,2012,1,9,Dean,Troyer,264,1,0,0,0,7,7,1,
5780,2012,1,5,Lynn,Jaeger,310,1,1,1,0,7,7,1,
5780,2012,1,NA,Scatter,,12,0,0,0,1,7,7,1,
