distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5817,2002,1,1,Tim,Calkins,237,0,0,0,0,1,1,1,
5817,2002,1,2,Kathlee,Ticha,380,1,1,1,0,1,1,1,
5817,2002,1,3,Steven,Dunn,289,1,1,1,0,1,1,1,
5817,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
5817,2003,1,4,Paul,Chodak,535,1,1,1,0,2,2,1,
5817,2003,1,NA,Scatter,,4,0,0,0,1,2,2,1,
5817,2004,1,5,Patricia,Platts,402,1,1,1,0,3,3,1,
5817,2004,1,6,Barbara,Trongeau,362,1,0,0,0,3,3,1,
5817,2004,1,NA,Scatter,,10,0,0,0,1,3,3,1,
5817,2006,1,4,Paul,Chodak,180,1,1,1,0,4,4,1,
5817,2006,1,NA,Scatter,,1,0,0,0,1,4,4,1,
5817,2007,1,5,Patricia,Platts,367,1,1,1,0,5,5,1,
5817,2007,1,7,Barbara,Chapman,359,1,0,0,0,5,5,1,
5817,2007,1,NA,Scatter,,1,0,0,0,1,5,5,1,
5817,2008,1,2,Kathy,Ticha,126,1,1,1,0,6,6,1,
5817,2008,1,3,Steven,Dunn,100,0,1,1,0,6,6,1,
5817,2009,1,8,Tammy,Ledene,129,1,0,0,0,7,7,1,
5817,2009,1,4,Paul,Chodak,97,1,1,1,1,7,7,1,
5817,2009,1,NA,Scatter,,2,0,0,0,1,7,7,1,
5817,2010,1,9,Kurt,Anderson,60,1,0,0,1,8,8,1,
5817,2010,1,3,Steven,Dunn,21,0,0,1,1,8,8,1,
5817,2010,1,10,Carey,Kuhlmey,144,1,0,0,0,9,9,1,
5817,2010,1,7,Barbara,Chapman,159,1,1,1,0,9,9,1,
5817,2010,1,5,Patricia,Platts,103,0,1,1,0,9,9,1,
5817,2011,1,2,Kathy,Ticha,218,0,1,1,0,9,9,1,
5817,2011,1,3,Steven,Dunn,128,0,0,1,0,9,9,1,
5817,2011,1,11,Jennifer,Matlock,252,1,0,0,0,9,9,1,
5817,2011,1,9,Kurt,Anderson,291,1,1,1,0,9,9,1,
5817,2011,1,NA,Scatter,,5,0,0,0,1,9,9,1,
5817,2012,1,5,Patricia,Platts,196,1,0,1,0,10,10,1,
5817,2012,1,8,Tammy,Ledene,122,0,1,1,0,10,10,1,
5817,2012,1,NA,Scatter,,1,0,0,0,1,10,10,1,
