distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
238,2003,1,1,Eric,Turner,711,1,1,1,0,1,1,1,
238,2003,1,2,David,Moore,703,1,1,1,0,1,1,1,
238,2003,1,NA,Scatter,,20,0,0,0,1,1,1,1,
238,2004,1,3,Richard,Renstrom,369,1,1,1,0,2,2,1,
238,2004,1,4,Harley,Lund,413,1,1,1,0,2,2,1,
238,2004,1,5,James,Beistle,393,1,1,1,0,2,2,1,
238,2004,1,NA,Scatter,,18,0,0,0,1,2,2,1,
238,2005,1,6,Steve,Glaim,599,1,1,1,0,3,3,1,
238,2005,1,7,Debbie,Peterson,691,1,1,1,0,3,3,1,
238,2005,1,NA,Scatter,,5,0,0,0,1,3,3,1,
238,2006,1,2,David,Moore,515,1,1,1,0,4,4,1,
238,2006,1,8,Sheryl,Holmgren,565,1,0,0,0,4,4,1,
238,2006,1,1,Eric,Turner,562,1,1,1,0,4,4,1,
238,2006,1,NA,Scatter,,19,0,0,0,1,4,4,1,
238,2007,1,2,David,Moore,408,1,1,1,0,5,5,1,
238,2007,1,5,James,Beistle,390,1,1,1,0,5,5,1,
238,2007,1,9,Scott,Sorensen,373,0,0,0,0,5,5,1,
238,2007,1,4,Harley,Lund,380,1,1,1,0,5,5,1,
238,2007,1,10,Chad,Stenberg,399,1,0,0,0,5,5,1,
238,2007,1,NA,Scatter,,8,0,0,0,1,5,5,1,
238,2008,1,7,Debbie,Peterson,713,1,1,1,0,6,6,1,
238,2008,1,6,Steve,Glaim,601,1,1,1,0,6,6,1,
238,2008,1,NA,Scatter,,38,0,0,0,1,6,6,1,
238,2009,1,8,Sheryl,Holmgren,515,1,1,1,0,7,7,1,
238,2009,1,4,Harley,Lund,411,0,1,1,0,7,7,1,
238,2009,1,11,Joe,Tilton,469,1,0,0,0,7,7,1,
238,2009,1,12,Kelly,Kamish-Bakke,505,1,0,0,0,7,7,1,
238,2010,1,10,Chad,Stenberg,534,1,1,1,0,8,8,1,
238,2010,1,5,James,Beistle,538,1,1,1,0,8,8,1,
238,2010,1,2,David,Moore,543,1,1,1,0,8,8,1,
238,2011,1,7,Debbie,Peterson,1192,1,1,1,0,9,9,1,
238,2011,1,11,Joe,Tilton,1075,1,1,1,0,9,9,1,
238,2012,1,8,Sheryl,Holmgren,712,1,1,1,0,10,10,1,
238,2012,1,13,Loey,Weber,470,0,0,0,0,10,10,1,
238,2012,1,12,Kelly,Bakke,571,1,1,1,0,10,10,1,
238,2012,1,NA,Scatter,,6,0,0,0,1,10,10,1,
