distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5866,2007,1,1,Roger,Manke,664,1,1,1,0,1,1,1,
5866,2007,1,2,Brenda,Platten,577,1,0,0,0,1,1,1,
5866,2007,1,3,Nichol,Kahlenberg,527,0,0,0,0,1,1,1,
5866,2007,1,4,Kevin,Kumbalek,504,0,0,0,0,1,1,1,
5866,2008,1,5,Jennifer,Berge,687,1,0,0,0,2,2,1,
5866,2008,1,6,James,Kocourek,662,1,0,0,0,2,2,1,
5866,2008,1,NA,Scatter,Scatter,15,0,0,0,1,2,2,1,
5866,2009,1,7,Al,Hrudka,687,1,1,1,0,3,3,1,
5866,2009,1,8,Nancy,Lindgren,662,1,0,0,0,3,3,1,
5866,2009,1,9,Gene,Borgwardt,820,1,1,1,0,3,3,1,
5866,2010,1,2,Brenda,Platten,919,1,1,1,0,4,4,1,
5866,2010,1,10,Tom,Wurm,532,0,0,0,0,4,4,1,
5866,2010,1,1,Roger,Manke,938,1,1,1,0,4,4,1,
5866,2011,1,11,John,Thews,1156,1,0,0,0,5,5,1,
5866,2011,1,5,Jennifer,Berge,1319,1,1,1,0,5,5,1,
5866,2011,1,12,Michael,Spellich,519,0,0,0,0,5,5,1,
5866,2011,1,6,James,Kocourek,1048,1,1,1,0,5,5,1,
5866,2011,1,13,Robert,Argall,677,0,0,0,0,5,5,1,
5866,2011,1,NA,Scatter,Scatter,25,0,0,0,1,5,5,1,
5866,2012,1,14,Matthew,Kaufmann,572,0,0,0,0,6,6,1,
5866,2012,1,7,Al,Hrudka,576,1,1,1,0,6,6,1,
5866,2012,1,15,Curt,Green,518,0,0,0,0,6,6,1,
5866,2012,1,9,Gene,Borgwardt,1005,1,1,1,0,6,6,1,
5866,2012,1,NA,Scatter,Scatter,8,0,0,0,1,6,6,1,
5866,2013,1,1,Roger,Manke,921,1,1,1,0,7,7,1,
5866,2013,1,2,Brenda,Platten,889,1,1,1,0,7,7,1,
5866,2013,1,NA,Scatter,Scatter,25,0,0,0,1,7,7,1,
