distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5985,2002,1,1,Joe,Keenan,852,0,1,1,0,1,1,1,
5985,2002,1,2,Scott,Mills,872,1,1,1,0,1,1,1,
5985,2002,1,3,Phil,Solverson,935,1,0,0,0,1,1,1,
5985,2002,1,4,Dave,Hansen,803,0,0,0,0,1,1,1,
5985,2002,1,5,Susan,Jacobson,950,1,0,0,0,1,1,1,
5985,2002,1,6,Erma,Erickson,831,0,1,1,0,1,1,1,
5985,2003,1,7,Robert,Nigh,841,1,0,0,0,2,2,1,
5985,2003,1,1,Joe,Keenan,626,0,0,1,0,2,2,1,
5985,2003,1,8,Garith,Steiner,766,1,1,1,0,2,2,1,
5985,2003,1,9,Janet,Reed,253,0,1,1,0,2,2,1,
5985,2004,2,10,Scott,Sordahl,532,1,0,0,0,3,3,1,
5985,2004,2,11,John,Schneider,486,1,0,0,0,3,3,1,
5985,2004,2,12,Dan,Peper,432,0,0,0,0,3,3,1,
5985,2004,2,1,Joe,Keenan,520,1,1,1,0,3,3,1,
5985,2004,2,6,Erma,Erickson,605,1,0,1,0,3,3,1,
5985,2004,2,13,Marc,Polsean,153,0,0,0,0,3,3,1,
5985,2004,1,6,Erma,Erickson,474,0,0,1,0,4,4,1,
5985,2004,1,10,Scott,Sordahl,477,1,0,0,0,4,4,1,
5985,2004,1,11,John,Schneider,577,1,0,0,0,4,4,1,
5985,2004,1,1,Joe,Keenan,334,0,0,1,0,4,4,1,
5985,2005,1,3,Phil,Solverson,521,1,1,1,0,5,5,1,
5985,2005,1,5,Susan,Jacobson,520,1,1,1,0,5,5,1,
5985,2005,1,2,Scott,Mills,497,1,1,1,0,5,5,1,
5985,2005,1,NA,Scatter,,3,0,0,0,1,5,5,1,
5985,2006,1,7,Robert,Nigh,665,1,1,1,0,6,6,1,
5985,2006,1,14,Mike,Skildum,704,1,0,0,0,6,6,1,
5985,2006,1,NA,Scatter,,14,0,0,0,1,6,6,1,
5985,2007,1,10,Scott,Sordahl,646,1,1,1,0,7,7,1,
5985,2007,1,15,Sarah,Johnson,566,1,0,0,0,7,7,1,
5985,2007,1,16,Vicki,Koppa,374,0,1,0,0,7,7,1,
5985,2007,1,17,Linda,Weilnau,323,0,1,0,0,7,7,1,
5985,2007,1,18,Angie,Lawrence,610,1,0,0,0,7,7,1,
5985,2007,1,NA,Scatter,,7,0,0,0,1,7,7,1,
5985,2008,1,16,Vicki,Koppa,778,0,0,1,0,8,8,1,
5985,2008,1,17,Linda,Weilnau,737,0,0,1,0,8,8,1,
5985,2008,1,15,Sarah,Johnson,949,1,0,1,0,8,8,1,
5985,2008,1,2,Scott,Mills,900,1,1,1,0,8,8,1,
5985,2008,1,19,Amanda,Running,880,1,0,0,0,8,8,1,
5985,2008,1,NA,Scatter,,9,0,0,0,1,8,8,1,
5985,2009,1,7,Robert,Nigh,694,1,1,1,0,9,9,1,
5985,2009,1,14,Mike,Skildum,630,1,1,1,0,9,9,1,
5985,2009,1,NA,Scatter,,9,0,0,0,1,9,9,1,
5985,2010,1,20,Elias,Ellefson,563,0,0,0,0,10,10,1,
5985,2010,1,17,Linda,Weilnau,479,0,0,1,0,10,10,1,
5985,2010,1,16,Vicki,Koppa,631,1,0,1,0,10,10,1,
5985,2010,1,18,Angie,Lawrence,896,1,1,1,0,10,10,1,
5985,2010,1,21,Marina,Abt,742,1,1,0,0,10,10,1,
5985,2011,1,20,Elias,Ellefson,993,0,0,1,0,11,11,1,
5985,2011,1,2,Scott,Mills,1242,1,1,1,0,11,11,1,
5985,2011,1,19,Amanda,Running,1345,1,1,1,0,11,11,1,
5985,2012,1,16,Vicki,Koppa,821,0,1,1,0,12,12,1,
5985,2012,1,14,Mike,Skildum,940,1,1,1,0,12,12,1,
5985,2012,1,7,Robert,Nigh,994,1,1,1,0,12,12,1,
5985,2012,1,NA,Scatter,,10,0,0,0,1,12,12,1,
