distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5992,2002,1,1,Patricia,Monthey,712,1,1,1,0,1,1,1,
5992,2002,1,2,Thomas,Haberstein,677,1,1,1,0,1,1,1,
5992,2002,1,NA,Scatter,,6,0,0,0,1,1,1,1,
5992,2003,1,3,Dawn,Jakubiec,802,1,1,1,0,2,2,1,
5992,2003,1,4,Edith,Heuttl,747,1,1,1,0,2,2,1,
5992,2003,1,5,Allan,Gardebrecht,868,1,1,1,0,2,2,1,
5992,2004,1,6,Dirk,Van Duzee,290,1,1,1,0,3,3,1,
5992,2004,1,7,Janet,Opiela,291,1,1,1,0,3,3,1,
5992,2004,1,NA,Scatter,,6,0,0,0,1,3,3,1,
5992,2005,1,1,Patricia,Monthey,847,1,1,1,0,4,4,1,
5992,2005,1,2,Thomas,Haberstein,870,1,1,1,0,4,4,1,
5992,2005,1,NA,Scatter,,1,0,0,0,1,4,4,1,
5992,2006,1,8,Al,Peters,199,0,0,0,0,5,5,1,
5992,2006,1,3,Dawn,Jakubiec,366,1,1,1,0,5,5,1,
5992,2006,1,9,Edward,Piontek,360,1,0,0,0,5,5,1,
5992,2006,1,4,Edith,Heuttl,342,0,1,1,0,5,5,1,
5992,2006,1,5,Allan,Gardebrecht,374,1,1,1,0,5,5,1,
5992,2006,1,NA,Scatter,,1,0,0,0,1,5,5,1,
5992,2007,1,4,Edith,Heuttl,274,1,0,1,0,6,6,1,
5992,2007,1,10,Sue,Banie,255,0,0,0,0,6,6,1,
5992,2007,1,7,Janet,Opiela,428,1,1,1,0,6,6,1,
5992,2008,1,10,Sue,Banie,300,0,0,1,0,7,7,1,
5992,2008,1,1,Patricia,Monthey,311,1,1,1,0,7,7,1,
5992,2008,1,2,Thomas,Haberstein,564,1,1,1,0,7,7,1,
5992,2009,1,3,Dawn,Jakubiec,461,1,1,1,0,8,8,1,
5992,2009,1,11,Ann,Bartknecht,455,0,0,0,0,8,8,1,
5992,2009,1,9,Edward,Piontek,476,1,1,1,0,8,8,1,
5992,2009,1,5,Allan,Gardebrecht,758,1,1,1,0,8,8,1,
5992,2010,1,4,Edith,Heuttl,245,0,1,1,0,9,9,1,
5992,2010,1,11,Ann,Bartknecht,361,0,0,1,0,9,9,1,
5992,2010,1,12,Robert,Seeber,465,1,0,0,0,9,9,1,
5992,2010,1,7,Janet,Opiela,417,1,1,1,0,9,9,1,
5992,2010,1,NA,Scatter,,1,0,0,0,1,9,9,1,
5992,2011,1,1,Patricia,Monthey,644,1,1,1,0,10,10,1,
5992,2011,1,4,Edith,Heuttl,645,1,0,1,0,10,10,1,
5992,2011,1,13,Bill,Connors,635,0,0,0,0,10,10,1,
5992,2011,1,7,Janet,Opiela,763,1,1,1,0,10,10,1,
5992,2011,1,14,Mike,Rocole,406,0,0,0,0,10,10,1,
5992,2012,1,15,Jeanine,Ashbock,500,0,0,0,0,11,11,1,
5992,2012,1,3,Dawn,Jakubiec,524,1,1,1,0,11,11,1,
5992,2012,1,13,Bill,Connors,541,1,0,1,0,11,11,1,
5992,2012,1,5,Allan,Gardebrecht,730,1,1,1,0,11,11,1,
