distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6022,2002,1,1,Larry,Austin,410,1,1,1,0,1,1,1,
6022,2002,1,NA,Scatter,,7,0,0,0,1,1,1,1,
6022,2003,1,2,Mary,Heyer,810,1,0,0,0,2,2,1,
6022,2003,1,3,Margaret,Hubertz,502,1,0,0,0,2,2,1,
6022,2003,1,4,Laura,Long,383,0,0,0,0,2,2,1,
6022,2003,1,NA,Scatter,,7,0,0,0,1,2,2,1,
6022,2004,1,5,Patrick,Hubertz,295,1,0,0,0,3,3,1,
6022,2004,1,6,Linda,Freeman,268,1,1,1,0,3,3,1,
6022,2004,1,NA,Scatter,,12,0,0,0,1,3,3,1,
6022,2005,1,7,Jeff,Recknagel,229,1,0,0,0,4,4,1,
6022,2005,1,8,Tom,Perry,137,0,0,0,0,4,4,1,
6022,2005,1,NA,Scatter,,2,0,0,0,1,4,4,1,
6022,2006,1,2,Mary,Heyer,169,1,1,1,0,5,5,1,
6022,2006,1,3,Margaret,Hubertz,105,1,1,1,0,5,5,1,
6022,2006,1,9,Darwin,Logterman,90,0,0,0,1,5,5,1,
6022,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
6022,2007,1,6,Linda,Freeman,405,1,1,1,0,6,6,1,
6022,2007,1,5,Charles,Hubertz,430,1,1,1,0,6,6,1,
6022,2007,1,NA,Scatter,,9,0,0,0,1,6,6,1,
6022,2008,1,10,David,White,188,1,0,0,0,7,7,1,
6022,2008,1,11,Ginger,Arnold,169,0,0,0,0,7,7,1,
6022,2008,1,NA,Scatter,,2,0,0,0,1,7,7,1,
6022,2009,1,2,Mary,Heyer,416,1,1,1,0,8,8,1,
6022,2009,1,3,Margaret,Hubertz,333,1,1,1,0,8,8,1,
6022,2009,1,NA,Scatter,,3,0,0,0,1,8,8,1,
6022,2010,1,6,Linda,Freeman,297,1,1,1,0,9,9,1,
6022,2010,1,5,Patrick,Hubertz,307,1,1,1,0,9,9,1,
6022,2010,1,NA,Scatter,,7,0,0,0,1,9,9,1,
6022,2012,1,2,Mary,Heyer,325,1,1,1,0,10,10,1,
6022,2012,1,12,Jacob,Ries,243,1,0,0,0,10,10,1,
6022,2012,1,NA,Scatter,,5,0,0,0,1,10,10,1,
