distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6113,2002,1,1,Eric,Lindell,752,1,1,1,0,1,1,1,
6113,2003,1,2,Dan,Jensen,1134,1,0,0,0,2,2,1,
6113,2003,1,3,Julie,Plantz,942,1,0,0,0,2,2,1,
6113,2003,1,4,Sharon,Jackson,773,0,0,0,0,2,2,1,
6113,2004,1,5,Diane,Lombardo,495,0,0,0,0,3,3,1,
6113,2004,1,6,Keith,Klima,880,1,1,1,0,3,3,1,
6113,2004,1,4,Sharon,Jackson,558,0,0,1,0,3,3,1,
6113,2004,1,7,Dean,Schrader,917,1,0,0,0,3,3,1,
6113,2005,1,1,Eric,Lindell,1289,1,1,1,0,4,4,1,
6113,2006,1,8,Kelly,Fulton,537,1,0,0,0,5,5,1,
6113,2006,1,3,Julie,Plantz,511,1,1,1,0,5,5,1,
6113,2006,1,9,Rob,Barting,487,0,1,0,0,5,5,1,1 year term
6113,2006,1,10,Daniel,Gross,455,0,0,0,0,5,5,1,1 year term
6113,2006,1,11,Max,Wenck,439,0,0,0,0,5,5,1,
6113,2006,1,NA,Scatter,,17,0,0,0,1,5,5,1,
6113,2007,1,12,Robert,Kastengren,167,1,0,0,0,6,6,1,
6113,2007,1,13,Charles,Poole,166,1,0,0,0,6,6,1,
6113,2007,1,14,Paul,Beyerl,12,1,0,0,1,6,6,1,1 year term
6113,2007,1,11,Max,Wenck,11,0,0,1,0,6,6,1,
6113,2007,1,15,Jay,Morrical,10,0,0,0,1,6,6,1,
6113,2007,1,NA,Scatter,,130,0,0,0,1,6,6,1,
6113,2008,1,16,Blaine,Nicholls,1125,1,0,0,0,7,7,1,
6113,2008,1,14,Paul,Beyerl,48,0,1,1,0,7,7,1,
6113,2008,1,NA,Scatter,,12,0,0,0,1,7,7,1,
6113,2009,1,17,Michelle,Machalik,783,0,0,0,0,8,8,1,
6113,2009,1,2,Dan,Jensen,1131,1,0,1,0,8,8,1,
6113,2009,1,18,Audrey,Rowe-Hill,587,0,0,0,0,8,8,1,
6113,2009,1,19,Doug,Schwartz,790,1,0,0,0,8,8,1,
6113,2009,1,NA,Scatter,,2,0,0,0,1,8,8,1,
6113,2010,1,12,Robert,Kastengren,799,1,1,1,0,9,9,1,
6113,2010,1,13,Charles,Poole,757,1,1,1,0,9,9,1,
6113,2010,1,14,Paul,Beyerl,692,0,0,1,0,9,9,1,
6113,2010,1,NA,Scatter,,13,0,0,0,1,9,9,1,
6113,2011,1,14,Paul,Beyerl,1704,1,0,1,0,10,10,1,
6113,2011,1,16,Blaine,Nicholls,1250,1,1,1,0,10,10,1,
6113,2011,1,NA,Scatter,,29,0,0,0,1,10,10,1,
6113,2012,1,2,Dan,Jensen,1867,1,1,1,0,11,11,1,
6113,2012,1,16,Blaine,Nicholls,1571,1,1,1,0,11,11,1,
6113,2012,1,19,Doug,Schwartz,1546,1,1,1,0,11,11,1,1 year term
6113,2012,1,NA,Scatter,,39,0,0,0,1,11,11,1,
