distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,area ID,districtwide,notes
6083,2002,1,1,James,Rumpf,1261,1,1,1,0,1,1,1,
6083,2002,1,NA,Scatter,,8,0,0,0,1,1,1,1,
6083,2003,1,2,Steven,Bell,1686,1,1,1,0,2,2,1,
6083,2003,1,3,Kevin,Malchine,1742,1,1,1,0,2,2,1,
6083,2004,1,4,Nancy,Klemko,1505,1,1,1,0,3,3,1,
6083,2004,1,5,James,Graff,1515,1,1,1,0,3,3,1,
6083,2005,1,1,James,Rumpf,1795,1,1,1,0,4,4,1,
6083,2005,1,NA,Scatter,,13,0,0,0,1,4,4,1,
6083,2006,1,3,Kevin,Malchine,925,1,1,1,0,5,5,1,
6083,2006,1,6,Don,Engler,867,1,0,0,0,5,5,1,
6083,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
6083,2007,1,5,James,Graff,1915,1,1,1,0,6,6,1,
6083,2007,1,4,Nancy,Klemko,1832,1,1,1,0,6,6,1,
6083,2007,1,NA,Scatter,,38,0,0,0,1,6,6,1,
6083,2008,1,7,Jeffrey,Santaga,1598,1,0,0,0,7,7,1,
6083,2008,1,NA,Scatter,,10,0,0,0,1,7,7,1,
6083,2009,1,6,Don,Engler,1434,1,1,1,0,8,8,1,
6083,2009,1,3,Kevin,Malchine,1741,1,1,1,0,8,8,1,
6083,2009,1,NA,Scatter,,6,0,0,0,1,8,8,1,
6083,2010,1,5,James,Graff,1187,1,1,1,0,9,9,1,
6083,2010,1,4,Nancy,Klemko,1155,1,1,1,0,9,9,1,
6083,2010,1,NA,Scatter,,14,0,0,0,1,9,9,1,
6083,2011,1,7,Jeffrey,Santaga,3844,1,1,1,0,10,10,1,
6083,2011,1,NA,Scatter,,40,0,0,0,1,10,10,1,
6083,2012,1,3,Kevin,Malchine,2280,1,1,1,0,9,9,1,
6083,2012,1,8,,Stever,1243,0,0,0,0,9,9,1,
6083,2012,1,9,,Jensen,1398,0,0,0,0,10,10,1,
6083,2012,1,6,Don,Engler,1614,1,1,1,0,10,10,1,
6083,2012,1,10,,Under,2312,1,0,0,0,11,11,1,
6083,2012,1,NA,Scatter,,16,0,0,0,1,11,11,1,
