distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
6118,2002,1,1,Eric,Epstein,259,1,1,1,0,1,1,0,
6118,2002,1,2,Diane,Moungey,242,1,1,1,0,2,2,0,
6118,2002,1,3,Walter,Schoenherr,72,1,0,0,1,2,2,0,
6118,2002,1,4,Patricia,Burlew-Cox,32,0,0,0,1,2,2,0,
6118,2002,1,NA,Scatter,,8,0,0,0,1,2,2,0,
6118,2003,1,5,Eugene,Kegler,620,1,1,1,0,3,3,0,
6118,2003,1,6,Timothy,Schultz,597,1,1,1,0,4,4,0,
6118,2004,1,7,Bill,Sullivan,205,1,0,0,0,5,5,0,
6118,2004,1,8,Nancy,Thompson,185,1,1,1,0,5,5,0,
6118,2004,1,4,Patricia,Burlew-Cox,93,0,0,1,1,5,5,0,
6118,2004,1,9,Robert,Lewein,235,1,1,1,0,6,6,0,
6118,2005,1,1,Eric,Epstein,540,1,1,1,0,7,7,0,
6118,2005,1,8,Nancy,Thompson,403,1,1,1,0,8,8,0,
6118,2005,1,3,Walter,Schoenherr,401,1,1,1,0,8,8,0,
6118,2005,1,10,Bobbi,Forman,371,0,0,0,0,8,8,0,
6118,2006,1,5,Eugene,Kegler,322,1,1,1,0,9,9,0,
6118,2006,1,6,Timothy,Schultz,258,1,1,1,0,10,10,0,
6118,2006,1,10,Bobbi,Forman,270,1,0,1,0,10,10,0,
6118,2007,1,6,Timothy,Schultz,709,1,0,1,0,11,11,0,
6118,2007,1,9,Robert,Lewein,676,1,1,1,0,12,12,0,
6118,2008,1,11,Karen,Stangler,767,1,0,0,0,13,13,0,
6118,2008,1,3,Walter,Schoenherr,485,1,1,1,0,14,14,0,
6118,2008,1,8,Nancy,Thompson,571,1,1,1,0,14,14,0,
6118,2008,1,12,Dan,Meyer,451,0,0,0,0,14,14,0,
6118,2009,1,5,Eugene,Kegler,567,1,1,1,0,15,15,0,
6118,2009,1,12,Dan,Meyer,299,0,0,1,0,16,16,0,
6118,2009,1,10,Bobbi,Forman,357,1,1,1,0,16,16,0,
6118,2010,1,6,Timothy,Schultz,279,1,1,1,0,17,17,0,
6118,2010,1,9,Robert,Lewein,264,1,1,1,0,18,18,0,
6118,2011,1,11,Karen,Stangler,963,1,1,1,0,19,19,0,
6118,2011,1,8,Nancy,Thompson,761,1,1,1,0,20,20,0,
6118,2011,1,3,Walter,Schoenherr,600,0,1,1,0,20,20,0,
6118,2011,1,13,Jenifer,Quimby,610,1,0,0,0,20,20,0,
6118,2012,1,5,Eugene,Kegler,628,1,1,1,0,21,21,0,
6118,2012,1,10,Bobbi,Forman,595,1,1,1,0,22,22,0,
