distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
6181,2002,1,1,Gary,Keller,926,1,1,1,0,1,1,0,
6181,2002,1,2,Paul,Weitzer,1387,1,0,0,0,1,1,0,
6181,2002,1,24,John,Kulcyk,858,1,0,0,0,20,20,0,
6181,2002,1,25,Don,Williamson,1459,1,0,0,0,20,20,0,
6181,2003,1,3,,Lee,607,0,1,1,0,2,2,0,
6181,2003,1,4,Ronald,Spahn,1138,1,0,0,0,2,2,0,
6181,2003,1,5,Peggy,Hill-Breunig,1195,1,0,0,0,3,3,0,
6181,2003,1,6,Maureen,VanDinter,534,0,1,1,0,3,3,0,
6181,2004,1,7,Tryg,Knutson,1245,1,0,0,0,4,4,0,
6181,2004,1,8,Gerald,Palmer,1214,1,0,0,0,4,4,0,
6181,2005,1,9,Dan,Kruschek,1405,1,0,0,0,5,5,0,
6181,2005,1,10,Julie,Waner,620,0,0,0,0,5,5,0,
6181,2005,1,25,Don,Williamson,1459,1,1,1,0,20,20,0,
6181,2005,1,11,Dennis,Heimann,1492,1,0,0,0,6,6,0,
6181,2005,2,9,Dan,Kruschek,1524,1,1,1,0,5,5,0,
6181,2005,2,10,Julie,Waner,708,1,0,1,0,5,5,0,
6181,2005,2,26,,Mason,290,0,0,0,0,5,5,0,
6181,2006,1,11,Dennis,Heimann,1250,1,1,0,0,6,6,0,
6181,2006,1,5,Peggy,Hill-Breunig,1314,1,1,1,0,6,6,0,
6181,2006,1,NA,Scatter,,29,0,0,0,1,6,6,0,
6181,2007,1,23,Bambi,Statz,1619,1,0,0,0,19,19,0,
6181,2007,1,12,Paul,Meese,1385,1,0,0,0,7,7,0,
6181,2007,1,10,Julie,Waner,1332,1,1,1,0,8,8,0,
6181,2007,1,,Eric,Esser,177,1,0,0,0,18,18,0,
6181,2008,1,9,Dan,Kruschek,1667,1,1,1,0,9,9,0,
6181,2008,1,NA,Scatter,,142,0,0,0,1,9,9,0,
6181,2009,1,5,Peggy,Hill-Breunig,2597,1,1,1,0,10,10,0,
6181,2009,1,13,Wade,Hansen,149,1,0,0,0,11,11,0,
6181,2009,1,NA,Scatter,,150,0,0,0,1,11,11,0,
6181,2010,1,14,Karla,Homan,1902,1,0,0,0,12,12,0,
6181,2010,1,12,Paul,Meese,1786,1,1,1,0,12,12,0,
6181,2010,1,7,Tryg,Knutson,1713,1,0,1,0,12,12,0,
6181,2010,1,NA,Scatter,,75,0,0,0,1,5,5,0,
6181,2010,1,20,,Epping,477,1,0,0,0,5,5,0,
6181,2010,1,19,,Gaugert,1263,0,0,0,0,12,12,0,
6181,2010,1,10,Julie,Waner,1685,0,0,1,0,12,12,0,
6181,2011,1,10,Julie,Waner,2776,1,0,1,0,13,13,0,
6181,2011,1,NA,Scatter,,45,0,0,0,1,17,17,0,
6181,2011,1,22,,Ensign,4567,1,0,0,0,17,17,0,
6181,2011,1,21,,Docherty,2429,0,0,0,0,13,13,0,
6181,2012,1,15,Jack,Heinemann,2722,1,0,0,0,14,14,0,
6181,2012,1,13,Wade,Hansen,2544,1,1,1,0,15,15,0,
6181,2012,1,5,Peggy,Hill-Breunig,2736,1,1,1,0,16,16,0,
6181,2012,1,NA,Scatter,,22,0,0,0,1,16,16,0,
