distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6195,2002,1,1,Steve,Shambeau,1224,1,1,1,0,1,1,1,
6195,2002,1,2,Rene,Gardner,883,0,0,0,0,1,1,1,
6195,2002,1,3,Courtney,Dillingham,976,0,0,0,0,1,1,1,
6195,2002,1,4,Mary Ellen,Boario,1137,1,1,1,0,1,1,1,
6195,2002,1,NA,Scatter,,12,0,0,0,1,1,1,1,
6195,2003,1,5,Betty,Manion,1729,1,0,0,0,2,2,1,
6195,2003,1,6,Chris,Klein,1055,0,0,0,0,2,2,1,
6195,2003,1,7,Sandra,Robinson,1347,1,1,1,0,2,2,1,
6195,2003,1,8,Rose,Dorow,1735,1,1,1,0,2,2,1,
6195,2003,1,NA,Scatter,,15,0,0,0,1,2,2,1,
6195,2004,1,9,Connie,Baldwin,863,1,1,1,0,3,3,1,
6195,2004,1,10,Bruce,Anderson,941,1,1,1,0,3,3,1,
6195,2004,1,11,Ron,Brooks,414,0,0,0,0,3,3,1,
6195,2004,1,12,Bruce,Gunderson,37,0,0,0,1,3,3,1,
6195,2004,1,NA,Scatter,,30,0,0,0,1,3,3,1,
6195,2005,1,12,Paul,Stevens,1673,1,0,0,0,4,4,1,
6195,2005,1,13,Dave,Erickson,1651,1,0,0,0,4,4,1,
6195,2005,1,1,Steve,Shambeau,859,0,1,1,0,4,4,1,
6195,2005,1,4,Mary Ellen,Boario,794,0,1,1,0,4,4,1,
6195,2005,1,NA,Scatter,,3,0,0,0,1,4,4,1,
6195,2006,1,5,Betty,Manion,1190,1,1,1,0,5,5,1,
6195,2006,1,7,Sandra,Robinson,962,1,1,1,0,5,5,1,
6195,2006,1,1,Steve,Shambeau,849,1,0,1,0,5,5,1,
6195,2006,1,14,Kristen,Greenfield,812,0,0,0,0,5,5,1,
6195,2006,1,15,Pamela,Meyers-Hiddemen,637,0,0,0,0,5,5,1,
6195,2006,1,6,Chris,Klein,621,0,0,1,0,5,5,1,
6195,2006,1,NA,Scatter,,21,0,0,0,1,5,5,1,
6195,2007,1,14,Kristen,Greenfield,1315,1,0,1,0,6,6,1,
6195,2007,1,9,Connie,Baldwin,1272,1,1,1,0,6,6,1,
6195,2007,1,15,Pamela,Meyers-Hiddemen,897,0,0,1,0,6,6,1,
6195,2007,1,NA,Scatter,,12,0,0,0,1,6,6,1,
6195,2008,1,16,Stephen,Johnson,1316,1,0,0,0,7,7,1,
6195,2008,1,13,Dave,Erickson,1272,1,1,1,0,7,7,1,
6195,2008,1,NA,Scatter,,21,0,0,0,1,7,7,1,
6195,2009,1,1,Steve,Shambeau,1532,1,1,1,0,8,8,1,
6195,2009,1,5,Betty,Manion,1506,1,1,1,0,8,8,1,
6195,2009,1,7,Sandra,Robinson,1520,1,1,1,0,8,8,1,
6195,2009,1,NA,Scatter,,35,0,0,0,1,8,8,1,
6195,2010,1,9,Connie,Baldwin,782,1,1,1,0,9,9,1,
6195,2010,1,14,Kristen,Greenfield,800,1,1,1,0,9,9,1,
6195,2010,1,NA,Scatter,,6,0,0,0,1,9,9,1,
6195,2011,1,17,Kenley,Hansen,2596,1,1,1,0,10,10,1,
6195,2011,1,16,Stephen,Johnson,2795,1,1,1,0,10,10,1,
6195,2011,1,NA,Scatter,,23,0,0,0,1,10,10,1,
6195,2012,1,5,Betty,Manion,1984,1,1,1,0,11,11,1,
6195,2012,1,18,Don,Writt,1470,0,0,0,0,11,11,1,
6195,2012,1,7,Sandra,Robinson,1865,1,1,1,0,11,11,1,
6195,2012,1,1,Steve,Shambeau,1880,1,1,1,0,11,11,1,
6195,2012,1,NA,Scatter,,6,0,0,0,1,11,11,1,
