distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
6216,2002,1,1,Marcia,Maly,1176,1,1,1,0,1,1,0,
6216,2002,1,2,Chris,VanBuren,1261,1,1,1,0,1,1,0,
6216,2003,1,3,Lowell,Prill,842,1,1,1,0,2,2,1,
6216,2003,1,4,Percy,Harper,59,1,0,0,1,3,3,0,
6216,2004,2,5,Angela,Hodge,586,1,0,0,0,4,4,0,
6216,2004,2,6,Glen,Wilson,705,1,1,1,0,4,4,0,
6216,2004,2,7,John,Kraintz,379,0,0,0,0,4,4,0,
6216,2004,1,5,Angela,Hodge,1321,1,0,0,0,5,5,0,
6216,2004,1,6,Glen,Wilson,809,0,1,1,0,5,5,0,
6216,2005,1,1,Marcia,Maly,635,1,1,1,0,6,6,0,
6216,2005,1,2,Chris,VanBuren,624,1,1,1,0,6,6,0,
6216,2005,1,8,Jesse,Kind,506,0,0,0,0,6,6,0,
6216,2005,1,9,Roger,Oosterhouse,426,0,0,0,0,6,6,0,
6216,2006,2,10,Tanya,Dolske,23,0,0,0,1,7,7,1,
6216,2006,2,11,Lori,Steenbergen,172,1,0,0,0,7,7,1,
6216,2006,2,12,Cathy,Loomas,180,1,0,0,0,7,7,1,
6216,2006,2,NA,Scatter,,1,0,0,0,1,7,7,1,
6216,2006,1,12,Cathy,Loomas,1729,1,0,0,0,8,8,1,
6216,2006,1,11,Lori,Steenbergen,1674,0,0,0,0,8,8,1,
6216,2006,1,4,Percy,Harper,2775,1,1,1,0,9,9,0,
6216,2006,1,NA,Scatter,,31,0,0,0,1,9,9,0,
6216,2007,1,6,Glen,Wilson,637,0,1,1,0,10,10,0,
6216,2007,1,5,Angela,Hodge,815,1,1,1,0,10,10,0,
6216,2007,1,13,Lori,Lemmenes,1198,1,0,0,0,11,11,0,
6216,2007,1,14,Roger,Schregardus,1221,1,1,0,0,12,12,0,
6216,2007,1,NA,Scatter,,23,0,0,0,1,12,12,0,
6216,2008,1,15,Jane,Derksen,3218,1,0,0,0,13,13,0,
6216,2008,1,16,Anne,Kraintz,2091,1,0,0,0,13,13,0,
6216,2008,1,NA,Scatter,,42,0,0,0,1,13,13,0,
6216,2009,1,17,Scott,Fairbank,1195,1,0,0,0,14,14,1,
6216,2009,1,18,William,Bruins,619,0,0,0,0,14,14,1,
6216,2009,1,4,Percy,Harper,747,0,1,1,0,15,15,0,
6216,2009,1,19,Ron,Paul,1015,1,0,0,0,15,15,0,
6216,2009,1,NA,Scatter,,35,0,0,0,1,15,15,0,
6216,2010,1,6,Glen,Wilson,1724,1,0,1,0,16,16,0,
6216,2010,1,20,Lillian,Possin,815,0,0,0,0,17,17,0,
6216,2010,1,14,Roger,Schregardus,1055,1,1,1,0,17,17,0,
6216,2010,1,18,William,Bruins,1022,1,0,1,0,18,18,0,
6216,2010,1,21,Jamie,Marwitz,955,0,0,0,0,18,18,0,
6216,2011,1,22,Jim,VanBuren,1481,0,0,0,0,21,21,0,
6216,2011,1,16,Anne,Kraintz,1523,0,1,1,0,21,21,0,
6216,2011,1,15,Jane,Derksen,1715,1,1,1,0,21,21,0,
6216,2011,1,23,Jason,Wierenga,1675,0,0,0,0,21,21,0,
6216,2011,1,24,Kathy,Schlieve,3193,1,0,0,0,22,22,0,
6216,2011,1,NA,Scatter,,77,0,0,0,1,22,22,0,
6216,2012,1,24,Kathy,Schlieve,2425,1,1,1,0,19,19,1,
6216,2012,1,19,Ron,Paul,2161,1,1,1,0,20,20,0,
6216,2012,1,NA,Scatter,,63,0,0,0,1,20,20,0,
