distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6244,2002,1,9,Buffy,Stephan,7145,1,1,1,0,1d,1,1,
6244,2002,1,3,Tim,Taff,7091,1,1,1,0,1e,2,1,
6244,2002,1,10,Katherine,Metzger,7121,1,0,0,0,1f,3,1,
6244,2002,1,8,Lois,Weber,7523,1,1,1,0,1g,4,1,
6244,2002,1,NA,Scatter,,239,0,0,0,1,1,4,1,
6244,2004,1,11,Daniel,O'Brien,6179,1,1,1,0,2a,5,1,
6244,2004,1,5,Sharon,Muehlfeld,4542,0,0,0,0,2a,5,1,
6244,2004,1,12,Michael,Meier,8919,1,0,0,0,2b,6,1,
6244,2004,1,13,Eileen,Donohoo,7634,1,1,1,0,2c,7,1,
6244,2004,1,14,Steve,Dykstra,2330,0,0,0,0,2c,7,1,
6244,2004,1,NA,Scatter,,469,0,0,0,1,2,7,1,
6244,2005,1,1,Mary Jo,Randall,5539,1,0,0,0,3d,8,1,
6244,2005,1,2,Anne,Fee,2905,0,0,0,0,3d,8,1,
6244,2005,1,3,Tim,Taff,2477,0,1,1,0,3e,9,1,
6244,2005,1,4,Jon,Ray,6204,1,0,0,0,3e,9,1,
6244,2005,1,5,Sharon,Muehlfeld,5521,1,0,1,0,3f,10,1,
6244,2005,1,6,Laura,Startz,2849,0,0,0,0,3f,10,1,
6244,2005,1,7,Patrick,Riordan,3241,0,0,0,0,3g,11,1,
6244,2005,1,8,Lois,Weber,5059,1,1,1,0,3g,11,1,
6244,2005,1,NA,Scatter,,33,0,0,0,1,3,11,1,
6244,2007,1,15,Philip,Kroner,3450,1,0,0,0,4,12,1,
6244,2007,1,12,Michael,Meier,4666,1,1,1,0,4,12,1,
6244,2007,1,2,Anne,Fee,3765,1,0,1,0,4,12,1,
6244,2007,1,NA,Scatter,,150,0,0,0,1,4,12,1,
6244,2008,1,1,Mary Jo,Randall,8810,1,1,1,0,5,13,1,
6244,2008,1,4,Jon,Ray,8641,1,1,1,0,5,13,1,
6244,2008,1,5,Sharon,Muehlfeld,8582,1,1,1,0,5,13,1,
6244,2008,1,8,Lois,Weber,9044,1,1,1,0,5,13,1,
6244,2008,1,NA,Scatter,,321,0,0,0,1,5,13,1,
6244,2010,1,15,Philip,Kroner,1683,1,1,1,0,6,14,1,
6244,2010,1,12,Michael,Meier,1623,1,1,1,0,6,14,1,
6244,2010,1,2,Anne,Fee,1629,1,1,1,0,6,14,1,
6244,2010,1,NA,Scatter,,205,0,0,0,1,6,14,1,
6244,2011,1,1,Mary Jo,Randall,9190,1,1,1,0,6d,15,1,
6244,2011,1,16,Thomas,Jarosz,8974,1,0,0,0,6e,16,1,
6244,2011,1,5,Sharon,Muehlfeld,8981,1,1,1,0,6f,17,1,
6244,2011,1,8,Lois,Weber,9608,1,1,1,0,6g,18,1,
6244,2011,1,NA,Scatter,,411,0,0,0,1,6,18,1,
