distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6293,2002,1,1,Thomas,Harstad,415,1,1,1,0,1,1,1,
6293,2002,1,2,Greg,Main,396,1,0,0,0,1,1,1,
6293,2002,1,3,Kathleen,Olson,341,0,0,0,0,1,1,1,
6293,2003,1,4,Charles,Macke,803,1,0,0,0,2,2,1,
6293,2003,1,5,Scott,Treichel,760,1,1,1,0,2,2,1,
6293,2003,1,6,Brenda,Bentley,708,1,0,0,0,22,2,1,
6293,2003,1,7,Rose,Bauman,665,0,0,0,0,2,2,1,
6293,2003,1,8,Angela,French,644,0,0,0,0,2,2,1,
6293,2003,1,9,Kenn,Johnson,627,0,1,1,0,2,2,1,
6293,2004,1,10,Mark,Elliott,652,1,1,1,0,3,3,1,
6293,2004,1,11,Dave,Swingle,631,1,1,1,0,3,3,1,
6293,2004,1,12,David,Chollar,267,0,0,0,0,3,3,1,
6293,2005,1,13,Sheldon,Olesen,645,1,0,0,0,4,4,1,
6293,2005,1,14,Nels,Koerper,615,1,0,0,0,4,4,1,
6293,2005,1,15,Larry,Blahauvietz,547,0,0,0,0,4,4,1,
6293,2005,1,NA,Scatter,,3,0,0,0,1,4,4,1,
6293,2006,1,6,Brenda,Bentley,355,1,1,1,0,5,5,1,
6293,2006,1,5,Scott,Treichel,381,1,1,1,0,5,5,1,
6293,2006,1,4,Charles,Macke,444,1,1,1,0,5,5,1,
6293,2006,1,16,Kitty,Holmquist,308,0,0,0,0,5,5,1,
6293,2007,1,16,Kitty,Holmquist,727,1,0,1,0,6,6,1,
6293,2007,1,17,Douglas,Quenzer,597,0,0,0,0,6,6,1,
6293,2007,1,NA,Scatter,,12,0,0,0,1,6,6,1,
6293,2008,2,13,Sheldon,Olesen,474,1,1,1,0,7,7,1,
6293,2008,2,18,Chris,Phernetton,384,0,0,0,0,7,7,1,
6293,2008,2,19,Brenda,Rachner,452,1,0,0,0,7,7,1,
6293,2008,2,20,Wendy,Larson,399,1,0,0,0,7,7,1,
6293,2008,2,21,Terry,Larson,596,1,0,0,0,7,7,1,
6293,2008,2,22,Tom,Oswald,195,0,0,0,0,7,7,1,
6293,2008,2,NA,Scatter,,4,0,0,0,1,7,7,1,
6293,2008,1,21,Terry,Larson,597,1,0,0,0,8,8,1,
6293,2008,1,13,Sheldon,Olesen,474,1,1,1,0,8,8,1,
6293,2008,1,19,Brenda,Rachner,453,0,0,0,0,8,8,1,
6293,2008,1,20,Wendy,Larson,399,0,0,0,0,8,8,1,
6293,2008,1,NA,Scatter,,1,0,0,0,1,8,8,1,
6293,2009,1,4,Charles,Macke,933,1,1,1,0,9,9,1,
6293,2009,1,20,Wendy,Larson,843,1,0,1,0,9,9,1,
6293,2009,1,19,Brenda,Rachner,930,1,0,1,0,9,9,1,
6293,2009,1,17,Douglas,Quenzer,654,0,1,1,0,9,9,1,
6293,2009,1,NA,Scatter,,6,0,0,0,1,9,9,1,
6293,2010,1,16,Kitty,Holmquist,377,0,1,1,0,10,10,1,
6293,2010,1,2,Greg,Main,383,1,0,1,0,10,10,1,
6293,2010,1,10,Mark,Elliott,400,1,0,1,0,10,10,1,
6293,2010,1,NA,Scatter,,20,0,0,0,1,10,10,1,
6293,2011,1,21,Terry,Larson,1031,1,1,1,0,11,11,1,
6293,2011,1,22,Mathew,Pawlak,456,0,0,0,0,11,11,1,
6293,2011,1,23,Bob,Carlson,609,1,0,0,0,11,11,1,
6293,2011,1,24,Jim,Kopecky,545,0,0,0,0,11,11,1,
6293,2011,1,NA,Scatter,,6,0,0,0,1,11,11,1,
6293,2012,1,20,Wendy,Larson,613,1,1,1,0,12,12,1,
6293,2012,1,25,Lynn,Stromberg,577,0,0,1,0,12,12,1,
6293,2012,1,4,Charles,Macke,596,1,1,1,0,12,12,1,
6293,2012,1,19,Brenda,Rachner,615,1,1,1,0,12,12,1,
6293,2012,1,NA,Scatter,,3,0,0,0,1,12,12,1,
