distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6300,2002,1,1,Carol,Garrison,4841,1,1,1,0,1,1,1,
6300,2002,1,2,David,Girardot,1986,0,0,0,0,1,1,1,
6300,2002,1,3,Dean,Hudson,2623,0,0,0,0,1,1,1,
6300,2002,1,4,Robert,Kitchen,4459,1,1,1,0,1,1,1,
6300,2002,1,5,Steven,Dobrzynski,2550,0,0,0,0,1,1,1,
6300,2002,1,6,Peggy,Miller,4666,1,0,0,0,1,1,1,
6300,2002,1,NA,Scatter,,83,0,0,0,1,1,1,1,
6300,2003,1,7,Sue,Sujecki,4258,1,1,1,0,2,2,1,
6300,2003,1,8,Rita,Kohls,4020,1,1,1,0,2,2,1,
6300,2003,1,9,Michael,Smith,3711,0,0,0,0,2,2,1,
6300,2003,1,10,Patricia,Kerhin,4524,1,1,1,0,2,2,1,
6300,2003,1,NA,Scatter,,72,0,0,0,1,2,2,1,
6300,2004,1,11,Joanie,Luedke,6388,1,0,0,0,3,3,1,
6300,2004,1,12,Ed,Keever,3294,0,0,0,0,3,3,1,
6300,2004,1,13,Darlene,Ziemendorf,5019,1,1,1,0,3,3,1,
6300,2004,1,14,Susan,Stalewski,6856,1,0,0,0,3,3,1,
6300,2004,1,15,Jerry,Kucharski,4313,0,0,0,0,3,3,1,
6300,2004,1,16,Dan,Barbian,4492,0,0,0,0,3,3,1,
6300,2004,1,NA,Scatter,,109,0,0,0,1,3,3,1,
6300,2005,1,17,Rick,Dekeyser,1822,0,0,0,0,4,4,1,
6300,2005,1,1,Carol,Garrison,2589,1,1,1,0,4,4,1,
6300,2005,1,6,Peggy,Miller,2322,1,1,1,0,4,4,1,
6300,2005,1,4,Robert,Kitchen,2428,1,1,1,0,4,4,1,
6300,2005,1,18,William,Zuback,2108,0,0,0,0,4,4,1,
6300,2005,1,NA,Scatter,,57,0,0,0,1,4,4,1,
6300,2006,1,8,Rita,Kohls,1776,0,1,1,0,5,5,1,
6300,2006,1,19,Kari,Krause,1553,0,0,0,0,5,5,1,
6300,2006,1,7,Sue,Sujecki,1923,1,1,1,0,5,5,1,
6300,2006,1,10,Patricia,Kerhin,2029,1,1,1,0,5,5,1,
6300,2006,1,NA,Scatter,,46,0,0,0,1,5,5,1,
6300,2007,1,11,Joanie,Luedke,3443,1,1,1,0,6,6,1,
6300,2007,1,20,Thomas,Doyle,3022,0,0,0,0,6,6,1,
6300,2007,1,13,Darlene,Ziemendorf,3108,0,1,1,0,6,6,1,
6300,2007,1,14,Susan,Stalewski,3600,1,1,1,0,6,6,1,
6300,2007,1,21,Annette,Frymark,3418,1,0,0,0,6,6,1,
6300,2007,1,NA,Scatter,,90,0,0,0,1,6,6,1,
6300,2008,1,22,Barbara,Suleiman,6311,1,0,0,0,7,7,1,
6300,2008,1,1,Carol,Garrison,6957,1,1,1,0,7,7,1,
6300,2008,1,4,Robert,Kitchen,7164,1,1,1,0,7,7,1,
6300,2008,1,NA,Scatter,,136,0,0,0,1,7,7,1,
6300,2009,1,7,Sue,Sujecki,3345,1,1,1,0,8,8,1,
6300,2009,1,12,Ed,Keever,2766,0,0,1,0,8,8,1,
6300,2009,1,13,Darlene,Ziemendorf,2871,1,0,1,0,8,8,1,
6300,2009,1,10,Patricia,Kerhin,3457,1,1,1,0,8,8,1,
6300,2009,1,NA,Scatter,,100,0,0,0,1,8,8,1,
6300,2010,1,23,Len,Kopet,1222,0,0,0,0,9,9,1,
6300,2010,1,24,Jake,Dreske,1335,0,0,0,0,9,9,1,
6300,2010,1,21,Annette,Frymark,1458,1,1,1,0,9,9,1,
6300,2010,1,25,George,Sotiros,1466,1,0,0,0,9,9,1,
6300,2010,1,14,Susan,Stalewski,1667,1,1,1,0,9,9,1,
6300,2010,1,26,Jane,Edgar,1399,0,0,0,0,9,9,1,
6300,2010,1,NA,Scatter,,43,0,0,0,1,9,9,1,
6300,2011,2,27,James,Blask,2285,1,0,0,0,10,10,1,
6300,2011,2,28,Gail,Radonski,2168,1,0,0,0,10,10,1,
6300,2011,2,29,Dan,Bailey,2082,1,0,0,0,10,10,1,
6300,2011,2,22,Barbara,Suleiman,1820,1,1,1,0,10,10,1,
6300,2011,2,30,Kritsti,Bonaparte,1665,1,0,0,0,10,10,1,
6300,2011,2,26,Jane,Edgar,1638,1,0,1,0,10,10,1,
6300,2011,2,23,Len,Kopet,1347,0,0,1,0,10,10,1,
6300,2011,2,NA,Scatter,,90,0,0,0,1,10,10,1,
6300,2011,1,30,Kritsti,Bonaparte,4853,1,0,0,0,11,11,1,
6300,2011,1,22,Barbara,Suleiman,4315,0,1,1,0,11,11,1,
6300,2011,1,26,Jane,Edgar,4264,0,0,1,0,11,11,1,
6300,2011,1,27,James,Blask,4810,0,0,0,0,11,11,1,
6300,2011,1,28,Gail,Radonski,5516,1,0,0,0,11,11,1,
6300,2011,1,29,Dan,Bailey,5179,1,0,0,0,11,11,1,
6300,2011,1,NA,Scatter,,226,0,0,0,1,11,11,1,
6300,2012,1,13,Darlene,Ziemendorf,5333,1,1,1,0,12,12,1,
6300,2012,1,10,Patricia,Kerhin,5380,1,1,1,0,12,12,1,
6300,2012,1,7,Sue,Sujecki,5809,1,1,1,0,12,12,1,
6300,2012,1,NA,Scatter,,224,0,0,0,1,12,12,1,
