distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6335,2007,1,1,Robert,Duley,1086,1,0,0,0,1,1,1,
6335,2007,1,2,Dan,Semrow,1038,1,1,1,0,1,1,1,
6335,2007,1,NA,Scatter,,6,0,0,0,1,1,1,1,
6335,2008,2,3,Harry,Nemitz,479,0,0,0,0,2,2,1,
6335,2008,2,4,Keith,Wohlfert,1098,1,1,1,0,2,2,1,
6335,2008,2,5,,Doremus,514,1,0,0,0,2,2,1,
6335,2008,1,6,Scott,Watson,998,1,1,1,0,3,3,1,
6335,2008,1,7,Gerald,Herbert,999,1,0,0,0,3,3,1,
6335,2008,1,4,Keith,Wohlfert,778,1,1,1,0,3,3,1,
6335,2008,1,5,,Doremus,455,0,0,0,0,3,3,1,
6335,2009,1,8,Steven,Janke,783,1,0,0,0,4,4,1,
6335,2009,1,9,Shaun,Long,469,0,0,0,0,4,4,1,
6335,2009,1,10,Clark,Wagner,1088,1,0,0,0,4,4,1,
6335,2009,1,11,Shirley,Floeter,1189,1,1,1,0,4,4,1,
6335,2010,2,1,Robert,Duley,161,1,1,1,0,5,5,1,
6335,2010,2,12,Brian,Janke,233,1,0,0,0,5,5,1,
6335,2010,2,13,Mara,Meronek,141,0,0,0,0,5,5,1,
6335,2010,1,12,Brian,Janke,1124,1,0,0,0,6,6,1,
6335,2010,1,1,Robert,Duley,706,0,1,1,0,6,6,1,
6335,2010,1,2,Dan,Semrow,1457,1,1,1,0,6,6,1,
6335,2011,1,9,Shaun,Long,974,0,0,1,0,7,7,1,
6335,2011,1,8,Steven,Janke,1083,1,1,1,0,7,7,1,
6335,2011,1,7,Gerald,Herbert,1734,1,1,1,0,7,7,1,
6335,2011,1,14,Thomas,Wastart,1796,1,0,0,0,7,7,1,
6335,2012,1,10,Clark,Wagner,1175,1,1,1,0,8,8,1,
6335,2012,1,11,Shirley,Floeter,1260,1,1,1,0,8,8,1,
