distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6354,2006,1,1,Timothy,Fichtel,360,1,1,1,0,1d,1,0,
6354,2006,1,2,Diane,Brandt,271,1,0,0,0,1e,2,0,
6354,2006,1,3,Leslie,Erdmann,173,0,1,1,0,1e,2,0,
6354,2006,1,NA,Scatter,,3,0,0,0,1,1,2,0,
6354,2007,1,4,Norm,Klingaman,211,1,0,0,0,2a,3,0,
6354,2007,1,5,Rebecca,Jennings,164,0,0,0,0,2a,3,0,
6354,2007,1,6,David,Wermund,325,1,1,1,0,2f,4,0,
6354,2007,1,7,James,McGlynn,330,1,1,1,0,2g,5,0,
6354,2007,1,NA,Scatter,,1,0,0,0,0,2,5,0,
6354,2008,1,8,Brenda,Reisdorph,513,1,0,0,0,3c,6,0,
6354,2008,1,NA,Scatter,,148,0,0,0,1,3,6,0,
6354,2009,1,1,Timothy,Fichtel,315,1,1,1,0,4d,7,0,
6354,2009,1,9,Lisa,Arneson,307,1,0,0,0,4e,8,0,
6354,2009,1,NA,Scatter,,3,0,0,0,1,4,8,0,
6354,2010,1,4,Norm,Klingaman,241,1,1,1,0,5a,9,0,
6354,2010,1,6,David,Wermund,235,1,1,1,0,5f,10,0,
6354,2010,1,7,James,McGlynn,244,1,1,1,0,5g,11,0,
6354,2010,1,NA,Scatter,,8,0,0,0,1,5,11,0,
6354,2011,1,10,Frank,Tomczak,638,1,0,0,0,6b,12,0,
6354,2011,1,8,Brenda,Reisdorph,620,1,1,1,0,6c,13,0,
6354,2011,1,NA,Scatter,,20,0,0,0,1,6,13,0,
6354,2012,1,9,Lisa,Arneson,551,1,1,1,0,7e,14,0,
6354,2012,1,NA,Scatter,,61,0,0,0,1,7,14,0,
