distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6384,2004,2,3,Lynn,Brewer,262,0,0,0,0,2,3,1,
6384,2004,2,4,Steve,Loehrke,472,1,0,0,0,2,3,1,
6384,2004,2,5,Robert,Rieckmann,276,1,0,0,0,2,3,1,
6384,2004,1,5,Robert,Rieckmann,573,0,0,0,0,3,4,1,
6384,2004,1,4,Steve,Loehrke,753,1,0,0,0,3,4,1,
6384,2004,1,6,Steve,Bartel,1043,1,0,0,0,3,4,1,
6384,2004,1,7,Sheryl,Hart,1035,1,0,0,0,3,4,1,
6384,2006,1,8,Linda,O'Day,628,1,0,0,0,4a,5,0,
6384,2006,1,9,Kurt,Duxbury,550,0,0,0,0,4a,5,0,
6384,2006,1,10,Jim,Otte,912,1,0,0,0,4c,6,0,
6384,2006,1,11,Nancy,Gorchals,98,0,0,0,1,4c,6,0,
6384,2006,1,12,Jason,Baehman,346,0,1,0,0,4c,6,0,
6384,2006,1,13,Steve,Ebert,569,0,1,0,0,4d,7,0,
6384,2006,1,14,Barry,Hoerz,671,1,0,0,0,4d,7,0,
6384,2006,1,NA,Scatter,,24,0,0,0,1,4,7,0,
6384,2006,3,15,Kim,VanKinderman,752,0,0,0,0,5e,8,0,
6384,2006,3,4,Steve,Loehrke,871,1,1,1,0,5e,8,0,
6384,2006,3,7,Sheryl,Hart,874,1,1,1,0,5f,9,0,
6384,2006,3,16,Terry,Schilling,707,0,0,0,0,5f,9,0,
6384,2006,3,NA,Scatter,,5,0,0,0,1,5,9,0,
6384,2007,1,17,Dan,Kohl,664,1,0,0,0,6b,10,0,
6384,2007,1,18,Paul,Fisher,15,0,0,0,1,6b,10,0,
6384,2007,1,19,Michael,Abraham,651,1,0,0,0,6f,11,0,
6384,2007,1,20,Craig,Smith,684,1,0,0,0,6g,12,0,
6384,2007,1,21,Bill,Brace,639,1,0,0,0,6d,13,0,
6384,2007,1,22,Lucie,Erickson,47,0,0,0,1,6d,13,0,
6384,2007,1,23,Mike,Haak,516,1,0,0,0,6e,14,0,
6384,2007,1,24,Tad,Masaros,256,0,0,0,0,6e,14,0,
6384,2007,1,NA,Scatter,,29,0,0,0,1,6,14,0,
6384,2008,1,17,Dan,Kohl,687,1,1,1,0,7b,15,0,
6384,2008,1,25,Tony,Beyer,390,1,0,0,0,7a,16,0,
6384,2008,1,8,Linda,O'Day,357,0,1,1,0,7a,16,0,
6384,2008,1,NA,Scatter,,3,0,0,0,1,7,16,0,
6384,2009,1,26,Neal,Loehrke,426,1,0,0,0,8c,17,0,
6384,2009,1,13,Steve,Ebert,381,0,1,1,0,8c,17,0,
6384,2009,1,21,Bill,Brace,636,1,1,1,0,8d,18,0,
6384,2009,1,NA,Scatter,,18,0,0,0,1,8,18,0,
6384,2010,1,27,Jim,Stuebs,472,1,0,0,0,9e,19,0,
6384,2010,1,23,Mike,Haak,190,0,1,1,0,9e,19,0,
6384,2010,1,28,Randal,Yorkson,552,1,0,0,0,9g,20,0,
6384,2010,1,29,Michael,Abraham,409,1,1,1,0,9f,21,0,
6384,2010,1,29,Chris,Hudziak,10,0,0,0,1,9f,21,0,
6384,2010,1,NA,Scatter,,44,0,0,0,1,9,21,0,
6384,2011,1,30,Douglas,Ehrenberg,1182,1,0,0,0,10f,22,0,
6384,2011,1,25,Tony,Beyer,1166,1,1,1,0,10a,23,0,
6384,2011,1,17,Dan,Kohl,1192,1,1,1,0,10b,24,0,
6384,2011,1,31,Sandra,Smith,1159,1,0,0,0,10d,25,0,
6384,2011,1,NA,Scatter,,18,0,0,0,1,10,25,0,
6384,2012,1,31,Sandra,Smith,959,1,1,1,0,11d,26,0,
6384,2012,1,26,Neal,Loehrke,871,1,1,1,0,11c,27,0,
6384,2012,1,NA,Scatter,,34,0,0,0,1,11,28,0,
