distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6461,2002,2,1,Barbara,Kramer,235,0,0,0,0,1,1,1,
6461,2002,2,2,Lori,Edwards,288,1,0,0,0,1,1,1,
6461,2002,2,3,Pamela,VanDoren,504,1,1,1,0,1,1,1,
6461,2002,2,4,Steve,Lamsam,612,1,0,0,0,1,1,1,
6461,2002,2,5,Kurt,Harkness,276,1,0,0,0,1,1,1,
6461,2002,2,6,Caroline,Wieman,605,1,0,0,0,1,1,1,
6461,2002,2,7,Dan,MaCrea,387,1,0,0,0,1,1,1,
6461,2002,1,2,Lori,Edwards,237,0,0,0,0,2,2,1,
6461,2002,1,3,Pamela,VanDoren,334,1,1,1,0,2,2,1,
6461,2002,1,4,Steve,Lamsam,440,1,0,0,0,2,2,1,
6461,2002,1,5,Kurt,Harkness,195,0,0,0,0,2,2,1,
6461,2002,1,6,Caroline,Wieman,478,1,0,0,0,2,2,1,
6461,2002,1,7,Dan,MaCrea,214,0,0,0,0,2,2,1,
6461,2003,1,8,Kim,Taylor,953,1,0,0,0,3,3,1,
6461,2003,1,7,Dan,MaCrea,886,1,0,1,0,3,3,1,
6461,2003,1,5,Kurt,Harkness,291,0,0,1,0,3,3,1,
6461,2003,1,9,,Mursch,303,0,0,0,0,3,3,1,
6461,2004,1,10,Henri,Kinson,1129,1,1,1,0,4,4,1,
6461,2004,1,11,Charles,Nass,1411,1,0,0,0,4,4,1,
6461,2005,1,5,Kurt,Harkness,574,1,0,1,0,5,5,1,
6461,2005,1,4,Steve,Lamsam,799,1,1,1,0,5,5,1,
6461,2005,1,12,John,Chenoweth,556,0,0,0,0,5,5,1,
6461,2005,1,6,Caroline,Wieman,928,1,1,1,0,5,5,1,
6461,2006,1,13,Thayer,Coburn,1004,1,0,0,0,6,6,1,
6461,2006,1,7,Dan,MaCrea,902,1,1,1,0,6,6,1,
6461,2006,1,12,John,Chenoweth,823,1,0,1,0,6,6,1,
6461,2006,1,NA,Scatter,,20,0,0,0,1,6,6,1,
6461,2007,1,14,Brian,Brunner,1175,1,0,0,0,7,7,1,
6461,2007,1,11,Charles,Nass,1535,1,1,1,0,7,7,1,
6461,2007,1,NA,Scatter,,23,0,0,0,1,7,7,1,
6461,2008,1,5,Kurt,Harkness,1224,1,1,1,0,8,8,1,
6461,2008,1,6,Caroline,Wieman,1530,1,1,1,0,8,8,1,
6461,2008,1,4,Steve,Lamsam,1313,1,1,1,0,8,8,1,
6461,2008,1,NA,Scatter,,33,0,0,0,1,8,8,1,
6461,2009,1,7,Dan,MaCrea,1386,1,1,1,0,9,9,1,
6461,2009,1,13,Thayer,Coburn,1460,1,1,1,0,9,9,1,
6461,2009,1,NA,Scatter,,26,0,0,0,1,9,9,1,
6461,2010,1,14,Brian,Brunner,831,1,1,1,0,10,10,1,
6461,2010,1,11,Charles,Nass,1026,1,1,1,0,10,10,1,
6461,2010,1,NA,Scatter,,12,0,0,0,1,10,10,1,
6461,2011,1,5,Kurt,Harkness,2235,1,1,1,0,11,11,1,
6461,2011,1,15,,Ryan,2446,1,0,0,0,11,11,1,
6461,2011,1,16,Casey,Judd,221,1,0,0,0,11,11,1,
6461,2011,1,NA,Scatter,,109,0,0,0,1,11,11,1,
6461,2012,1,7,Dan,MaCrea,2049,1,1,1,0,12,12,1,
6461,2012,1,13,Thayer,Coburn,2205,1,1,1,0,12,12,1,
6461,2012,1,NA,Scatter,,61,0,0,0,1,12,12,1,
