distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6470,2002,1,1,Carolyn,Slosiarek,2245,1,1,1,0,1,1,1,
6470,2002,1,2,MaryAnn,Lindberg,2500,1,1,1,0,1,1,1,
6470,2002,1,3,Russ,Kaeske,2245,1,1,1,0,1,1,1,
6470,2003,1,4,Julie,Scheibe,1261,1,1,1,0,2,2,1,
6470,2003,1,5,Kathleen,Caveney,1197,1,1,1,0,2,2,1,
6470,2004,1,6,Suzette,Larson,2510,1,0,0,0,3,3,1,
6470,2004,1,7,Richard,Kollauf,2157,1,1,1,0,3,3,1,
6470,2005,1,2,MaryAnn,Lindberg,1373,1,1,1,0,4,4,1,
6470,2005,1,3,Russ,Kaeske,1232,1,1,1,0,4,4,1,
6470,2005,1,8,T.J.,Anderson,1219,1,0,0,0,4,4,1,
6470,2005,1,9,Michael,Clarizio,1044,0,0,0,0,4,4,1,
6470,2006,1,10,Judy,Wied,655,0,0,0,0,5,5,1,
6470,2006,1,4,Julie,Scheibe,1039,1,1,1,0,5,5,1,
6470,2006,1,11,William,Osterndorf,994,1,0,0,0,5,5,1,
6470,2006,1,12,Robert,Swendrowski,658,0,0,0,0,5,5,1,
6470,2007,1,7,Richard,Kollauf,1253,1,1,1,0,6,6,1,
6470,2007,1,6,Suzette,Larson,1219,1,1,1,0,6,6,1,
6470,2008,1,13,Bernard,Shaw,1841,1,0,0,0,7,7,1,
6470,2008,1,3,Russ,Kaeske,1568,0,1,1,0,7,7,1,
6470,2008,1,14,Nancy,Zaborowski,2607,1,0,0,0,7,7,1,
6470,2008,1,8,T.J.,Anderson,2177,1,1,1,0,7,7,1,
6470,2009,1,11,William,Osterndorf,1715,1,1,1,0,8,8,1,
6470,2009,1,15,Robert,Lawton,97,0,0,0,1,8,8,1,
6470,2009,1,12,Robert,Swendrowski,64,0,0,1,0,8,8,1,
6470,2009,1,16,Michael,Clarizio,22,0,0,1,0,8,8,1,
6470,2010,1,6,Suzette,Larson,512,1,1,1,0,9,9,1,
6470,2010,1,17,Jon,Jones,436,0,0,0,0,9,9,1,
6470,2010,1,9,Michael,Clarizio,475,1,0,1,0,9,9,1,
6470,2010,1,18,Stephanie,Richter,493,1,0,0,0,9,9,1,
6470,2011,1,19,Jacob,Harycki,1391,0,0,0,0,10,10,1,
6470,2011,1,8,T.J.,Anderson,2097,1,1,1,0,10,10,1,
6470,2011,1,13,Bernard,Shaw,1902,1,1,1,0,10,10,1,
6470,2011,1,14,Nancy,Zaborowski,2735,1,1,1,0,10,10,1,
6470,2011,1,17,Jon,Jones,1569,0,0,1,0,10,10,1,
6470,2011,1,20,Quin,Brunette,1679,0,0,0,0,10,10,1,
6470,2012,1,17,Jon,Jones,1363,0,0,1,0,11,11,1,
6470,2012,1,21,Eileen,Valaitis,1568,1,0,0,0,11,11,1,
6470,2012,1,9,Michael,Clarizio,1232,0,1,1,0,11,11,1,
6470,2012,1,20,Quin,Brunette,1515,1,0,1,0,11,11,1,
