distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
6482,2005,1,1,Vernon,Choyce,178,1,1,1,0,1,1,1,
6482,2005,1,2,Peter,Miller,186,1,1,1,0,1,1,1,
6482,2005,1,3,Monte,Thompson,125,0,0,0,0,1,1,1,
6482,2005,1,NA,Scatter,,7,0,0,0,1,1,1,1,
6482,2006,1,4,Kim,Travis,162,1,1,1,0,2,2,1,
6482,2007,2,9,Richard,Chroust,85,1,0,0,0,1,1,1,
6482,2007,2,7,Lynne,Landgraf,160,1,0,0,0,1,1,1,
6482,2007,2,13,Kevin,Thomas,39,0,0,0,0,1,1,1,
6482,2007,2,8,Jim,Pfeil,159,1,0,0,0,1,1,1,
6482,2007,2,10,Bill,Myers,107,1,0,0,0,1,1,1,
6482,2007,2,NA,Scatter,,5,0,0,0,1,1,1,1,
6482,2008,1,5,Edward,Carlson,50,1,0,0,1,3,3,1,
6482,2008,1,6,David,Ketchpaw,55,1,0,0,1,3,3,1,
6482,2008,1,2,Peter,Miller,10,1,1,1,1,4,4,1,
6482,2008,1,1,Vernon,Choyce,9,1,1,1,1,4,4,1,
6482,2011,1,7,Lynne,Landgraf,529,1,0,0,0,5,5,1,
6482,2011,1,8,Jim,Pfeil,418,1,0,0,0,5,5,1,
6482,2011,1,9,Richard,Chroust,326,0,0,0,0,5,5,1,
6482,2011,1,10,Bill,Meyers,330,0,0,0,0,5,5,1,
6482,2011,1,NA,Scatter,,7,0,0,0,1,5,5,1,
6482,2012,1,11,Cheryl,Beinetti,564,1,0,0,0,6,6,1,
