distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6545,2002,1,1,Sam,Barranco,1374,1,1,1,0,1,1,1,
6545,2002,1,2,Nadine,Slowinski,1317,1,1,1,0,1,1,1,
6545,2002,1,3,Janet,Jackson,1282,1,1,1,0,1,1,1,
6545,2002,1,4,Thomas,Pleuger,1121,0,0,0,0,1,1,1,
6545,2002,1,5,Phil,Dziki,962,0,1,1,0,1,1,1,
6545,2003,1,6,Carl,Horn,1035,0,0,0,0,2,2,1,
6545,2003,1,4,Thomas,Pleuger,1356,1,0,1,0,2,2,1,
6545,2003,1,5,Phil,Dziki,1051,1,0,1,0,2,2,1,
6545,2004,1,7,Hugh,Armstrong,1932,1,0,0,0,3,3,1,
6545,2004,1,8,Wayne,Trongeau,1911,1,0,0,0,3,3,1,
6545,2005,1,1,Sam,Barranco,1869,1,1,1,0,4,4,1,
6545,2005,1,2,Nadine,Slowinski,1784,1,1,1,0,4,4,1,
6545,2005,1,3,Janet,Jackson,1642,1,1,1,0,4,4,1,
6545,2005,1,NA,Scatter,,34,0,0,0,1,4,4,1,
6545,2006,1,4,Thomas,Pleuger,1096,1,1,1,0,5,5,1,
6545,2006,1,5,Phil,Dziki,798,0,1,1,0,5,5,1,
6545,2006,1,9,Randy,Robinson,1203,1,0,0,0,5,5,1,
6545,2006,1,NA,Scatter,,11,0,0,0,1,5,5,1,
6545,2007,1,7,Hugh,Armstrong,1449,1,1,1,0,6,6,1,
6545,2007,1,8,Wayne,Trongeau,1646,1,1,1,0,6,6,1,
6545,2007,1,NA,Scatter,,16,0,0,0,1,6,6,1,
6545,2008,1,10,Barbara,Tietz,613,1,0,0,0,7,7,1,
6545,2008,1,1,Sam,Barranco,925,1,1,1,0,7,7,1,
6545,2008,1,11,Rebecca,Jablonski,532,0,0,0,0,7,7,1,
6545,2008,1,2,Nadine,Slowinski,823,1,1,1,0,7,7,1,
6545,2008,1,NA,Scatter,,10,0,0,0,1,7,7,1,
6545,2009,1,2,Nadine,Slowinski,1418,1,1,1,0,8,8,1,
6545,2009,1,4,Thomas,Pleuger,1403,1,1,1,0,8,8,1,
6545,2010,1,8,Wayne,Trongeau,871,1,1,1,0,9,9,1,
6545,2010,1,12,Chad,England,671,0,0,0,0,9,9,1,
6545,2010,1,13,Marcie,Badtke,769,1,0,0,0,9,9,1,
6545,2010,1,NA,Scatter,,12,0,0,0,1,9,9,1,
6545,2011,1,1,Sam,Barranco,1675,1,1,1,0,10,10,1,
6545,2011,1,14,Barbara,Wetherbee,1669,1,1,0,0,10,10,1,
6545,2011,1,10,Barbara,Tietz,1302,1,1,1,0,10,10,1,
6545,2011,1,15,Cheri,England,1241,0,0,0,0,10,10,1,
6545,2011,1,16,John,Manarik,1088,0,0,0,0,10,10,1,
6545,2011,1,NA,Scatter,,35,0,0,0,1,10,10,1,
6545,2012,1,17,Mike,Faber,1448,1,0,0,0,11,11,1,
6545,2012,1,2,Nadine,Slowinski,1223,1,1,1,0,11,11,1,
6545,2012,1,15,Cheri,England,1214,0,0,1,0,11,11,1,
6545,2012,1,NA,Scatter,,21,0,0,0,1,11,11,1,
