distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6608,2002,1,1,James,Johnson,608,1,1,1,0,1,1,1,
6608,2002,1,2,Barbara,Breister,696,1,1,1,0,1,1,1,
6608,2002,1,3,Greg,Kleinheinz,472,0,0,0,0,1,1,1,
6608,2002,1,NA,Scatter,,8,0,0,0,1,1,1,1,
6608,2003,1,4,David,Leonard,1019,1,1,1,0,2,2,1,
6608,2003,1,5,Mark,Kunde,981,1,0,0,0,2,2,1,
6608,2003,1,6,Dale,Burghardt,894,1,1,1,0,2,2,1,
6608,2003,1,NA,Scatter,,9,0,0,0,1,2,2,1,
6608,2004,1,7,Deb,Proxmire,918,1,1,1,0,3,3,1,
6608,2004,1,8,Jane,Moderson,817,1,1,1,0,3,3,1,
6608,2004,1,9,Carla,Koller,896,1,0,0,0,3,3,1,
6608,2004,1,10,Cary,Garofalo,594,0,0,0,0,3,3,1,
6608,2004,1,NA,Scatter,,16,0,0,0,1,3,3,1,
6608,2005,1,11,Colleen,Bissett,1314,1,0,0,0,4,4,1,
6608,2005,1,2,Barbara,Breister,1444,1,1,1,0,4,4,1,
6608,2005,1,1,James,Johnson,1312,1,1,1,0,4,4,1,
6608,2005,1,12,Donna,Hanson,1236,0,0,0,0,4,4,1,
6608,2005,1,NA,Scatter,,33,0,0,0,1,4,4,1,
6608,2006,1,12,Donna,Hanson,2071,1,0,1,0,5,5,1,
6608,2006,1,13,Lori,Gentry,1980,1,0,0,0,5,5,1,
6608,2006,1,1,James,Johnson,2080,1,1,1,0,5,5,1,
6608,2006,1,14,Russ,Grothman,1565,0,0,0,0,5,5,1,
6608,2006,1,15,Matthew,Olson,485,0,0,0,0,5,5,1,
6608,2007,1,6,Dale,Burghardt,862,1,0,1,0,6,6,1,
6608,2007,1,15,Matthew,Olson,952,1,0,1,0,6,6,1,
6608,2007,1,NA,Scatter,,27,0,0,0,1,6,6,1,
6608,2008,1,16,Cindy,Draws,1061,1,0,0,0,7,7,1,
6608,2008,1,17,Jim,Paulsen,742,0,0,0,0,7,7,1,
6608,2008,1,18,Joe,Yana,1092,1,0,0,0,7,7,1,
6608,2008,1,19,Gay,Anderson,1020,1,0,0,0,7,7,1,
6608,2008,1,NA,Scatter,,23,0,0,0,1,7,7,1,
6608,2008,2,20,Trent,Gilman,545,0,0,0,0,8,8,1,
6608,2008,2,18,Joe,Yana,886,1,0,0,0,8,8,1,
6608,2008,2,21,Dick,DeYoung,322,0,0,0,0,8,8,1,
6608,2008,2,3,Greg,Kleinheinz,409,0,0,1,0,8,8,1,
6608,2008,2,17,Jim,Paulsen,728,1,0,0,0,8,8,1,
6608,2008,2,19,Gay,Anderson,622,1,0,0,0,8,8,1,
6608,2008,2,16,Cindy,Draws,1044,1,0,0,0,8,8,1,
6608,2008,2,NA,Scatter,,23,0,0,0,1,8,8,1,
6608,2009,1,12,Donna,Hanson,1085,1,1,1,0,9,9,1,
6608,2009,1,22,Ethan,Hollenberger,823,0,0,0,0,9,9,1,
6608,2009,1,1,James,Johnson,1113,1,1,1,0,9,9,1,
6608,2009,1,19,Gay,Anderson,934,1,1,1,0,9,9,1,
6608,2009,1,NA,Scatter,,22,0,0,0,1,9,9,1,
6608,2010,1,23,Patrick,Seubert,1765,1,0,0,0,10,10,1,
6608,2010,1,15,Matthew,Olson,1866,1,1,1,0,10,10,1,
6608,2010,1,6,Dale,Burghardt,1836,1,1,1,0,10,10,1,
6608,2010,1,NA,Scatter,,158,0,0,0,1,10,10,1,
6608,2011,1,24,Rob,Rebman,1895,1,0,0,0,11,11,1,
6608,2011,1,5,Mark,Kunde,1283,0,0,1,0,11,11,1,
6608,2011,1,23,Patrick,Seubert,1901,1,1,1,0,11,11,1,
6608,2011,1,NA,Scatter,,35,0,0,0,1,11,11,1,
6608,2012,1,5,Mark,Kunde,1076,1,0,1,0,12,12,1,
6608,2012,1,25,Andy,Wegner,841,0,0,0,0,12,12,1,
6608,2012,1,12,Donna,Hanson,1262,1,1,1,0,12,12,1,
6608,2012,1,3,Greg,Kleinheinz,709,0,0,1,0,12,12,1,
6608,2012,1,26,Bob,Ronk,1021,1,0,0,0,12,12,1,
6608,2012,1,19,Gay,Anderson,987,0,1,1,0,12,12,1,
6608,2012,1,NA,Scatter,,23,0,0,0,1,12,12,1,
