distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6615,2002,1,1,Wenceslaus,Borrie,144,0,0,0,0,1,1,1,
6615,2002,1,2,Mark,Heath,273,1,1,1,0,1,1,1,
6615,2002,1,NA,Scatter,,4,0,0,0,1,1,1,1,
6615,2003,1,3,Linda,Dezotell,698,1,0,0,0,2,2,1,
6615,2003,1,4,John,Olsen,795,1,1,1,0,2,2,1,
6615,2003,1,NA,Scatter,,16,0,0,0,1,2,2,1,
6615,2004,1,5,Steve,Olson,280,1,1,1,0,3,3,1,
6615,2004,1,6,Wayne,Geist,545,1,0,0,0,3,3,1,
6615,2004,1,7,David,Kinsley,600,1,1,1,0,3,3,1,
6615,2004,1,8,Terry,Patenaude,111,0,0,0,0,3,3,1,
6615,2004,1,NA,Scatter,,9,0,0,0,1,3,3,1,
6615,2005,1,8,Terry,Patenaude,626,1,0,1,0,4,4,1,
6615,2005,1,9,Steve,Francis,418,0,0,0,0,4,4,1,
6615,2005,1,2,Mark,Heath,654,1,1,1,0,4,4,1,
6615,2005,1,1,Wenceslaus,Borrie,372,0,1,1,0,4,4,1,
6615,2005,1,10,Dale,Thompson,834,1,0,0,0,4,4,1,
6615,2005,1,11,Barb,Tom,771,1,0,0,0,4,4,1,
6615,2006,1,5,Steve,Olson,407,1,1,1,0,5,5,1,
6615,2006,1,12,Richard,Zaboeski,435,1,0,0,0,5,5,1,
6615,2006,1,10,Dale,Thompson,436,1,1,1,0,5,5,1,
6615,2007,1,13,Todd,Miller,421,0,0,0,0,6,6,1,
6615,2007,1,14,Pat,Sanchez,486,1,0,0,0,6,6,1,
6615,2007,1,7,David,Kinsley,371,0,1,1,0,6,6,1,
6615,2007,1,15,Bryan,Cody,523,1,0,0,0,6,6,1,
6615,2008,1,16,Jill,Petit,435,1,0,0,0,7,7,1,
6615,2008,1,17,Brian,Ruds,385,1,0,0,0,7,7,1,
6615,2009,1,10,Dale,Thompson,716,1,1,1,0,8,8,1,
6615,2009,1,12,Richard,Zaboeski,694,1,1,1,0,8,8,1,
6615,2009,1,5,Steve,Olson,693,1,1,1,0,8,8,1,
6615,2010,1,18,Renee,Sajdera,265,1,0,0,0,9,9,0,
6615,2010,1,15,Bryan,Cody,271,1,1,1,0,9,10,0,
6615,2010,1,19,Helen,Dennis,125,0,0,0,0,9,11,0,
6615,2010,1,20,Joe,Bodo,202,1,0,0,0,9,11,0,
6615,2011,1,16,Jill,Petit,876,1,1,1,0,10,12,0,
6615,2011,1,NA,Scatter,,4,0,0,0,1,10,12,0,
6615,2012,1,10,Dale,Thompson,489,1,1,1,0,11,13,1,
6615,2012,1,5,Steve,Olson,478,1,1,1,0,11,13,1,
6615,2012,1,12,Richard,Zaboeski,11,0,1,1,1,11,13,1,
6615,2012,1,NA,Scatter,,24,0,0,0,1,11,13,1,
