distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
469,2004,1,1,Dianne,Poe,593,1,1,1,0,1,1,1,
469,2004,1,2,Ron,Patterson,260,1,0,0,0,1,1,1,
469,2004,1,3,Tom,Turk,225,0,0,0,0,1,1,1,
469,2004,1,4,Jeff,Elsoffer,250,0,0,0,0,1,1,1,
469,2004,1,NA,Scatter,,9,0,0,0,1,1,1,1,
469,2005,1,5,Michael,Bryne,420,0,1,1,0,2,2,1,
469,2005,1,6,Jennifer,Wolf,543,1,0,0,0,2,2,1,
469,2005,1,7,Andy,Harris,532,0,1,1,0,2,2,1,
469,2005,1,4,Jeff,Elsoffer,455,0,0,1,0,2,2,1,
469,2005,1,8,Sue,Beil,622,1,0,0,0,2,2,1,
469,2005,1,3,Tom,Turk,645,1,0,1,0,2,2,1,
469,2005,1,NA,Scatter,,9,0,0,0,1,2,2,1,
469,2006,1,9,Kay,Butcher,695,1,1,1,0,3,3,1,
469,2006,1,10,James,Festge,506,0,0,0,0,3,3,1,
469,2006,1,6,Jennifer,Wolf,670,1,0,1,0,3,3,1,
469,2006,1,11,Terry,Zander,533,1,1,1,0,3,3,1,
469,2006,1,NA,Scatter,,81,0,0,0,1,3,3,1,
469,2007,1,1,Dianne,Poe,727,0,1,1,0,4,4,1,
469,2007,1,2,Ron,Patterson,643,0,1,1,0,4,4,1,
469,2007,1,12,Jeff,Franscali,746,1,0,0,0,4,4,1,
469,2007,1,13,Kim,Sears-Hacker,762,1,0,0,0,4,4,1,
469,2008,1,3,Tom,Turk,1253,1,1,1,0,5,5,1,
469,2008,1,8,Sue,Beil,1175,1,1,1,0,5,5,1,
469,2008,1,NA,Scatter,,66,0,0,0,1,5,5,1,
469,2009,1,9,Kay,Butcher,1352,1,1,1,0,6,6,1,
469,2009,1,11,Terry,Zander,1090,1,1,1,0,6,6,1,
469,2009,1,2,Ron,Patterson,656,0,0,1,0,6,6,1,
469,2009,1,14,Sandy,Orcutt,1281,1,0,0,0,6,6,1,
469,2009,1,NA,Scatter,,15,0,0,0,1,6,6,1,
469,2010,1,12,Jeff,Franscali,570,1,1,1,0,7,7,1,
469,2010,1,13,Kim,Sears-Hacker,640,1,1,1,0,7,7,1,
469,2010,1,NA,Scatter,,24,0,0,0,1,7,7,1,
469,2011,1,8,Sue,Beil,1399,1,1,1,0,8,8,1,
469,2011,1,3,Tom,Turk,1413,1,1,1,0,8,8,1,
469,2011,1,NA,Scatter,,37,0,0,0,1,8,8,1,
469,2012,2,15,Justine,Meyers,142,1,0,0,0,9,9,1,
469,2012,2,14,Sandy,Orcutt,343,1,1,1,0,9,9,1,
469,2012,2,16,Jessica,Jens,264,1,0,0,0,9,9,1,
469,2012,2,17,Jim,Schroeder,370,1,0,0,0,9,9,1,
469,2012,2,11,Terry,Zander,270,1,1,1,0,9,9,1,
469,2012,2,18,Aaron,Tigert,158,1,0,0,0,9,9,1,
469,2012,2,2,Ron,Patterson,86,0,0,1,1,9,9,1,
469,2012,2,NA,Scatter,,2,0,0,0,1,9,9,1,
469,2012,1,17,Jim,Schroeder,847,1,0,0,0,10,10,1,
469,2012,1,11,Terry,Zander,671,0,1,1,0,10,10,1,
469,2012,1,14,Sandy,Orcutt,696,1,1,1,0,10,10,1,
469,2012,1,16,Jessica,Jens,749,1,0,0,0,10,10,1,
469,2012,1,15,Justine,Meyers,296,0,0,0,0,10,10,1,
469,2012,1,18,Aaron,Tigert,381,0,0,0,0,10,10,1,
469,2012,1,NA,Scatter,,44,0,0,0,1,10,10,1,
