distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6734,2002,1,1,Douglas,Scheel,239,0,0,0,0,1,1,1,
6734,2002,1,2,Dan,Clarahan,361,1,0,0,0,1,1,1,
6734,2002,1,3,Jim,Schmidt,325,0,1,1,0,1,1,1,
6734,2002,1,4,Al,Micke,343,1,1,1,0,1,1,1,
6734,2002,1,5,Bill,Verbeten,333,0,0,0,0,1,1,1,
6734,2002,1,6,Dawn,Roder,413,1,1,1,0,1,1,1,
6734,2002,1,NA,Scatter,,6,0,0,0,1,1,1,1,
6734,2003,1,7,Jeff,Meulemans,605,1,1,1,0,2,2,1,
6734,2003,1,8,Jean,Micke,602,0,1,1,0,2,2,1,
6734,2003,1,9,Karmen,Lemke,813,1,0,0,0,2,2,1,
6734,2003,1,10,Patrick,Hanaway,577,0,0,0,0,2,2,1,
6734,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
6734,2004,1,11,Tom,Gerrits,466,1,1,1,0,3,3,1,
6734,2004,1,12,Scott,Nicholas,287,0,0,0,0,3,3,1,
6734,2004,1,13,Marlin,Pennenberg,343,1,1,1,0,3,3,1,
6734,2004,1,1,Douglas,Scheel,200,0,1,1,0,3,3,1,
6734,2004,1,NA,Scatter,,7,0,0,0,1,3,3,1,
6734,2005,1,14,Carolyn,Green,731,1,0,0,0,4,4,1,
6734,2005,1,8,Jean,Micke,627,1,1,1,0,4,4,1,
6734,2005,1,1,Douglas,Scheel,283,0,0,1,0,4,4,1,
6734,2005,1,12,Scott,Nicholas,390,0,0,1,0,4,4,1,
6734,2005,1,2,Dan,Clarahan,562,1,1,1,0,4,4,1,
6734,2005,1,NA,Scatter,,2,0,0,0,1,4,4,1,
6734,2006,1,15,Rick,Roundy,762,1,0,0,0,5,5,1,
6734,2006,1,1,Douglas,Scheel,495,0,0,1,0,5,5,1,
6734,2006,1,9,Karmen,Lemke,928,1,1,1,0,5,5,1,
6734,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
6734,2008,1,16,Lori,Adams,324,0,0,0,0,6,6,1,
6734,2008,1,14,Carolyn,Green,572,1,1,1,0,6,6,1,
6734,2008,1,15,Sara,Abel,403,0,0,0,0,6,6,1,
6734,2008,1,2,Dan,Clarahan,574,1,1,1,0,6,6,1,
6734,2008,1,16,Jean,Wall,595,1,0,0,0,6,6,1,
6734,2008,1,NA,Scatter,,4,0,0,0,1,6,6,1,
6734,2009,2,17,Michael,VanEperen,227,1,0,0,0,7,7,1,
6734,2009,2,15,Rick,Roundy,229,1,1,1,0,7,7,1,
6734,2009,2,18,Mary,Zuelke,53,0,0,0,1,7,7,1,
6734,2009,2,19,Chris,Trudell,61,0,0,0,1,7,7,1,
6734,2009,2,20,Judy,Lewis,142,1,0,0,0,7,7,1,
6734,2009,2,12,Scott,Nicholas,36,0,0,1,1,7,7,1,
6734,2009,2,21,John,Braeger,50,0,0,0,1,7,7,1,
6734,2009,2,22,Ken,Machlica,129,1,0,0,0,7,7,1,
6734,2009,2,NA,Scatter,,1,0,0,0,1,7,7,1,
6734,2009,1,22,Ken,Machlica,372,0,0,0,0,8,8,1,
6734,2009,1,15,Rick,Roundy,528,1,1,1,0,8,8,1,
6734,2009,1,20,Judy,Lewis,404,0,0,0,0,8,8,1,
6734,2009,1,17,Michael,VanEperen,560,1,0,0,0,8,8,1,
6734,2010,1,11,Tom,Gerrits,495,1,0,1,0,9,9,1,
6734,2010,1,23,Don,Schroeder,319,0,1,0,0,9,9,1,
6734,2010,1,24,Sarah,Kohler-Hock,360,1,0,0,0,9,9,1,
6734,2010,1,25,Mark,Baeten,17,0,0,0,1,9,9,1,
6734,2011,1,16,Jean,Wall,1051,1,1,1,0,10,10,1,
6734,2011,1,26,Jenny,Glodowski,620,0,0,0,0,10,10,1,
6734,2011,1,14,Carolyn,Green,841,1,1,1,0,10,10,1,
6734,2011,1,27,Mark,Berndt,585,0,0,0,0,10,10,1,
6734,2011,1,2,Dan,Clarahan,834,0,1,1,0,10,10,1,
6734,2011,1,28,Leslye,Erickson,543,0,0,0,0,10,10,1,
6734,2011,1,29,Tom,Eggert,11,0,0,0,1,10,10,1,
6734,2011,1,NA,Scatter,,4,0,0,0,1,10,10,1,
6734,2012,1,15,Rick,Roundy,867,1,1,1,0,11,11,1,
6734,2012,1,30,George,Buttke,674,0,0,0,0,11,11,1,
6734,2012,1,17,Michael,VanEperen,960,1,1,1,0,11,11,1,
6734,2012,1,29,Tom,Eggert,798,1,0,1,0,11,11,1,2 year term
6734,2012,1,NA,Scatter,,6,0,0,0,1,11,11,1,
