order	package	version	source	origin	sha256
1	abind	1.4-3	CRAN-Archive	colophon	b6c255878c1ab81701ae701f34546e88be115629b984ac4272e311fa3c0ea6ce
2	acepack	1.3-3.3	CRAN-Archive	dependency	3e2c3348a9657da2097e2fca18c7ebaebc44f3acd0491216bd5104edfd1e3e8f
3	apsrtable	0.9.1	GitHub	github:bb8fd457	380e9547b6ab8ac8cc6ccce01fdea087e75ed0f3064e44826af465493f4f73f6
4	assertthat	0.1	CRAN-Archive	dependency	1363645a9a128f615aa0641dc5f5c5abd960b1c38320492366dad1e7a5c29a37
5	BH	1.55.0-3	CRAN-Archive	dependency	7a4d9a38d96bf535b2868fa16ff4a2827cf46cf1f4a6f29e26045122ed5a7d5c
6	bitops	1.0-6	CRAN-Archive	dependency	9b731397b7166dd54941fb0d2eac6df60c7a483b2e790f7eb15b4d7b79c9d69c
7	boot	1.3-15	CRAN-Archive	dated	589bfbb7a43e8f9c01acae18579f1b1ae07174acd49ba5b03d43a0b5e0b6df5f
8	chron	2.3-45	CRAN-Archive	colophon	fdb636ecb967f3edec84c855a436da29232710d5268297cb807d85a8e3b26a4a
9	cluster	2.0.1	CRAN-Archive	dependency	4c948e0d86eb5a1d966663966ac877b1da8d4c95abd3b552e8672ee59bdf8226
10	codetools	0.2-11	CRAN-Archive	dependency	b02e8b17ea9173b73c20e84fbd36c420d5a79bb56a6b9d0d45c22a7d540f54d5
11	colorspace	1.2-6	CRAN-Archive	colophon	ba3165c5b906edadcd1c37cad0ef58f780b0af651f3fdeb49fbb2dc825251679
12	DBI	0.3.1	CRAN-Archive	dependency	1c26535720f146fae8cc9ef6e190619967abf296706a5b5a1e8242cbbb5a4576
13	dfoptim	2011.8-1	CRAN-Archive	colophon	1d33f7559955042643cd4ef1a8f0fec690c315c73ccb6cc59fbeaedc7a8140a6
14	dichromat	2.0-0	CRAN-Archive	dependency	31151eaf36f70bdc1172da5ff5088ee51cc0a3db4ead59c7c38c25316d580dd1
15	digest	0.6.8	CRAN-Archive	colophon	3062422c2ca917e52749464d63084a0d3cc061f59083f069280ec26336ce2f55
16	foreign	0.8-63	CRAN-Archive	colophon	62b985f48f54f00ded223868ac31975db7c3ed2084e47967620256961ba2b0bc
17	formatR	1.1	CRAN-Archive	colophon	e3c0d5373284a3ad96f497a0c87a3b3e4867899f723e57eaa7797abf8836ba5d
18	Formula	1.2-1	CRAN-Archive	dependency	5db1ef55119b299c9d291e1c5c08e2d51b696303daf4e7295c38ff5fc428360a
19	gridExtra	0.9.1	CRAN-Archive	colophon	1d0e7f10b2b35716d38dd71113ed247599f910922906f0097fc865ca0b2ff296
20	gtable	0.1.2	CRAN-Archive	colophon	b08ba8e62e0ce05e7a4c07ba3ffa67719161db62438b04f14343f8928d74304d
21	gtools	3.4.2	CRAN-Archive	dependency	ca641e31639a1ce5dc86e2a5c075306cd7a692239aeb1629dd58f57740741be8
22	highr	0.5	CRAN-Archive	dependency	de7e584e1dda73b39c81e5c2feaff8807892ab6ab23c9d6771e4e9326f59ca4a
23	iterators	1.0.7	CRAN-Archive	dependency	1bf74e5a5603b2b2d3deecb801ca1796e2b2c3f08c488c497725c5cb205798ff
24	KernSmooth	2.23-14	CRAN-Archive	dependency	60c295e97f267809050d03b67260732a1a1d9e4f08036fabf634d3c6ec1582b6
25	labeling	0.3	CRAN-Archive	colophon	0d8069eb48e91f6f6d6a9148f4e2dc5026cabead15dd15fc343eff9cf33f538f
26	lattice	0.20-31	CRAN-Archive	colophon	61bdd89b85979b68a0546ea6910cdc096939922f936b29cbd41ab51f5e1e75ac
27	lazyeval	0.1.10	CRAN-Archive	dependency	9063a02257776f00173d5171b7239ba1b28f613eefe42e49dfe8f8ea84bd0e0b
28	magrittr	1.5	CRAN-Archive	colophon	05c45943ada9443134caa0ab24db4a962b629f00b755ccf039a2a2a7b2c92ae8
29	MASS	7.3-40	CRAN-Archive	colophon	9e0c937162cb485511ce77c8519a21558370c20f3c6dc34493b895cb355cb516
30	mime	0.3	CRAN-Archive	dependency	b36faa83b5cddfbf53283322dbc1a42f2d306f04b7be0679591b2a86d04f2ec5
31	mnormt	1.5-2	CRAN-Archive	dependency	115deb7df86b1fd7826c70e8cfc5235476233777f0231e47fa2915e8fd91754c
32	mvtnorm	1.0-2	CRAN-Archive	dependency	acbfc455052e4cfcb587f085fcaf65f27d63cad1cac0d991dbe03c9162018a6c
33	nloptr	1.0.4	CRAN-Archive	colophon	84225b993cb1ef7854edda9629858662cc8592b0d1344baadea4177486ece1eb
34	nnet	7.3-9	CRAN-Archive	colophon	ef831c9edf66ac50565adca12daf8266474560e2c49c5688a187165e468434fc
35	numDeriv	2012.9-1	CRAN-Archive	colophon	691ae4e19314a27a86120ef1d0b384b910d06bdb07fd6a4a29f8b6c683024027
36	polspline	1.1.9	CRAN-Archive	dependency	46484fb6eb85f9dbfb14f9c9f14c80a99312e30c89acf8c3a47a1477396c08d8
37	proto	0.3-10	CRAN-Archive	colophon	d0d941bfbf247879b3510c8ef3e35853b1fbe83ff3ce952e93d3f8244afcbb0e
38	quadprog	1.5-5	CRAN-Archive	colophon	d999620688354c283de5bb305203f5db70271b4dfdc23577cae8c2ba94c9e349
39	R6	2.0.1	CRAN-Archive	dependency	c5ca00e55f27679cb80c52abddfce812fd240ec41160838f01520d0c281cf559
40	RColorBrewer	1.1-2	CRAN-Archive	colophon	f3e9781e84e114b7a88eb099825936cc5ae7276bbba5af94d35adb1b3ea2ccdd
41	Rcpp	0.11.5	CRAN-Archive	colophon	49f7542c41b7fc7bbb94aff158df0cdbf9c777fb60977f89df1044e16cbead6e
42	rpart	4.1-9	CRAN-Archive	dependency	612a7c7d5e251321627e01c9e8fa05df0f98b129b957518d9195dcfaa8d21f81
43	setRNG	2013.9-1	CRAN-Archive	colophon	1a1a399682a06a5fea3934985ebb1334005676c6a2a22d06f3c91c3923432908
44	SparseM	1.6	CRAN-Archive	colophon	335cd3f9c7ff92565579c2ed78cc405b2cc99ddb2749c87b2a222032aad52689
45	stringi	0.4-1	CRAN-Archive	colophon	d22e9237ca685f35465503f29efdd5aeb5b7091491204aa0db69e65d592a2f06
46	stringr	0.6.2	CRAN-Archive	colophon	c3fc9c71d060ad592d2cfc51c36ab2f8e5f8cf9a25dfe42c637447dd416b6737
47	survival	2.38-1	CRAN-Archive	dependency	f5b90925b7f4fd23ba99fb44b713ffe3b6768bfe7cb81037b9f0d615a051004f
48	svUnit	0.7-12	CRAN-Archive	colophon	c565fd238bc1a889f874a2749c5da0eaa8af2e18af801ea65d9f8c3da4cf319a
49	TH.data	1.0-6	CRAN-Archive	dependency	f5e91e7c6d3b6051a81d79e5cd479d32bf623cd58774b84fec5bd02029faa6cf
50	ucminf	1.1-3	CRAN-Archive	colophon	7bfcd265e006fbac5af1d9fecfc7112687b86900490b07f7532dc32cc65ff5a5
51	xtable	1.7-4	CRAN-Archive	colophon	47629a31185591be30b13ae3a656fc24360760996975e292f4fa7954c0257dbb
52	BB	2014.10-1	CRAN-Archive	colophon	a09f67e3a6ef36db660e4dc92832dfad4a7591ae9fadc2a265c8770ffb1e2fd2
53	caTools	1.17.1	CRAN-Archive	dependency	d32a73febf00930355cc00f3e4e71357412e0f163faae6a4bf7f552cacfe9af4
54	coda	0.17-1	CRAN-Archive	colophon	ce88bc0e8d47c35aba3ae63d5644a9eb6158df39c532dd8089b19bd889c35ae2
