distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
7,2004,1,1,John,Peissig,360,1,1,1,0,1,1,1,
7,2004,1,2,Scott,Nelson,388,1,1,1,0,1,1,1,
7,2005,1,3,Donald ,Medenwaldt,635,1,1,1,0,2,2,1,
7,2005,1,4,Laverne,Harrison,566,1,0,0,0,2,2,1,
7,2006,1,5,Timothy,Kramas,275,1,1,1,0,3,3,1,
7,2006,1,6,Thomas,Archambo,333,1,1,1,0,3,3,1,
7,2006,1,7,Eric,Reis,375,1,1,1,0,3,3,1,
7,2007,1,2,Scott,Nelson,545,1,1,1,0,4,4,1,
7,2007,1,8,Rachel,Schreiber,405,1,0,0,0,4,4,1,
7,2007,1,9,Sandra,Busse,391,0,0,0,0,4,4,1,
7,2008,1,3,Donald ,Medenwaldt,328,1,1,1,0,5,5,1,
7,2008,1,4,Laverne,Harrison,310,1,1,1,0,5,5,1,
7,2009,1,5,Timothy,Kramas,420,1,1,1,0,6,6,1,
7,2009,1,7,Eric,Reis,547,1,1,1,0,6,6,1,
7,2009,1,6,Thomas,Archambo,465,1,1,1,0,6,6,1,
7,2010,1,8,Rachel,Schreiber,214,1,1,1,0,7,7,1,
7,2010,1,2,Scott,Nelson,241,1,1,1,0,7,7,1,
7,2010,1,10,Andy,Baldus,267,1,0,0,0,7,7,1,
7,2011,1,11,Darla,Viegut,446,1,0,0,0,8,8,1,
7,2011,1,3,Donald ,Medenwaldt,411,1,1,1,0,8,8,1,
7,2012,1,7,Eric,Reis,438,1,1,1,0,9,9,1,
7,2012,1,12,Natalyn,Belanger,377,1,0,0,0,9,9,1,
7,2012,1,13,Shanna,Hackel,277,1,0,0,0,9,9,1,
