distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
70,2001,1,7,,Glueckert,673,1,0,0,0,1a,1,0,
70,2001,1,8,Barabara,Rodgers,690,1,0,0,0,1a,1,0,
70,2001,1,NA,Scatter,,6,0,0,0,1,1a,1,0,
70,2001,1,NA,Scatter,,2,0,0,0,1,1b,2,0,
70,2001,1,9,,Massey,758,1,0,0,0,1b,2,0,
70,2003,1,1,Ralph,Elsholz,631,1,0,0,0,2a,3,0,
70,2003,1,2,Betty,Delveaux,462,0,0,0,0,2a,3,0,
70,2003,1,3,Jill,Prokash,502,0,1,1,0,2a,3,0,
70,2003,1,4,Pat,Qualman,863,1,0,0,0,2a,3,0,
70,2003,1,NA,Scatter,,3,0,0,0,1,2a,3,0,
70,2003,1,6,Pat,Robinson,680,1,0,0,0,2b,4,0,
70,2003,1,NA,Scatter,,4,0,0,0,1,2b,4,0,
70,2003,1,5,Larry,Kirchman,592,0,0,0,0,2b,4,0,
70,2004,1,8,Barabara,Rodgers,506,1,1,1,0,3a,5,0,
70,2004,1,7,,Glueckert,96,1,1,1,1,3a,5,0,
70,2004,1,NA,Scatter,,33,0,0,0,1,3a,5,0,
70,2005,1,10,David,Wessel,298,1,1,1,0,4b,6,0,
70,2005,1,11,Priscilla,Swoboda,288,1,1,1,0,4b,6,0,
70,2005,1,12,Charles,Swoboda,279,1,0,0,0,4b,6,0,
70,2005,1,NA,Scatter,,49,0,0,0,1,4b,6,0,
70,2006,1,4,Patricia,Qualman,905,1,1,1,0,5a,7,0,
70,2006,1,14,Daniel,Polecheck,802,1,0,0,0,5a,7,0,
70,2006,1,15,Dean,Tenor,267,1,0,0,0,5a,7,0,
70,2006,1,NA,Scatter,,24,0,0,0,1,5a,7,0,
70,2006,1,16,Todd,Lohenry,172,0,0,0,0,5a,7,0,
70,2006,1,17,Ann,Schmitz,1070,1,0,0,0,5b,8,0,
70,2006,1,NA,Scatter,,13,0,0,0,1,5b,8,0,
70,2007,1,8,Barabara,Rodgers,387,1,1,1,0,6a,9,0,
70,2007,1,15,Dean,Tenor,389,1,1,1,0,6a,9,0,
70,2007,1,NA,Scatter,,5,0,0,0,1,6a,9,0,
70,2008,1,10,David,Wessel,416,1,1,1,0,7b,10,0,
70,2008,1,11,Priscilla,Swoboda,412,1,1,1,0,7b,10,0,
70,2008,1,NA,Scatter,,9,0,0,0,1,7b,10,0,
70,2009,1,14,Daniel,Polecheck,387,1,1,1,1,8a,11,0,
70,2009,1,4,Patricia,Qualman,397,1,1,1,1,8a,11,0,
70,2009,1,17,Ann,Schmitz,398,1,1,1,1,8b,12,0,
70,2009,1,NA,Scatter,,16,0,0,0,0,8b,12,0,
70,2010,1,8,Barabara,Rodgers,195,1,1,1,0,9a,13,0,
70,2010,1,15,Dean,Tenor,185,1,1,1,0,9a,13,0,
70,2010,1,NA,Scatter,,3,0,0,0,1,9a,13,0,
70,2011,1,10,David,Wessel,791,1,1,1,0,10b,14,0,
70,2011,1,11,Priscilla,Swoboda,782,1,1,1,0,10b,14,0,
70,2011,1,NA,Scatter,,34,0,0,0,1,10b,14,0,
70,2012,1,18,Lori,Irsay,237,0,0,0,0,11a,15,0,
70,2012,1,19,Eric,Pieschek,726,1,0,0,0,11a,15,0,
70,2012,1,4,Patricia,Qualman,723,1,1,1,0,11a,15,0,
70,2012,1,17,Ann,Schmitz,985,1,1,1,0,11b,16,0,
70,2012,1,NA,Scatter,,20,0,0,0,1,11b,16,0,
