distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
91,2002,1,1,,Ransom,472,1,0,0,0,1,1,1,
91,2002,1,2,,Jacobson,512,1,0,0,0,1,1,1,
91,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
91,2003,1,3,,Boynton,406,1,1,1,0,2,2,1,
91,2003,1,4,,Scholze,437,1,1,1,0,2,2,1,
91,2003,1,NA,Scatter,,13,0,0,0,1,2,2,1,
91,2004,1,5,,Sheffer,366,1,1,1,0,3,3,1,
91,2004,1,6,,Downer,398,1,0,0,0,3,3,1,
91,2004,1,7,,Forsting,387,1,1,1,0,3,3,1,
91,2004,1,NA,Scatter,,10,0,0,0,1,3,3,1,
91,2005,1,8,,Hanson,374,0,0,0,0,4,4,1,
91,2005,1,1,,Ransom,378,1,1,1,0,4,4,1,
91,2005,1,2,,Jacobson,398,1,1,1,0,4,4,1,
91,2005,1,NA,Scatter,,8,0,0,0,1,4,4,1,
91,2006,1,3,,Boynton,297,1,1,1,0,5,5,1,
91,2006,1,8,,Hanson,339,1,0,1,0,5,5,1,
91,2006,1,NA,Scatter,,13,0,0,0,1,5,5,1,
91,2007,1,5,,Sheffer,421,1,1,1,0,6,6,1,
91,2007,1,9,,Jahn,378,0,0,0,0,6,6,1,
91,2007,1,7,,Forsting,516,1,1,1,0,6,6,1,
91,2007,1,10,,Wright,394,1,1,1,0,6,6,1,
91,2007,1,NA,Scatter,,28,0,0,0,1,6,6,1,
91,2008,1,11,,Larson,432,1,0,0,0,7,7,1,
91,2008,1,12,,Olson,407,1,0,0,0,7,7,1,
91,2008,1,13,,Lien,363,0,0,0,0,7,7,1,
91,2008,1,14,,Aldach,370,0,0,0,0,7,7,1,
91,2009,1,15,,Simmons,278,0,0,0,0,8,8,1,
91,2009,1,8,,Hanson,353,1,1,1,0,8,8,1,
91,2009,1,13,,Lien,304,1,0,1,0,8,8,1,
91,2009,1,16,,Austin,150,0,0,0,0,8,8,1,
91,2010,1,7,,Forsting,369,1,1,1,0,9,9,1,
91,2010,1,10,,Wright,332,1,1,1,0,9,9,1,
91,2010,1,14,,Aldach,217,0,0,1,0,9,9,1,
91,2010,1,15,,Simmons,301,1,0,1,0,9,9,1,
91,2010,1,NA,Scatter,,4,0,0,0,1,9,9,1,
91,2011,1,16,,Gile,393,0,0,0,0,10,10,1,
91,2011,1,11,,Larson,423,1,1,1,0,10,10,1,
91,2011,1,12,,Olson,428,1,1,1,0,10,10,1,
91,2011,1,17,,Schufletowski,109,0,0,0,0,10,10,1,
91,2011,1,18,,Fisher,21,0,0,0,1,10,10,1,
91,2011,1,NA,Scatter,,2,0,0,0,1,10,10,1,
91,2012,1,17,,Schufletowski,393,1,0,1,0,11,11,1,
91,2012,1,19,,Stubrud,340,1,0,0,0,11,11,1,
91,2012,1,13,,Lien,284,0,1,1,0,11,11,1,
91,2012,1,NA,Scatter,,11,0,0,0,1,11,11,1,
