distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
105,2009,1,1,Roy,Danforth,263,1,1,1,0,1,1,1,
105,2009,1,2,Debbie,Bradley,257,1,1,1,0,1,1,1,
105,2009,1,NA,Scatter,,1,0,0,0,1,1,1,1,
105,2010,1,3,Jeanetter,Wilson,212,1,1,1,0,2,2,1,
105,2010,1,4,Catherine,Guth,230,1,1,1,0,2,2,1,
105,2010,1,NA,Scatter,,6,0,0,0,1,2,2,1,
105,2011,1,5,Gary,Smith,471,0,0,1,0,3,3,1,
105,2011,1,6,Charles,Dernbach,476,1,1,1,0,3,3,1,
105,2011,1,7,Carol,Ellie,426,0,0,1,0,3,3,1,
105,2011,1,NA,Scatter,,6,0,0,0,1,3,3,1,
105,2012,1,1,Roy,Danforth,326,1,1,1,0,4,4,1,
105,2012,1,2,Debbie,Bradley,312,1,1,1,0,4,4,1,
105,2012,1,NA,Scatter,,10,0,0,0,1,4,4,1,
