distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,race ID,Area ID,districtwide,notes
119,2003,1,1,David,Duxbury,1395,1,1,1,0,1,1,1,
119,2003,1,2,Sidney,Bjorkman,1328,1,0,0,0,1,1,1,
119,2003,1,NA,Scatter,,89,0,0,0,0,1,1,1,
119,2004,1,3,Jane,Johnson,725,1,0,0,0,2,2,1,
119,2004,1,4,Dale,Johnson,633,1,0,0,0,2,2,1,
119,2004,1,NA,Scatter,,12,0,0,0,0,2,2,1,
119,2005,1,12,John,Northway,1999,1,1,1,0,3,3,1,
119,2005,1,NA,Scatter,,182,0,0,0,1,3,3,1,
119,2007,1,3,Jane,Johnson,1875,1,1,1,0,4,4,1,
119,2007,1,4,Dale,Johnson,1888,1,1,1,0,4,4,1,
119,2007,1,NA,Scatter,,14,0,0,0,1,4,4,1,
119,2008,1,5,Peggy,Green,427,1,0,0,0,5,5,1,
119,2008,1,6,Keith,Anderson,767,1,0,0,0,5,5,1,
119,2008,1,NA,Scatter,,15,0,0,0,1,5,5,1,
119,2009,1,7,Darren,Van Blaricom,830,1,0,0,0,6,6,1,
119,2009,1,8,Lynn,Blomstrand,579,1,0,0,0,6,6,1,
119,2009,1,9,Scott,Iverson,383,0,0,0,0,6,6,1,
119,2009,1,10,Fritz,Coulter,357,0,0,0,0,6,6,1,
119,2009,1,NA,Scatter,,3,0,0,0,1,6,6,1,
119,2010,1,4,Dale,Johnson,697,1,1,1,0,7,7,1,
119,2010,1,11,Thomas,Bossany,264,0,0,0,0,7,7,1,
119,2010,1,10,Fritz,Coulter,316,0,0,1,0,7,7,1,
119,2010,1,3,Jane,Johnson,709,1,1,1,0,7,7,1,
119,2010,1,NA,Scatter,,2,0,0,0,1,7,7,1,
119,2011,1,10,Fritz,Coulter,505,0,0,1,0,8,8,1,
119,2011,1,6,Keith,Anderson,1367,1,1,1,0,8,8,1,
119,2011,1,NA,Scatter,,7,0,0,0,1,8,8,1,
119,2012,1,10,Fritz,Coulter,733,0,0,1,0,9,9,1,
119,2012,1,7,Darren,Van Blaricom,1250,1,1,1,0,9,9,1,
119,2012,1,8,Lynn,Blomstrand,1075,1,1,1,0,9,9,1,
119,2012,1,NA,Scatter,,18,0,0,0,1,9,9,1,
