distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
140,2002,1,1,Joe,Schroeder,2221,1,0,0,0,1,1,1,
140,2002,1,2,Rod,Ostrowski,2115,1,0,0,0,1,1,1,
140,2002,1,3,Bob,Barrington,1888,1,0,0,0,1,1,1,
140,2002,1,4,Terry,Brand,1837,1,0,0,0,1,1,1,
140,2002,1,36,Ben,Eder,1669,0,0,0,0,1,1,1,
140,2003,1,6,Gary,Kieper,2298,1,1,1,0,2,2,1,
140,2003,1,7,Gary,Hegranes,2111,1,1,1,0,2,2,1,
140,2003,1,8,Larry,Brunzlick,2059,1,0,0,0,2,2,1,
140,2003,1,4,Terry,Brand,1963,0,1,1,0,2,2,1,
140,2003,1,9,Gary,Hohensee,1810,0,0,0,0,2,2,1,
140,2003,1,10,Jay,Sloan,1532,0,0,0,0,2,2,1,
140,2004,1,11,Roseann,Hoffman,1364,1,0,0,0,3,3,1,
140,2004,1,12,Paul,Bauer,1265,1,0,0,0,3,3,1,
140,2004,1,13,Laura,Waldvogel,1232,1,0,0,0,3,3,1,
140,2004,1,14,Richard,Parilek,1194,1,0,0,0,3,3,1,
140,2004,1,15,Beth,Bockes,1073,0,0,0,0,3,3,1,
140,2004,1,16,Marsha,Mattek,1068,0,0,0,0,3,3,1,
140,2004,1,9,Gary,Hohensee,816,0,0,1,0,3,3,1,
140,2004,1,10,Jay,Sloan,757,0,0,1,0,3,3,1,
140,2005,1,1,Joe,Schroeder,2859,1,1,1,0,4,4,1,
140,2005,1,15,Beth,Bockes,2682,1,0,1,0,4,4,1,
140,2005,1,17,Jerry,Rice,107,0,0,0,0,4,4,1,
140,2005,1,18,Michele,Marshall,63,0,0,0,0,4,4,1,
140,2005,1,33,Ann,Peck,35,0,0,0,0,4,4,1,
140,2005,1,34,Mike,Schilcher,32,0,0,0,0,4,4,1,
140,2006,1,18,Michele,Marshall,1524,1,0,1,0,5,5,1,
140,2006,1,8,Larry,Brunzlick,1436,1,1,1,0,5,5,1,
140,2006,1,6,Gary,Kieper,1422,1,1,1,0,5,5,1,
140,2006,1,7,Gary,Hegranes,1393,1,1,1,0,5,5,1,
140,2007,1,19,John,Zupon,2617,1,0,0,0,6,6,1,
140,2007,1,11,Roseann,Hoffman,2396,1,1,1,0,6,6,1,
140,2007,1,20,Sally,Clark,2319,0,0,0,0,6,6,1,
140,2007,1,12,Paul,Bauer,2020,0,1,1,0,6,6,1,
140,2008,1,21,Mark,Resch,2034,1,0,0,0,7,7,1,
140,2008,1,22,Joseph,Kretz,1845,1,0,0,0,7,7,1,
140,2008,1,1,Joe,Schroeder,1790,1,0,1,0,7,7,1,
140,2008,1,7,Gary,Hegranes,1689,1,1,1,0,7,7,1,
140,2008,1,15,Beth,Bockes,1679,1,1,1,0,7,7,1,
140,2008,1,23,Trevor,McCarthy,1613,0,0,0,0,7,7,1,
140,2008,1,24,Jesse,Arndt,1523,0,0,0,0,7,7,1,
140,2008,1,25,Donna,Fosterling,1355,0,0,0,0,7,7,1,
140,2009,1,26,Michael,Boldig,2017,1,0,0,0,8,8,1,
140,2009,1,7,Gary,Hegranes,2009,1,1,1,0,8,8,1,
140,2009,1,6,Gary,Kieper,1958,1,1,1,0,8,8,1,
140,2009,1,27,Philip,Beck,1669,1,0,0,0,8,8,1,
140,2010,1,28,Todd,Flannery,883,0,0,0,0,9,9,1,
140,2010,1,11,Roseann,Hoffman,1029,1,1,1,0,9,9,1,
140,2010,1,29,Andy,Merry,1224,1,0,0,0,9,9,1,
140,2010,1,20,Sally,Clark,976,0,0,1,0,9,9,1,
140,2011,1,22,Joseph,Kretz,2560,1,1,1,0,10,10,1,
140,2011,1,30,Miles,Stanke,2432,1,0,0,0,10,10,1,
140,2011,1,15,Beth,Bockes,2404,1,1,1,0,10,10,1,
140,2011,1,34,Dave,Wentland,172,0,0,0,0,10,10,1,
140,2012,1,31,Gary,Jaje,1921,1,0,0,0,11,11,1,
140,2012,1,26,Michael,Boldig,1886,1,1,1,0,11,11,1,
140,2012,1,32,Karl,Niedermann,1796,0,0,0,0,11,11,1,
140,2012,1,7,Gary,Hegranes,1685,0,0,1,0,11,11,1,
