distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,Districtwide,notes
182,2002,1,1,Ron,Nickolai,198,0,0,0,0,1,1,1,
182,2002,1,2,Jay,Van Laanen,803,0,0,0,0,1,1,1,
182,2002,1,3,Mike,Aubinger,1147,1,0,0,0,1,1,1,
182,2002,1,4,Mark,Williams,911,1,0,0,0,1,1,1,
182,2002,1,NA,Scatter,,9,0,0,0,1,1,1,1,
182,2003,1,5,Jean,Taylor,2001,0,0,0,0,2,2,1,
182,2003,1,2,Jay,Van Lanen,2219,1,0,1,0,2,2,1,
182,2003,1,NA,Scatter,,8,0,0,0,1,2,2,1,
182,2004,1,6,Bob,Crowley,1415,1,1,1,0,3,3,1,
182,2004,1,7,Jean,McNicoll Taylor,1174,0,0,0,0,3,3,1,
182,2004,1,8,Ginny,Laukka,1257,1,1,1,0,3,3,1,
182,2004,1,NA,Scatter,,10,0,0,0,1,3,3,1,
182,2005,1,3,Mike,Aubinger,952,1,1,1,0,4,4,1,
182,2005,1,4,Mark,Williams,916,1,1,1,0,4,4,1,
182,2005,1,NA,Scatter,,5,0,0,0,1,4,4,1,
182,2006,1,2,Jay,Van Laanen,2163,1,1,1,0,5,5,1,
182,2006,1,NA,Scatter,,27,0,0,0,1,5,5,1,
182,2007,1,6,Bob,Crowley,1591,1,1,1,0,6,6,1,
182,2007,1,8,Ginny,Laukka,1411,1,1,1,0,6,6,1,
182,2007,1,9,Tammy,Zittlow,967,0,0,0,0,6,6,1,
182,2007,1,NA,Scatter,,9,0,0,0,1,6,6,1,
182,2008,1,3,Mike,Aubinger,1200,1,1,1,0,7,7,1,
182,2008,1,4,Mark,Williams,1188,1,1,1,0,7,7,1,
182,2008,1,NA,Scatter,,9,0,0,0,1,7,7,1,
182,2009,1,2,Jay,Van Laanen,1993,1,1,1,0,8,8,1,
182,2009,1,10,Robert,Lotto,708,0,0,0,0,8,8,1,
182,2009,1,NA,Scatter,,4,0,0,0,1,8,8,1,
182,2010,1,11,Karen,Brown-Schaible,346,0,0,0,0,9,9,1,
182,2010,1,10,Robert,Lotto,267,0,0,1,0,9,9,1,
182,2010,1,8,Ginny,Laukka,585,1,1,1,0,9,9,1,
182,2010,1,12,Barbara,Halron,571,1,0,0,0,9,9,1,
182,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
182,2011,1,13,Brian,VanDeKreeke,1947,1,0,0,0,10,10,1,
182,2011,1,4,Mark,Williams,2627,1,1,1,0,10,10,1,
182,2011,1,NA,Scatter,,32,0,0,0,1,10,10,1,
182,2012,1,2,Jay,Van Laanen,2179,1,1,1,0,11,11,1,
182,2012,1,NA,Scatter,,19,0,0,0,1,11,11,1,
