distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
203,2002,1,1,Susan,Raab,267,1,0,0,0,1,1,1,
203,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
203,2003,1,2,Jim,Castellano,611,1,0,0,0,2,2,1,
203,2003,1,3,Marleen,Knutson,753,1,0,0,0,2,2,1,
203,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
203,2004,1,4,Douglas,Reding,211,1,0,0,0,3,3,1,
203,2004,1,5,Marilyn,Follen,233,1,1,1,0,3,3,1,
203,2004,1,NA,Scatter,,2,0,0,0,1,3,3,1,
203,2005,1,6,Michael,Hansen,428,0,0,0,0,4,4,1,
203,2005,1,7,Terri,Hamus,465,1,0,0,0,4,4,1,This is 1 year term
203,2005,1,1,Susan,Raab,551,1,1,1,0,4,4,1,
203,2006,1,7,Terri,Hamus,288,0,1,1,0,5,5,1,
203,2006,1,3,Marleen,Knutson,432,1,1,1,0,5,5,1,
203,2006,1,8,Bob,Haupt,336,1,0,0,0,5,5,1,This is 1 year term
203,2006,1,9,Randy,Breu,305,0,0,0,0,5,5,1,
203,2006,1,6,Michael,Hansen,336,1,0,1,0,5,5,1,
203,2006,1,NA,Scatter,,6,0,0,0,1,5,5,1,
203,2007,1,8,Bob,Haupt,477,1,1,1,0,6,6,1,
203,2007,1,4,Douglas,Reding,588,1,1,1,0,6,6,1,
203,2007,1,7,Terri,Hamus,353,0,0,1,0,6,6,1,
203,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
203,2008,1,10,Cheri,Dimick,505,1,0,0,0,7,7,1,
203,2008,1,NA,Scatter,,4,0,0,0,1,7,7,1,
203,2009,1,6,Michael,Hansen,489,1,1,1,0,8,8,1,
203,2009,1,3,Marleen,Knutson,545,1,1,1,0,8,8,1,
203,2009,1,NA,Scatter,,15,0,0,0,1,8,8,1,
203,2010,1,8,Bob,Haupt,197,1,1,1,0,9,9,1,
203,2010,1,4,Douglas,Reding,189,1,1,1,0,9,9,1,
203,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
203,2011,1,10,Cheri,Dimick,614,1,1,1,0,10,10,1,
203,2011,1,11,Karmin,Bolder,544,0,0,0,0,10,10,1,
203,2011,1,NA,Scatter,,1,0,0,0,1,10,10,1,
203,2012,1,3,Marleen,Knutson,481,1,1,1,0,11,11,1,
203,2012,1,11,Karmin,Bolder,393,1,0,1,0,11,11,1,
203,2012,1,NA,Scatter,,29,0,0,0,1,11,11,1,
