distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,Districtwide,notes
217,2002,1,1,Brian,Kellett,184,1,0,0,0,1,1,1,
217,2002,1,2,Roger,Hahn,149,0,0,0,0,1,1,1,
217,2002,1,3,Susan,Setzer,201,1,0,0,0,1,1,1,
217,2003,1,4,Steve,Arndt,599,1,0,0,0,2,2,1,
217,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
217,2004,1,5,James,Beesley,300,0,0,0,0,3,3,1,
217,2004,1,6,Robert,Geiger,398,1,1,1,0,3,3,1,
217,2004,1,7,Tom,Pieper,305,1,0,0,0,3,3,1,
217,2005,1,1,Brian,Kellett,195,0,1,1,0,4,4,1,
217,2005,1,3,Susan,Setzer,313,1,1,1,0,4,4,1,
217,2005,1,8,Leann,Street,174,0,0,0,0,4,4,1,
217,2005,1,9,Bernard,Buttke,247,1,0,0,0,4,4,1,
217,2006,1,10,Judy,Dorf,184,0,0,0,0,5,5,1,
217,2006,1,4,Steve,Arndt,424,1,1,1,0,5,5,1,
217,2007,2,11,Ken,Stahl,200,1,0,0,0,6,6,1,
217,2007,2,1,Brian,Kellett,91,0,0,1,0,6,6,1,
217,2007,2,10,Judy,Dorf,127,0,0,1,0,6,6,1,
217,2007,2,6,Robert,Geiger,88,0,1,1,0,6,6,1,
217,2007,2,12,Byron,King,143,1,0,0,0,6,6,1,
217,2007,1,11,Ken,Stahl,607,1,0,0,0,7,7,1,
217,2007,1,10,Judy,Dorf,262,0,0,1,0,7,7,1,
217,2007,1,12,Byron,King,500,1,0,0,0,7,7,1,
217,2007,1,1,Brian,Kellett,222,0,0,1,0,7,7,1,
217,2008,1,13,Joe,Smith,376,1,0,0,0,8,8,1,
217,2008,1,9,Bernard,Buttke,297,1,1,1,0,8,8,1,
217,2008,1,1,Brian,Kellett,198,0,0,1,0,8,8,1,
217,2009,1,14,Matthew,Guse,353,1,0,0,0,9,9,1,
217,2009,1,15,Stacey,Leslin,254,0,0,0,0,9,9,1,
217,2009,2,6,Robert,Geiger,45,0,0,1,0,10,10,1,
217,2009,2,15,Stacey,Leslin,69,0,0,0,0,10,10,1,
217,2009,2,14,Matthew,Guse,91,1,0,0,0,10,10,1,
217,2010,1,11,Ken,Stahl,326,0,1,1,0,11,11,1,
217,2010,1,12,Byron,King,377,1,1,1,0,11,11,1,
217,2010,1,16,Carol,Peuse,352,1,0,0,0,11,11,1,
217,2011,1,17,Dudley,Smith,672,1,0,0,0,12,12,1,
217,2011,1,9,Bernard,Buttke,578,1,1,1,0,12,12,1,
217,2012,1,14,Matthew,Guse,387,1,1,1,0,13,13,1,
