distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
245,2002,1,1,Curtis,Pierce,211,1,1,1,0,1,1,0,
245,2002,1,2,Thomas,Arentz,223,1,1,1,0,2,2,0,
245,2002,1,NA,Scatter,,4,0,0,0,1,2,2,0,
245,2003,1,3,Patty,Gjertsen,437,1,1,1,0,3,3,0,
245,2003,1,4,Tom,O'Heron,413,0,0,0,0,3,3,0,
245,2003,1,5,Pam,Semb,370,0,1,1,0,4,4,0,
245,2003,1,6,Marcie,Berger,380,1,0,0,0,4,4,0,
245,2003,1,NA,Scatter,,2,0,0,0,1,4,4,0,
245,2004,1,7,David,Vetrano,234,1,1,1,0,5,5,0,
245,2004,1,8,Rodney,Hundt,249,1,1,1,0,6,6,0,
245,2004,1,9,Laurie,Olson,241,1,1,1,0,7,7,1,
245,2004,1,NA,Scatter,,11,0,0,0,1,7,7,1,
245,2005,1,1,Curtis,Pierce,669,1,1,1,0,8,8,0,
245,2005,1,2,Thomas,Arentz,658,1,1,1,0,9,9,0,
245,2005,1,NA,Scatter,,10,0,0,0,1,9,9,0,
245,2006,1,10,Scott,Riley,318,1,0,0,0,10,10,0,
245,2006,1,6,Marcie,Berger,293,1,1,1,0,11,11,0,
245,2006,1,NA,Scatter,,10,0,0,0,1,11,11,0,
245,2007,1,7,David,Vetrano,718,1,1,1,0,12,12,0,
245,2007,1,8,Rodney,Hundt,735,1,1,1,0,13,13,0,
245,2007,1,11,Paul,Wuensch,610,1,0,0,0,14,14,1,
245,2007,1,9,Laurie,Olson,184,0,1,1,0,14,14,1,
245,2007,1,NA,Scatter,,2,0,0,0,1,14,14,1,
245,2008,1,12,Julie,Meyers,334,1,0,0,0,15,15,0,
245,2008,1,2,Thomas,Arentz,336,1,1,1,0,16,16,0,
245,2008,1,NA,Scatter,,5,0,0,0,1,16,16,0,
245,2009,1,10,Scott,Riley,646,1,1,1,0,17,17,0,
245,2009,1,13,Ole,Mathison,634,1,0,0,0,18,18,0,
245,2009,1,NA,Scatter,,17,0,0,0,1,18,18,0,
245,2010,1,7,David,Vetrano,351,1,1,1,0,19,19,0,
245,2010,1,8,Rodney,Hundt,357,1,1,1,0,20,20,0,
245,2010,1,11,Paul,Wuensch,368,1,1,1,0,21,21,1,
245,2010,1,NA,Scatter,,7,0,0,0,1,21,21,1,
245,2011,1,12,Julie,Meyers,828,1,1,1,0,22,22,0,
245,2011,1,14,Tom,Bramschreiber,296,0,0,0,0,22,22,0,
245,2011,1,2,Thomas,Arentz,955,1,1,1,0,23,23,1,
245,2011,1,NA,Scatter,,8,0,0,0,1,23,23,1,
245,2012,1,10,Scott,Riley,410,1,1,1,0,25,25,0,
245,2012,1,15,John,McCue,225,0,0,0,0,25,25,0,
245,2012,1,13,Ole,Mathison,261,0,1,1,0,26,26,0,
245,2012,1,16,Lori,Horstman,390,1,0,0,0,26,26,0,
245,2012,1,NA,Scatter,,3,0,0,0,1,26,26,0,
