distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
280,2002,1,1,Manny,Bolz,1081,1,0,0,0,1,1,1,
280,2002,1,2,Mary Anne,Stewart,977,1,0,0,0,1,1,1,
280,2002,1,3,Allegra,Zick,941,1,0,0,0,1,1,1,
280,2002,1,NA,Scatter,,21,0,0,0,1,1,1,1,
280,2003,1,4,James,Quandt,1549,1,1,1,0,2,2,1,
280,2003,1,5,Patricia,Spragg,1392,1,1,1,0,2,2,1,
280,2004,2,6,Bruce,Boyd,1024,1,0,0,0,3,3,1,
280,2004,2,7,Gregory,McCulloch,453,0,0,0,0,3,3,1,
280,2004,2,8,Carl,Jacobsen,191,0,0,0,0,3,3,1,
280,2004,2,9,Judd,Maxwell,1330,1,0,0,0,3,3,1,
280,2004,2,10,Penny,Johnson,1420,1,0,0,0,3,3,1,
280,2004,2,11,Kevin,Vodak,1782,1,1,1,0,3,3,1,
280,2004,1,11,Kevin,Vodak,1687,1,1,1,0,4,4,1,
280,2004,1,9,Judd,Maxwell,1716,1,0,0,0,4,4,1,
280,2004,1,6,Bruce,Boyd,944,0,0,0,0,4,4,1,
280,2004,1,8,Carl,Johnson,1247,0,0,0,0,4,4,1,
280,2005,1,12,Jill,Ellinwood,1353,1,0,0,0,5,5,1,
280,2005,1,2,Mary Anne,Stewart,1282,1,1,1,0,5,5,1,
280,2005,1,13,Gary,Cummings,1281,1,0,0,0,5,5,1,
280,2005,1,1,Manny,Bolz,1252,0,1,1,0,5,5,1,
280,2005,1,3,Allegra,Zick,901,0,1,1,0,5,5,1,
280,2006,1,14,Kevin,Bartol,2524,1,0,0,0,6,6,1,
280,2006,1,5,Patricia,Spragg,2807,1,1,1,0,6,6,1,
280,2006,1,15,Doug,Mering,2499,0,0,0,0,6,6,1,
280,2007,1,11,Kevin,Vodak,1569,1,1,1,0,7,7,1,
280,2007,1,16,Rebecca,Penberthy-Hovde,583,0,0,0,0,7,7,1,
280,2007,1,9,Judd,Maxwell,1320,1,1,1,0,7,7,1,
280,2007,1,17,Jeff,Anderson,787,0,0,0,0,7,7,1,
280,2007,1,18,Edwin,Mortimer,829,0,0,0,0,7,7,1,
280,2008,1,15,Doug,Mering,2196,1,1,1,0,8,8,1,
280,2008,1,9,Judd,Maxwell,2102,1,1,1,0,8,8,1,
280,2008,1,19,Phyllis,Power,1543,0,0,0,0,8,8,1,
280,2008,1,13,Gary,Cummings,1933,1,1,1,0,8,8,1,
280,2008,1,18,Edwin,Mortimer,1888,1,0,1,0,8,8,1,
280,2008,1,20,Paul,Peterson,1029,0,0,0,0,8,8,1,
280,2009,1,5,Patricia,Spragg,1336,1,1,1,0,9,9,1,
280,2009,1,21,Scott,Frostman,1287,1,0,0,0,9,9,1,
280,2009,1,22,Raymond,Borkenhagen,1378,1,0,0,0,9,9,1,
280,2009,1,23,Sean,McNevin,1859,1,0,0,0,9,9,1,
280,2010,1,11,Kevin,Vodak,1860,1,1,1,0,10,10,1,
280,2010,1,24,Ruth,Dawson,1080,0,0,0,0,10,10,1,
280,2010,1,21,Scott,Frostman,1758,1,1,1,0,10,10,1,
280,2010,1,18,Edwin,Mortimer,1774,1,1,1,0,10,10,1,
280,2011,1,25,,Meegan,1730,0,0,0,0,11,11,1,
280,2011,1,13,Gary,Cummings,3264,1,1,1,0,11,11,1,
280,2011,1,15,Doug,Mering,3045,1,1,1,0,11,11,1,
280,2011,1,21,Scott,Frostman,1812,0,1,1,0,11,11,1,
280,2011,1,26,Peter,Vedro,2664,1,0,0,0,11,11,1,
280,2011,1,20,Paul,Peterson,2060,0,0,0,0,11,11,1,
280,2011,2,25,,Meegan,1730,1,0,1,0,12,12,1,
280,2011,2,13,Gary,Cummings,3264,1,1,1,0,12,12,1,
280,2011,2,15,Doug,Mering,3045,1,1,1,0,12,12,1,
280,2011,2,21,Scott,Frostman,1812,1,0,1,0,12,12,1,
280,2011,2,26,Peter,Vedro,2664,1,0,1,0,12,12,1,
280,2011,2,20,Paul,Peterson,2060,1,0,1,0,12,12,1,
280,2012,1,22,Raymond,Borkenhagen,1873,0,1,1,0,13,13,1,
280,2012,1,27,,Reilly,1946,1,0,0,0,13,13,1,
280,2012,1,23,Sean,McNevin,2413,1,1,1,0,13,13,1,
